t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,1,0.045379,0.000000,0.000000,0.000000,events/second
1717296930,1,0.019131,0.000000,0.000000,0.000000,events/second
1717296960,1,0.012149,0.000000,0.000000,0.000000,events/second
1717296990,1,0.008902,0.000000,0.000000,0.000000,events/second
1717297020,1,0.007025,0.000000,0.000000,0.000000,events/second
1717297050,1,0.005802,0.000000,0.000000,0.000000,events/second
1717297080,1,0.004941,0.000000,0.000000,0.000000,events/second
1717297110,1,0.004303,0.000000,0.000000,0.000000,events/second
1717297140,1,0.003810,0.000000,0.000000,0.000000,events/second
1717297170,1,0.003419,0.000000,0.000000,0.000000,events/second
1717297200,1,0.003101,0.000000,0.000000,0.000000,events/second
1717297230,1,0.002837,0.000000,0.000000,0.000000,events/second
1717299240,1,0.045786,0.000000,0.000000,0.000000,events/second
1717299270,1,0.019220,0.000000,0.000000,0.000000,events/second
1717299300,1,0.012189,0.000000,0.000000,0.000000,events/second
1717299330,1,0.008924,0.000000,0.000000,0.000000,events/second
1717299360,1,0.007039,0.000000,0.000000,0.000000,events/second
1717299390,1,0.005811,0.000000,0.000000,0.000000,events/second
1717299420,1,0.004948,0.000000,0.000000,0.000000,events/second
1717299450,1,0.004309,0.000000,0.000000,0.000000,events/second
1717299480,1,0.003815,0.000000,0.000000,0.000000,events/second
1717299510,1,0.003423,0.000000,0.000000,0.000000,events/second
1717299540,1,0.003104,0.000000,0.000000,0.000000,events/second
1717299570,1,0.002840,0.000000,0.000000,0.000000,events/second
1717299600,1,0.002617,0.000000,0.000000,0.000000,events/second
1717299630,1,0.002426,0.000000,0.000000,0.000000,events/second
1717299660,1,0.002262,0.000000,0.000000,0.000000,events/second
1717299690,1,0.002118,0.000000,0.000000,0.000000,events/second
1717299720,1,0.001991,0.000000,0.000000,0.000000,events/second
1717299750,1,0.001879,0.000000,0.000000,0.000000,events/second
1717299780,1,0.001779,0.000000,0.000000,0.000000,events/second
1717299810,1,0.001688,0.000000,0.000000,0.000000,events/second
1717299840,1,0.001607,0.000000,0.000000,0.000000,events/second
1717299870,1,0.001533,0.000000,0.000000,0.000000,events/second
1717299900,1,0.001466,0.000000,0.000000,0.000000,events/second
1717299930,1,0.001404,0.000000,0.000000,0.000000,events/second
1717299960,1,0.001347,0.000000,0.000000,0.000000,events/second
1717299990,1,0.001295,0.000000,0.000000,0.000000,events/second
1717300020,1,0.001246,0.000000,0.000000,0.000000,events/second
1717300050,1,0.001201,0.000000,0.000000,0.000000,events/second
1717300080,1,0.001160,0.000000,0.000000,0.000000,events/second
1717300110,1,0.001121,0.000000,0.000000,0.000000,events/second
1717300140,1,0.001084,0.000000,0.000000,0.000000,events/second
1717300170,1,0.001050,0.000000,0.000000,0.000000,events/second
1717300200,1,0.001018,0.000000,0.000000,0.000000,events/second
1717300230,1,0.000988,0.000000,0.000000,0.000000,events/second
1717300260,1,0.000959,0.000000,0.000000,0.000000,events/second
1717300290,1,0.000932,0.000000,0.000000,0.000000,events/second
1717300320,1,0.000907,0.000000,0.000000,0.000000,events/second
1717300350,1,0.000883,0.000000,0.000000,0.000000,events/second
1717300380,1,0.000860,0.000000,0.000000,0.000000,events/second
1717300410,1,0.000839,0.000000,0.000000,0.000000,events/second
1717300440,1,0.000818,0.000000,0.000000,0.000000,events/second
1717300470,2,0.001597,0.000000,0.000000,0.000000,events/second
1717300500,2,0.001559,0.000000,0.000000,0.000000,events/second
1717300530,2,0.001524,0.000000,0.000000,0.000000,events/second
1717300560,2,0.001490,0.000000,0.000000,0.000000,events/second
1717300590,2,0.001457,0.000000,0.000000,0.000000,events/second
1717300620,2,0.001426,0.000000,0.000000,0.000000,events/second
1717300650,2,0.001396,0.000000,0.000000,0.000000,events/second
1717300680,2,0.001367,0.000000,0.000000,0.000000,events/second
1717300710,2,0.001340,0.000000,0.000000,0.000000,events/second
1717300741,2,0.001314,0.000000,0.000000,0.000000,events/second
1717300771,2,0.001288,0.000000,0.000000,0.000000,events/second
1717300801,2,0.001264,0.000000,0.000000,0.000000,events/second
1717300831,2,0.001240,0.000000,0.000000,0.000000,events/second
1717300861,2,0.001218,0.000000,0.000000,0.000000,events/second
1717300891,2,0.001196,0.000000,0.000000,0.000000,events/second
1717300921,2,0.001175,0.000000,0.000000,0.000000,events/second
1717300951,2,0.001154,0.000000,0.000000,0.000000,events/second
1717300981,2,0.001135,0.000000,0.000000,0.000000,events/second
1717301011,2,0.001116,0.000000,0.000000,0.000000,events/second
1717301041,2,0.001097,0.000000,0.000000,0.000000,events/second
1717301071,2,0.001079,0.000000,0.000000,0.000000,events/second
1717301101,2,0.001062,0.000000,0.000000,0.000000,events/second
1717301131,2,0.001046,0.000000,0.000000,0.000000,events/second
1717301161,2,0.001029,0.000000,0.000000,0.000000,events/second
1717301191,2,0.001014,0.000000,0.000000,0.000000,events/second
1717301221,2,0.000999,0.000000,0.000000,0.000000,events/second
1717301251,2,0.000984,0.000000,0.000000,0.000000,events/second
1717301281,2,0.000970,0.000000,0.000000,0.000000,events/second
1717301311,2,0.000956,0.000000,0.000000,0.000000,events/second
1717301341,2,0.000942,0.000000,0.000000,0.000000,events/second
1717301371,2,0.000929,0.000000,0.000000,0.000000,events/second
1717301401,2,0.000916,0.000000,0.000000,0.000000,events/second
1717301431,2,0.000904,0.000000,0.000000,0.000000,events/second
1717301461,2,0.000892,0.000000,0.000000,0.000000,events/second
1717301491,2,0.000880,0.000000,0.000000,0.000000,events/second
1717301521,2,0.000868,0.000000,0.000000,0.000000,events/second
1717301551,2,0.000857,0.000000,0.000000,0.000000,events/second
1717301581,2,0.000846,0.000000,0.000000,0.000000,events/second
1717301611,2,0.000836,0.000000,0.000000,0.000000,events/second
1717301641,2,0.000825,0.000000,0.000000,0.000000,events/second
1717301671,2,0.000815,0.000000,0.000000,0.000000,events/second
1717301701,2,0.000805,0.000000,0.000000,0.000000,events/second
1717301731,2,0.000796,0.000000,0.000000,0.000000,events/second
1717301761,2,0.000786,0.000000,0.000000,0.000000,events/second
1717301791,2,0.000777,0.000000,0.000000,0.000000,events/second
1717301821,2,0.000768,0.000000,0.000000,0.000000,events/second
1717301851,2,0.000760,0.000000,0.000000,0.000000,events/second
1717301881,2,0.000751,0.000000,0.000000,0.000000,events/second
1717301911,2,0.000743,0.000000,0.000000,0.000000,events/second
1717301941,2,0.000734,0.000000,0.000000,0.000000,events/second
1717301971,2,0.000726,0.000000,0.000000,0.000000,events/second
1717302001,2,0.000719,0.000000,0.000000,0.000000,events/second
1717302031,2,0.000711,0.000000,0.000000,0.000000,events/second
1717302061,2,0.000703,0.000000,0.000000,0.000000,events/second
1717302091,2,0.000696,0.000000,0.000000,0.000000,events/second
1717302121,2,0.000689,0.000000,0.000000,0.000000,events/second
1717302151,2,0.000682,0.000000,0.000000,0.000000,events/second
1717302181,2,0.000675,0.000000,0.000000,0.000000,events/second
1717302211,2,0.000668,0.000000,0.000000,0.000000,events/second
1717302241,2,0.000662,0.000000,0.000000,0.000000,events/second
1717302271,2,0.000655,0.000000,0.000000,0.000000,events/second
1717302301,2,0.000649,0.000000,0.000000,0.000000,events/second
1717302331,2,0.000642,0.000000,0.000000,0.000000,events/second
1717302361,2,0.000636,0.000000,0.000000,0.000000,events/second
1717302391,2,0.000630,0.000000,0.000000,0.000000,events/second
1717302421,2,0.000624,0.000000,0.000000,0.000000,events/second
1717302451,2,0.000619,0.000000,0.000000,0.000000,events/second
1717302481,2,0.000613,0.000000,0.000000,0.000000,events/second
1717302511,2,0.000607,0.000000,0.000000,0.000000,events/second
1717302541,2,0.000602,0.000000,0.000000,0.000000,events/second
1717302571,2,0.000596,0.000000,0.000000,0.000000,events/second
1717302601,2,0.000591,0.000000,0.000000,0.000000,events/second
1717302631,2,0.000586,0.000000,0.000000,0.000000,events/second
1717302661,2,0.000581,0.000000,0.000000,0.000000,events/second
1717302691,2,0.000576,0.000000,0.000000,0.000000,events/second
1717302721,2,0.000571,0.000000,0.000000,0.000000,events/second
1717302751,2,0.000566,0.000000,0.000000,0.000000,events/second
1717302781,2,0.000561,0.000000,0.000000,0.000000,events/second
1717302811,2,0.000557,0.000000,0.000000,0.000000,events/second
1717302841,2,0.000552,0.000000,0.000000,0.000000,events/second
1717302871,2,0.000547,0.000000,0.000000,0.000000,events/second
1717302901,2,0.000543,0.000000,0.000000,0.000000,events/second
1717302931,2,0.000539,0.000000,0.000000,0.000000,events/second
1717302961,2,0.000534,0.000000,0.000000,0.000000,events/second
1717302991,2,0.000530,0.000000,0.000000,0.000000,events/second
1717303021,2,0.000526,0.000000,0.000000,0.000000,events/second
1717303051,2,0.000522,0.000000,0.000000,0.000000,events/second
1717303082,2,0.000518,0.000000,0.000000,0.000000,events/second
1717303112,2,0.000514,0.000000,0.000000,0.000000,events/second
1717303142,2,0.000510,0.000000,0.000000,0.000000,events/second
1717303172,2,0.000506,0.000000,0.000000,0.000000,events/second
1717303202,2,0.000502,0.000000,0.000000,0.000000,events/second
1717303232,2,0.000498,0.000000,0.000000,0.000000,events/second
1717303262,2,0.000495,0.000000,0.000000,0.000000,events/second
1717303292,2,0.000491,0.000000,0.000000,0.000000,events/second
1717303322,2,0.000487,0.000000,0.000000,0.000000,events/second
1717303352,2,0.000484,0.000000,0.000000,0.000000,events/second
1717303382,2,0.000480,0.000000,0.000000,0.000000,events/second
1717303412,2,0.000477,0.000000,0.000000,0.000000,events/second
1717303442,2,0.000474,0.000000,0.000000,0.000000,events/second
1717303472,2,0.000470,0.000000,0.000000,0.000000,events/second
1717303502,2,0.000467,0.000000,0.000000,0.000000,events/second
1717303532,2,0.000464,0.000000,0.000000,0.000000,events/second
1717303562,2,0.000460,0.000000,0.000000,0.000000,events/second
1717303592,2,0.000457,0.000000,0.000000,0.000000,events/second
1717303622,2,0.000454,0.000000,0.000000,0.000000,events/second
1717303652,2,0.000451,0.000000,0.000000,0.000000,events/second
1717303682,2,0.000448,0.000000,0.000000,0.000000,events/second
1717303712,2,0.000445,0.000000,0.000000,0.000000,events/second
1717303742,2,0.000442,0.000000,0.000000,0.000000,events/second
1717303772,2,0.000439,0.000000,0.000000,0.000000,events/second
1717303802,2,0.000436,0.000000,0.000000,0.000000,events/second
1717303832,2,0.000433,0.000000,0.000000,0.000000,events/second
1717303862,2,0.000431,0.000000,0.000000,0.000000,events/second
1717303892,2,0.000428,0.000000,0.000000,0.000000,events/second
1717303922,2,0.000425,0.000000,0.000000,0.000000,events/second
1717303952,2,0.000422,0.000000,0.000000,0.000000,events/second
1717303982,2,0.000420,0.000000,0.000000,0.000000,events/second
1717304012,2,0.000417,0.000000,0.000000,0.000000,events/second
1717304042,2,0.000415,0.000000,0.000000,0.000000,events/second
1717304072,2,0.000412,0.000000,0.000000,0.000000,events/second
1717304102,2,0.000410,0.000000,0.000000,0.000000,events/second
1717304132,2,0.000407,0.000000,0.000000,0.000000,events/second
1717304162,2,0.000405,0.000000,0.000000,0.000000,events/second
1717304192,2,0.000402,0.000000,0.000000,0.000000,events/second
1717304222,2,0.000400,0.000000,0.000000,0.000000,events/second
1717304252,2,0.000397,0.000000,0.000000,0.000000,events/second
1717304282,2,0.000395,0.000000,0.000000,0.000000,events/second
1717304312,2,0.000393,0.000000,0.000000,0.000000,events/second
1717304342,2,0.000390,0.000000,0.000000,0.000000,events/second
1717304372,2,0.000388,0.000000,0.000000,0.000000,events/second
1717304402,2,0.000386,0.000000,0.000000,0.000000,events/second
1717304432,2,0.000384,0.000000,0.000000,0.000000,events/second
1717304462,2,0.000381,0.000000,0.000000,0.000000,events/second
1717304492,2,0.000379,0.000000,0.000000,0.000000,events/second
1717304522,2,0.000377,0.000000,0.000000,0.000000,events/second
1717304552,2,0.000375,0.000000,0.000000,0.000000,events/second
1717304582,2,0.000373,0.000000,0.000000,0.000000,events/second
1717304612,2,0.000371,0.000000,0.000000,0.000000,events/second
1717304642,2,0.000369,0.000000,0.000000,0.000000,events/second
1717304672,2,0.000367,0.000000,0.000000,0.000000,events/second
1717304702,2,0.000365,0.000000,0.000000,0.000000,events/second
1717304732,2,0.000363,0.000000,0.000000,0.000000,events/second
1717304762,2,0.000361,0.000000,0.000000,0.000000,events/second
1717304792,2,0.000359,0.000000,0.000000,0.000000,events/second
1717304822,2,0.000357,0.000000,0.000000,0.000000,events/second
1717304852,2,0.000355,0.000000,0.000000,0.000000,events/second
1717304882,2,0.000353,0.000000,0.000000,0.000000,events/second
1717304912,2,0.000351,0.000000,0.000000,0.000000,events/second
1717304942,2,0.000349,0.000000,0.000000,0.000000,events/second
1717304972,2,0.000348,0.000000,0.000000,0.000000,events/second
1717305002,2,0.000346,0.000000,0.000000,0.000000,events/second
1717305032,2,0.000344,0.000000,0.000000,0.000000,events/second
1717305062,2,0.000342,0.000000,0.000000,0.000000,events/second
1717305092,2,0.000340,0.000000,0.000000,0.000000,events/second
1717305122,2,0.000339,0.000000,0.000000,0.000000,events/second
1717305152,2,0.000337,0.000000,0.000000,0.000000,events/second
1717305182,2,0.000335,0.000000,0.000000,0.000000,events/second
1717305212,2,0.000334,0.000000,0.000000,0.000000,events/second
1717305242,2,0.000332,0.000000,0.000000,0.000000,events/second
1717305272,2,0.000330,0.000000,0.000000,0.000000,events/second
1717305302,2,0.000329,0.000000,0.000000,0.000000,events/second
1717305332,2,0.000327,0.000000,0.000000,0.000000,events/second
1717305362,2,0.000325,0.000000,0.000000,0.000000,events/second
1717305392,2,0.000324,0.000000,0.000000,0.000000,events/second
1717305422,2,0.000322,0.000000,0.000000,0.000000,events/second
1717305452,2,0.000321,0.000000,0.000000,0.000000,events/second
1717305482,2,0.000319,0.000000,0.000000,0.000000,events/second
1717305512,2,0.000318,0.000000,0.000000,0.000000,events/second
1717305542,2,0.000316,0.000000,0.000000,0.000000,events/second
1717305572,2,0.000315,0.000000,0.000000,0.000000,events/second
1717305602,2,0.000313,0.000000,0.000000,0.000000,events/second
1717305632,2,0.000312,0.000000,0.000000,0.000000,events/second
1717305662,2,0.000310,0.000000,0.000000,0.000000,events/second
1717305692,2,0.000309,0.000000,0.000000,0.000000,events/second
1717305722,2,0.000307,0.000000,0.000000,0.000000,events/second
1717305752,2,0.000306,0.000000,0.000000,0.000000,events/second
1717305783,2,0.000305,0.000000,0.000000,0.000000,events/second
1717305813,2,0.000303,0.000000,0.000000,0.000000,events/second
1717305843,2,0.000302,0.000000,0.000000,0.000000,events/second
1717305873,2,0.000301,0.000000,0.000000,0.000000,events/second
1717305903,2,0.000299,0.000000,0.000000,0.000000,events/second
1717305933,2,0.000298,0.000000,0.000000,0.000000,events/second
1717305963,2,0.000297,0.000000,0.000000,0.000000,events/second
1717305993,2,0.000295,0.000000,0.000000,0.000000,events/second
1717306023,2,0.000294,0.000000,0.000000,0.000000,events/second
1717306053,2,0.000293,0.000000,0.000000,0.000000,events/second
1717306083,2,0.000291,0.000000,0.000000,0.000000,events/second
1717306113,2,0.000290,0.000000,0.000000,0.000000,events/second
1717306143,2,0.000289,0.000000,0.000000,0.000000,events/second
1717306173,2,0.000288,0.000000,0.000000,0.000000,events/second
1717306203,2,0.000286,0.000000,0.000000,0.000000,events/second
1717306233,2,0.000285,0.000000,0.000000,0.000000,events/second
1717306263,2,0.000284,0.000000,0.000000,0.000000,events/second
1717306293,2,0.000283,0.000000,0.000000,0.000000,events/second
1717306323,2,0.000281,0.000000,0.000000,0.000000,events/second
1717306353,2,0.000280,0.000000,0.000000,0.000000,events/second
1717306383,2,0.000279,0.000000,0.000000,0.000000,events/second
1717306413,2,0.000278,0.000000,0.000000,0.000000,events/second
1717306443,2,0.000277,0.000000,0.000000,0.000000,events/second
1717306473,2,0.000276,0.000000,0.000000,0.000000,events/second
1717306503,2,0.000275,0.000000,0.000000,0.000000,events/second
1717306533,2,0.000273,0.000000,0.000000,0.000000,events/second
1717306563,2,0.000272,0.000000,0.000000,0.000000,events/second
1717306593,2,0.000271,0.000000,0.000000,0.000000,events/second
1717306623,2,0.000270,0.000000,0.000000,0.000000,events/second
1717306653,2,0.000269,0.000000,0.000000,0.000000,events/second
1717306683,2,0.000268,0.000000,0.000000,0.000000,events/second
1717306713,2,0.000267,0.000000,0.000000,0.000000,events/second
1717306743,2,0.000266,0.000000,0.000000,0.000000,events/second
1717306773,2,0.000265,0.000000,0.000000,0.000000,events/second
1717306803,2,0.000264,0.000000,0.000000,0.000000,events/second
1717306833,2,0.000263,0.000000,0.000000,0.000000,events/second
1717306863,2,0.000262,0.000000,0.000000,0.000000,events/second
1717306893,2,0.000261,0.000000,0.000000,0.000000,events/second
1717306923,2,0.000260,0.000000,0.000000,0.000000,events/second
1717306953,2,0.000259,0.000000,0.000000,0.000000,events/second
1717306983,2,0.000258,0.000000,0.000000,0.000000,events/second
1717307013,2,0.000257,0.000000,0.000000,0.000000,events/second
1717307043,2,0.000256,0.000000,0.000000,0.000000,events/second
1717307073,2,0.000255,0.000000,0.000000,0.000000,events/second
1717307103,2,0.000254,0.000000,0.000000,0.000000,events/second
1717307133,2,0.000253,0.000000,0.000000,0.000000,events/second
1717307163,2,0.000252,0.000000,0.000000,0.000000,events/second
1717307193,2,0.000251,0.000000,0.000000,0.000000,events/second
1717307224,2,0.000250,0.000000,0.000000,0.000000,events/second
1717307254,2,0.000249,0.000000,0.000000,0.000000,events/second
1717307284,2,0.000248,0.000000,0.000000,0.000000,events/second
1717307314,2,0.000247,0.000000,0.000000,0.000000,events/second
1717307344,2,0.000246,0.000000,0.000000,0.000000,events/second
1717307374,2,0.000245,0.000000,0.000000,0.000000,events/second
1717307404,2,0.000244,0.000000,0.000000,0.000000,events/second
1717307434,2,0.000243,0.000000,0.000000,0.000000,events/second
1717307464,2,0.000243,0.000000,0.000000,0.000000,events/second
1717307494,2,0.000242,0.000000,0.000000,0.000000,events/second
1717307524,2,0.000241,0.000000,0.000000,0.000000,events/second
1717307554,2,0.000240,0.000000,0.000000,0.000000,events/second
1717307584,2,0.000239,0.000000,0.000000,0.000000,events/second
1717307614,2,0.000238,0.000000,0.000000,0.000000,events/second
1717307644,2,0.000237,0.000000,0.000000,0.000000,events/second
1717307674,2,0.000237,0.000000,0.000000,0.000000,events/second
1717307704,2,0.000236,0.000000,0.000000,0.000000,events/second
1717307734,2,0.000235,0.000000,0.000000,0.000000,events/second
1717307764,2,0.000234,0.000000,0.000000,0.000000,events/second
1717307794,2,0.000233,0.000000,0.000000,0.000000,events/second
1717307824,2,0.000232,0.000000,0.000000,0.000000,events/second
1717307854,2,0.000232,0.000000,0.000000,0.000000,events/second
1717307884,2,0.000231,0.000000,0.000000,0.000000,events/second
1717307914,2,0.000230,0.000000,0.000000,0.000000,events/second
1717307944,2,0.000229,0.000000,0.000000,0.000000,events/second
1717307974,2,0.000228,0.000000,0.000000,0.000000,events/second
1717308004,2,0.000228,0.000000,0.000000,0.000000,events/second
1717308034,2,0.000227,0.000000,0.000000,0.000000,events/second
1717308064,2,0.000226,0.000000,0.000000,0.000000,events/second
1717308094,2,0.000225,0.000000,0.000000,0.000000,events/second
1717308124,2,0.000225,0.000000,0.000000,0.000000,events/second
1717308154,2,0.000224,0.000000,0.000000,0.000000,events/second
1717308184,2,0.000223,0.000000,0.000000,0.000000,events/second
1717308214,2,0.000222,0.000000,0.000000,0.000000,events/second
1717308244,2,0.000222,0.000000,0.000000,0.000000,events/second
1717308274,2,0.000221,0.000000,0.000000,0.000000,events/second
1717308304,2,0.000220,0.000000,0.000000,0.000000,events/second
1717308334,2,0.000219,0.000000,0.000000,0.000000,events/second
1717308364,2,0.000219,0.000000,0.000000,0.000000,events/second
1717308394,2,0.000218,0.000000,0.000000,0.000000,events/second
1717308424,2,0.000217,0.000000,0.000000,0.000000,events/second
1717308454,2,0.000217,0.000000,0.000000,0.000000,events/second
1717308485,2,0.000216,0.000000,0.000000,0.000000,events/second
1717308515,2,0.000215,0.000000,0.000000,0.000000,events/second
1717308545,2,0.000214,0.000000,0.000000,0.000000,events/second
1717308575,2,0.000214,0.000000,0.000000,0.000000,events/second
1717308605,2,0.000213,0.000000,0.000000,0.000000,events/second
1717308635,2,0.000212,0.000000,0.000000,0.000000,events/second
1717308665,2,0.000212,0.000000,0.000000,0.000000,events/second
1717308695,2,0.000211,0.000000,0.000000,0.000000,events/second
1717308725,2,0.000210,0.000000,0.000000,0.000000,events/second
1717308755,2,0.000210,0.000000,0.000000,0.000000,events/second
