t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,1212416,55008.769573,0.000000,0.000000,0.000000,events/second
1717296930,1212416,23195.346420,0.000000,0.000000,0.000000,events/second
1717296960,1212416,14729.721804,0.000000,0.000000,0.000000,events/second
1717296990,1212416,10792.730639,0.000000,0.000000,0.000000,events/second
1717297020,1212416,8517.249675,0.000000,0.000000,0.000000,events/second
1717297050,1212416,7034.013466,0.000000,0.000000,0.000000,events/second
1717297080,1212416,5990.666866,0.000000,0.000000,0.000000,events/second
1717297110,1212416,5216.542075,0.000000,0.000000,0.000000,events/second
1717297140,1212416,4619.782800,0.000000,0.000000,0.000000,events/second
1717297170,1212416,4145.523793,0.000000,0.000000,0.000000,events/second
1717297200,1212416,3759.720597,0.000000,0.000000,0.000000,events/second
1717297230,1212416,3439.625891,0.000000,0.000000,0.000000,events/second
1717299240,1024000,46878.658676,0.000000,0.000000,0.000000,events/second
1717299270,1024000,19681.302514,0.000000,0.000000,0.000000,events/second
1717299300,1024000,12481.886592,0.000000,0.000000,0.000000,events/second
1717299330,1024000,9138.538816,0.000000,0.000000,0.000000,events/second
1717299360,1024000,7208.127517,0.000000,0.000000,0.000000,events/second
1717299390,1024000,5950.454405,0.000000,0.000000,0.000000,events/second
1717299420,1024000,5066.997970,0.000000,0.000000,0.000000,events/second
1717299450,1024000,4411.964350,0.000000,0.000000,0.000000,events/second
1717299480,1024000,3906.783004,0.000000,0.000000,0.000000,events/second
1717299510,1024000,3505.372080,0.000000,0.000000,0.000000,events/second
1717299540,1024000,3178.789854,0.000000,0.000000,0.000000,events/second
1717299570,1024000,2907.838252,0.000000,0.000000,0.000000,events/second
1717299600,1024000,2679.499686,0.000000,0.000000,0.000000,events/second
1717299630,1024000,2484.403246,0.000000,0.000000,0.000000,events/second
1717299660,1024000,2315.800154,0.000000,0.000000,0.000000,events/second
1717299690,1024000,2168.574271,0.000000,0.000000,0.000000,events/second
1717299720,1024000,2038.921469,0.000000,0.000000,0.000000,events/second
1717299750,1024000,1923.951253,0.000000,0.000000,0.000000,events/second
1717299780,1024000,1821.277756,0.000000,0.000000,0.000000,events/second
1717299810,1024000,1729.006952,0.000000,0.000000,0.000000,events/second
1717299840,1024000,1645.621991,0.000000,0.000000,0.000000,events/second
1717299870,1024000,1569.906368,0.000000,0.000000,0.000000,events/second
1717299900,1024000,1500.860692,0.000000,0.000000,0.000000,events/second
1717299930,1024000,1437.609354,0.000000,0.000000,0.000000,events/second
1717299960,1024000,1379.482807,0.000000,0.000000,0.000000,events/second
1717299990,1024000,1325.874807,0.000000,0.000000,0.000000,events/second
