t,value
1717296900,74
1717296930,74
1717296960,74
1717296990,74
1717297020,74
1717297050,74
1717297080,74
1717297110,74
1717297140,74
1717297170,74
1717297200,74
1717297230,74
1717299240,48
1717299270,48
1717299300,48
1717299330,48
1717299360,48
1717299390,48
1717299420,48
1717299450,48
1717299480,48
1717299510,48
1717299540,48
1717299570,48
1717299600,48
1717299630,48
1717299660,48
1717299690,48
1717299720,48
1717299750,48
1717299780,48
1717299810,48
1717299840,48
1717299870,48
1717299900,48
1717299930,48
1717299960,48
1717299990,48
1717300020,48
1717300050,48
1717300080,48
1717300110,48
1717300140,48
1717300170,48
1717300200,48
1717300230,48
1717300260,48
1717300290,48
1717300320,48
1717300350,48
1717300380,48
1717300410,48
1717300440,48
1717300470,158
1717300500,158
1717300530,158
1717300560,158
1717300590,158
1717300620,158
1717300650,158
1717300680,158
1717300710,158
1717300741,158
1717300771,158
1717300801,158
1717300831,158
1717300861,158
1717300891,158
1717300921,158
1717300951,158
1717300981,158
1717301011,158
1717301041,158
1717301071,158
1717301101,158
1717301131,158
1717301161,158
1717301191,158
1717301221,158
1717301251,158
1717301281,158
1717301311,158
1717301341,158
1717301371,158
1717301401,158
1717301431,158
1717301461,158
1717301491,158
1717301521,158
1717301551,158
1717301581,158
1717301611,158
1717301641,158
1717301671,158
1717301701,158
1717301731,158
1717301761,158
1717301791,158
1717301821,158
1717301851,158
1717301881,158
1717301911,158
1717301941,158
1717301971,158
1717302001,158
1717302031,158
1717302061,158
1717302091,158
1717302121,158
1717302151,158
1717302181,158
1717302211,158
1717302241,158
1717302271,158
1717302301,158
1717302331,158
1717302361,158
1717302391,158
1717302421,158
1717302451,158
1717302481,158
1717302511,158
1717302541,158
1717302571,158
1717302601,158
1717302631,158
1717302661,158
1717302691,158
1717302721,158
1717302751,158
1717302781,158
1717302811,158
1717302841,158
1717302871,158
1717302901,158
1717302931,158
1717302961,158
1717302991,158
1717303021,158
1717303051,158
1717303082,158
1717303112,158
1717303142,158
1717303172,158
1717303202,158
1717303232,158
1717303262,158
1717303292,158
1717303322,158
1717303352,158
1717303382,158
1717303412,158
1717303442,158
1717303472,158
1717303502,158
1717303532,158
1717303562,158
1717303592,158
1717303622,158
1717303652,158
1717303682,158
1717303712,158
1717303742,158
1717303772,158
1717303802,158
1717303832,158
1717303862,158
1717303892,158
1717303922,158
1717303952,158
1717303982,158
1717304012,158
1717304042,158
1717304072,158
1717304102,158
1717304132,158
1717304162,158
1717304192,158
1717304222,158
1717304252,158
1717304282,158
1717304312,158
1717304342,158
1717304372,158
1717304402,158
1717304432,158
1717304462,158
1717304492,158
1717304522,158
1717304552,158
1717304582,158
1717304612,158
1717304642,158
1717304672,158
1717304702,158
1717304732,158
1717304762,158
1717304792,158
1717304822,158
1717304852,158
1717304882,158
1717304912,158
1717304942,158
1717304972,158
1717305002,158
1717305032,158
1717305062,158
1717305092,158
1717305122,158
1717305152,158
1717305182,158
1717305212,158
1717305242,158
1717305272,158
1717305302,158
1717305332,158
1717305362,158
1717305392,158
1717305422,158
1717305452,158
1717305482,158
1717305512,158
1717305542,158
1717305572,158
1717305602,158
1717305632,158
1717305662,158
1717305692,158
1717305722,158
1717305752,158
1717305783,158
1717305813,158
1717305843,158
1717305873,158
1717305903,158
1717305933,158
1717305963,158
1717305993,158
1717306023,158
1717306053,158
1717306083,158
1717306113,158
1717306143,158
1717306173,158
1717306203,158
1717306233,158
1717306263,158
1717306293,158
1717306323,158
1717306353,158
1717306383,158
1717306413,158
1717306443,158
1717306473,158
1717306503,158
1717306533,158
1717306563,158
1717306593,158
1717306623,158
1717306653,158
1717306683,158
1717306713,158
1717306743,158
1717306773,158
1717306803,158
1717306833,158
1717306863,158
1717306893,158
1717306923,158
1717306953,158
1717306983,158
1717307013,158
1717307043,158
1717307073,158
1717307103,158
1717307133,158
1717307163,158
1717307193,158
1717307224,158
1717307254,158
1717307284,158
1717307314,158
1717307344,158
1717307374,158
1717307404,158
1717307434,158
1717307464,158
1717307494,158
1717307524,158
1717307554,158
1717307584,158
1717307614,158
1717307644,158
1717307674,158
1717307704,158
1717307734,158
1717307764,158
1717307794,158
1717307824,158
1717307854,158
1717307884,158
1717307914,158
1717307944,158
1717307974,158
1717308004,158
1717308034,158
1717308064,158
1717308094,158
1717308124,158
1717308154,158
1717308184,158
1717308214,158
1717308244,158
1717308274,158
1717308304,158
1717308334,158
1717308364,158
1717308394,158
1717308424,158
1717308454,158
1717308485,158
1717308515,158
1717308545,158
1717308575,158
1717308605,158
1717308635,158
1717308665,158
1717308695,158
1717308725,158
1717308755,158
1717308785,158
1717308815,158
1717308845,158
1717308875,158
1717308905,158
1717308935,158
1717308965,158
1717308995,158
1717309025,158
1717309055,158
1717309085,158
1717309115,158
1717309145,158
1717309175,158
1717309205,158
1717309235,158
1717309265,158
1717309295,158
1717309325,158
1717309355,158
1717309385,158
1717309415,158
1717309445,158
1717309475,158
1717309505,158
1717309535,158
1717309565,158
1717309595,158
1717309625,158
1717309655,158
1717309685,158
1717309715,158
1717309745,158
1717309775,158
1717309805,158
1717309835,158
1717309865,158
1717309895,158
1717309925,158
1717309955,158
1717309985,158
1717310015,158
1717310045,158
1717310075,158
1717310106,158
1717310136,158
1717310166,158
1717310196,158
1717310226,158
1717310256,158
1717310286,158
1717310316,158
1717310346,158
1717310376,158
1717310406,158
1717310436,158
1717310466,158
1717310496,158
1717310526,158
1717310556,158
1717310586,158
1717310616,158
1717310646,158
1717310676,158
1717310706,158
1717310736,158
1717310766,158
1717310796,158
1717310826,158
1717310856,158
1717310886,158
1717310916,158
1717310946,158
1717310976,158
1717311006,158
1717311036,158
1717311066,158
1717311096,158
1717311126,158
1717311156,158
1717311186,158
1717311216,158
1717311246,158
1717311276,158
1717311306,158
1717311336,158
1717311366,158
1717311396,158
1717311426,158
1717311456,158
1717311486,158
1717311516,158
1717311546,158
1717311576,158
1717311606,158
1717311636,158
1717311666,158
1717311696,158
1717311726,158
1717311756,158
1717311786,158
1717311816,158
1717311846,158
1717311876,158
1717311906,158
1717311936,158
1717311966,158
1717311996,158
1717312026,158
1717312056,158
1717312086,158
1717312116,158
1717312146,158
1717312176,158
1717312206,158
1717312236,158
1717312267,158
1717312297,158
1717312327,158
1717312357,158
1717312387,158
1717312417,158
1717312447,158
1717312477,158
1717312507,158
1717312537,158
1717312567,158
1717312597,158
1717312627,158
1717312657,158
1717312687,158
1717312717,158
1717312747,158
1717312777,158
1717312807,158
1717312837,158
1717312867,158
1717312897,158
1717312927,158
1717312957,158
1717312987,158
1717313017,158
1717313047,158
1717313077,158
1717313107,158
1717313137,158
1717313167,158
1717313197,158
1717313227,158
1717313257,158
1717313287,158
1717313317,158
1717313347,158
1717313377,158
1717313407,158
1717313437,158
1717313467,158
1717313497,158
1717313527,158
1717313557,158
1717313587,158
1717313617,158
1717313647,158
1717313677,158
1717313707,158
1717313737,158
1717313767,158
1717313797,158
1717313827,158
1717313857,158
1717313887,158
1717313917,158
1717313947,158
1717313977,158
1717314007,158
1717314037,158
1717314067,158
1717314097,158
1717314127,158
1717314157,158
1717314187,158
1717314217,158
1717314247,158
1717314277,158
1717314307,158
1717314337,158
1717314367,158
1717314397,158
1717314427,158
1717314457,158
1717314487,158
1717314517,158
1717314547,158
1717314577,158
1717314607,158
1717314637,158
1717314667,158
1717314697,158
1717314727,158
1717314757,158
1717314787,158
1717314817,158
1717314847,158
1717314877,158
1717314907,158
1717314937,158
1717314967,158
1717314997,158
1717315027,158
1717315057,158
1717315087,158
1717315117,158
1717315148,158
1717315178,158
1717315208,158
1717315238,158
1717315268,158
1717315298,158
1717315328,158
1717315358,158
1717315388,158
1717315418,158
1717315448,158
1717315478,158
1717315508,158
1717315538,158
1717315568,158
1717315598,158
1717315628,158
1717315658,158
1717315688,158
1717315718,158
1717315748,158
1717315778,158
1717315808,158
1717315838,158
1717315868,158
1717315898,158
1717315928,158
1717315958,158
1717315988,158
1717316018,158
1717316048,158
1717316078,158
1717316108,158
1717316138,158
1717316168,158
1717316198,158
1717316228,158
1717316258,158
1717316288,158
1717316318,158
1717316348,158
1717316378,158
1717316408,158
1717316438,158
1717316468,158
1717316498,158
1717316528,158
1717316558,158
1717316588,158
1717316618,158
1717316648,158
1717316678,158
1717316708,158
1717316738,158
1717316768,158
1717316798,158
1717316828,158
1717316858,158
1717316888,158
1717316918,158
1717316948,158
1717316978,158
1717317008,158
1717317038,158
1717317068,158
1717317098,158
1717317128,158
1717317158,158
1717317188,158
1717317218,158
1717317248,158
1717317278,158
1717317308,158
1717317338,158
1717317368,158
1717317398,158
1717317428,158
1717317458,158
1717317488,158
1717317518,158
1717317548,158
1717317578,158
1717317608,158
1717317638,158
1717317668,158
1717317698,158
1717317728,158
1717317758,158
1717325544,158
1717325574,158
1717325604,158
1717325634,158
1717325664,158
1717325694,158
1717325724,158
1717325754,158
1717325784,158
1717325814,158
1717325844,158
1717325874,158
1717325904,158
1717325934,158
1717325964,158
1717325994,158
1717326024,158
1717326054,158
1717326084,158
1717326114,158
1717326144,158
1717326174,158
1717326204,158
1717326234,158
1717326264,158
1717326294,158
1717326324,158
1717326354,158
1717326384,158
1717326414,158
1717326444,158
1717326474,158
1717326504,158
1717326534,158
1717326564,158
1717326594,158
1717326624,158
1717326654,158
1717326685,158
1717326715,158
1717326745,158
1717326775,158
1717326805,158
1717326835,158
1717326865,158
1717326895,158
1717326925,158
1717326955,158
1717326985,158
1717327015,158
1717327045,158
1717327075,158
1717327105,158
1717327135,158
1717327165,158
1717327195,158
1717327225,158
1717327255,158
1717327285,158
1717327315,158
1717327345,158
1717327375,158
1717327405,158
1717327435,158
1717327465,158
1717327495,158
1717327525,158
1717327555,158
1717327585,158
1717327615,158
1717327645,158
1717327675,158
1717327705,158
1717327735,158
1717327765,158
1717327795,158
1717327825,158
