t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1717296900,6,231,99.666667,41,70.709735,83.000000,141.000000,231.000000,231.000000,231.000000,231.000000
1717296930,6,231,99.666667,41,70.709735,83.000000,141.000000,231.000000,231.000000,231.000000,231.000000
1717296960,6,231,99.666667,41,70.709735,83.000000,141.000000,231.000000,231.000000,231.000000,231.000000
1717296990,7,231,110.000000,41,70.099929,106.000000,172.000000,231.000000,231.000000,231.000000,231.000000
1717297020,8,231,96.750000,4,74.943312,83.000000,156.750000,231.000000,231.000000,231.000000,231.000000
1717297050,8,231,96.750000,4,74.943312,83.000000,156.750000,231.000000,231.000000,231.000000,231.000000
1717297080,8,231,96.750000,4,74.943312,83.000000,156.750000,231.000000,231.000000,231.000000,231.000000
1717297110,355,231,8.121127,0,24.574560,1.000000,2.000000,42.400000,103.960000,162.880000,231.000000
1717297140,357,231,8.095238,0,24.508125,1.000000,2.000000,41.700000,103.280000,162.840000,231.000000
1717297170,361,231,8.022161,0,24.381449,1.000000,2.000000,40.800000,101.920000,162.760000,231.000000
1717297200,363,231,7.988981,0,24.318215,1.000000,2.000000,40.600000,101.240000,162.720000,231.000000
1717297230,365,231,7.953425,0,24.256086,1.000000,2.000000,40.400000,100.560000,162.680000,231.000000
1717299240,44,207,29.795455,1,51.537559,2.000000,41.500000,182.750000,207.000000,207.000000,207.000000
1717299270,67,207,27.044776,1,49.537691,1.000000,34.000000,171.800000,201.960000,207.000000,207.000000
1717299300,5438,207,0.869650,0,9.167942,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299330,5440,207,0.869650,0,9.167942,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299360,5444,207,0.869650,0,9.167942,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299390,5446,207,0.871595,0,9.167969,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299420,5450,207,0.873541,0,9.167996,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299450,5452,207,0.873541,0,9.167996,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299480,5456,207,0.873541,0,9.167996,0.000000,0.000000,2.000000,2.000000,3.710000,205.405000
1717299510,5458,207,0.922179,0,9.295106,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299540,5464,207,0.980545,0,9.488250,0.000000,0.000000,2.000000,2.420000,4.000000,205.405000
1717299570,5667,207,0.970817,0,9.466238,0.000000,0.000000,2.000000,3.000000,4.000000,205.405000
1717299600,5675,207,0.970817,0,9.466238,0.000000,0.000000,2.000000,3.000000,4.000000,205.405000
1717299630,5892,207,0.955253,0,9.465972,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299660,5896,207,0.955253,0,9.465972,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299690,5898,207,0.955253,0,9.465972,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299720,5902,207,0.955253,0,9.465972,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299750,5904,207,0.955253,0,9.465972,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299780,5908,207,0.955253,0,9.465972,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299810,5910,207,0.957198,0,9.465981,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299840,5914,207,0.957198,0,9.465981,0.000000,0.000000,2.000000,2.000000,4.000000,205.405000
1717299870,7949,207,0.834630,0,9.274872,0.000000,0.000000,1.000000,2.000000,4.000000,205.405000
1717299900,10947,207,0.644942,0,8.377498,0.000000,0.000000,1.000000,2.000000,3.710000,205.405000
1717299930,11374,207,0.596304,0,8.257036,0.000000,0.000000,1.000000,2.000000,3.000000,205.405000
1717299960,11386,207,0.597276,0,8.257025,0.000000,0.000000,1.000000,2.000000,3.000000,205.405000
1717299990,11388,207,0.597276,0,8.257025,0.000000,0.000000,1.000000,2.000000,3.000000,205.405000
1717300020,11393,207,0.597276,0,8.257025,0.000000,0.000000,1.000000,2.000000,3.000000,205.405000
1717300050,11395,207,0.597276,0,8.257025,0.000000,0.000000,1.000000,2.000000,3.000000,205.405000
