t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,6,0.270022,0.081217,0.019184,0.006575,events/second
1717296930,6,0.114477,0.049261,0.017358,0.006359,events/second
1717296960,6,0.072769,0.029878,0.015707,0.006151,events/second
1717296990,7,0.062235,0.034113,0.017518,0.007057,events/second
1717297020,8,0.056144,0.035403,0.019102,0.007928,events/second
1717297050,8,0.046375,0.021473,0.017284,0.007668,events/second
1717297080,8,0.039501,0.013024,0.015639,0.007416,events/second
1717297110,355,1.526489,3.984639,1.082229,0.381176,events/second
1717297140,357,1.359579,2.467315,0.991826,0.373039,events/second
1717297170,361,1.233745,1.521410,0.903731,0.362988,events/second
1717297200,363,1.125176,0.973291,0.830314,0.355447,events/second
1717297230,365,1.035091,0.615238,0.757588,0.345974,events/second
1717299240,44,1.973078,1.296722,1.070289,1.024101,events/second
1717299270,67,1.277126,0.832493,0.980809,0.994862,events/second
1717299300,5438,65.938150,68.813604,17.890703,6.843362,events/second
1717299330,5440,48.361932,41.762469,16.194466,6.621189,events/second
1717299360,5444,38.205100,25.380727,14.665944,6.408480,events/second
1717299390,5446,31.567382,15.419097,13.276584,6.200565,events/second
1717299420,5450,26.910362,9.402664,12.025735,6.001645,events/second
1717299450,5452,23.446608,5.727912,10.887624,5.807067,events/second
1717299480,5456,20.781565,3.524663,9.864114,5.621048,events/second
1717299510,5458,18.656309,2.162724,8.931709,5.438947,events/second
1717299540,5464,16.939100,1.385184,8.100514,5.267164,events/second
1717299570,5667,16.072775,4.015314,7.987162,5.314947,events/second
1717299600,5675,14.832993,2.574080,7.264205,5.153707,events/second
1717299630,5892,14.280050,4.268083,7.255490,5.221241,events/second
1717299660,5896,13.320924,2.639232,6.577624,5.054428,events/second
1717299690,5898,12.479058,1.625683,5.957969,4.890903,events/second
1717299720,5902,11.741572,1.036536,5.403578,4.734920,events/second
1717299750,5904,11.083783,0.653598,4.895649,4.581870,events/second
1717299780,5908,10.499848,0.446937,4.442351,4.436018,events/second
1717299810,5910,9.971661,0.295989,4.025895,4.292767,events/second
1717299840,5914,9.497514,0.230035,3.655365,4.156392,events/second
1717299870,7950,12.180168,5.448425,4.407563,4.389019,events/second
1717299900,10947,16.034690,56.410071,18.465399,9.331379,events/second
1717299930,11374,15.958452,40.365316,18.085218,9.493233,events/second
1717299960,11386,15.329739,24.660708,16.408324,9.197277,events/second
1717299990,11388,14.736932,14.982383,14.853155,8.897934,events/second
1717300020,11393,14.192141,9.151320,13.455473,8.611680,events/second
1717300050,11395,13.683023,5.575464,12.181304,8.331535,events/second
1717300080,11400,13.212805,3.444653,11.037829,8.063843,events/second
1717300110,11406,12.775438,2.143620,10.000232,7.803862,events/second
1717300140,11410,12.364293,1.371765,9.067252,7.554536,events/second
1717300170,11412,11.977021,0.856925,8.210678,7.309048,events/second
1717300200,11416,11.615433,0.570260,7.441913,7.073788,events/second
1717300230,11418,11.273180,0.370788,6.740011,6.844061,events/second
1717300260,11423,10.953591,0.286862,6.114291,6.625129,events/second
1717300290,11425,10.649021,0.198898,5.538728,6.410111,events/second
1717300320,11429,10.362825,0.171147,5.024234,6.204321,events/second
1717300350,11431,10.090044,0.128714,4.552404,6.003099,events/second
1717300380,11450,9.846043,0.326790,4.179471,5.827060,events/second
1717300410,11453,9.600848,0.236652,3.791228,5.639301,events/second
1717300440,11458,9.369299,0.210037,3.446336,5.459890,events/second
1717300470,11460,9.146532,0.152302,3.124663,5.283073,events/second
1717300500,11464,8.935701,0.142885,2.839897,5.114233,events/second
1717300530,11466,8.732993,0.111572,2.575934,4.948747,events/second
1717300560,11472,8.542340,0.145253,2.349781,4.793059,events/second
1717300590,11474,8.357074,0.113008,2.132459,4.638103,events/second
1717300620,11482,8.184034,0.171393,1.954800,4.494778,events/second
1717300650,11484,8.014014,0.128863,1.775066,4.349601,events/second
1717300680,11490,7.853691,0.155741,1.625125,4.213555,events/second
1717300710,11492,7.697162,0.119369,1.476763,4.077598,events/second
1717300741,11496,7.548098,0.122910,1.348816,3.948277,events/second
1717300771,11498,7.403477,0.099457,1.226748,3.821017,events/second
1717300801,11502,7.265642,0.110833,1.122592,3.700108,events/second
1717300831,11504,7.131712,0.092131,1.022052,3.580984,events/second
1717300861,11508,7.003872,0.106389,0.937376,3.467944,events/second
1717300891,11510,6.879410,0.089436,0.854462,3.356431,events/second
1717300921,11514,6.760564,0.104755,0.785734,3.250753,events/second
1717300951,11518,6.645815,0.113353,0.723540,3.148540,events/second
1717300981,11522,6.534986,0.119261,0.667271,3.049677,events/second
1717301011,11524,6.426747,0.097243,0.610060,2.951877,events/second
1717301041,11528,6.323131,0.109490,0.564590,2.859462,events/second
1717301071,11530,6.221834,0.091317,0.517152,2.767897,events/second
1717301101,11535,6.125332,0.118349,0.483667,2.682603,events/second
1717301131,11537,6.030288,0.096690,0.443929,2.596836,events/second
1717301161,11541,5.939233,0.109155,0.414269,2.516061,events/second
1717301191,11543,5.849910,0.091113,0.381135,2.435754,events/second
1717301221,11547,5.764258,0.105772,0.357450,2.360260,events/second
1717301251,11549,5.680181,0.089062,0.329723,2.285061,events/second
1717301281,11553,5.599501,0.104528,0.310931,2.214507,events/second
1717301311,11556,5.520658,0.103020,0.290882,2.145188,events/second
1717301341,11560,5.444507,0.112994,0.275786,2.079219,events/second
1717301371,11564,5.370474,0.093442,0.255830,2.013234,events/second
1717301401,11570,5.299414,0.151185,0.256338,1.955914,events/second
1717301431,11576,5.230230,0.158774,0.250398,1.898282,events/second
1717301461,11580,5.162031,0.146810,0.239155,1.840408,events/second
1717301491,11582,5.094734,0.113953,0.222685,1.782251,events/second
1717301521,11586,5.030074,0.119625,0.214079,1.728181,events/second
1717301551,11588,4.966213,0.097464,0.199995,1.673704,events/second
1717301581,11594,4.905701,0.109624,0.193548,1.623193,events/second
1717301611,11596,4.845016,0.112482,0.187502,1.574313,events/second
1717301641,11600,4.786683,0.118733,0.182243,1.527060,events/second
1717301671,11602,4.728945,0.096923,0.171190,1.479177,events/second
1717301701,11606,4.673421,0.109296,0.167484,1.435043,events/second
1717301731,11608,4.618426,0.091199,0.157834,1.390176,events/second
1717301761,11612,4.565515,0.105824,0.155399,1.348959,events/second
1717301791,11616,4.513829,0.089093,0.146900,1.306915,events/second
1717301821,11620,4.463321,0.125631,0.151589,1.270583,events/second
1717301851,11622,4.413217,0.101107,0.143452,1.231108,events/second
1717301881,11626,4.365004,0.111833,0.142386,1.195107,events/second
1717301911,11628,4.317108,0.092738,0.135125,1.158106,events/second
1717301941,11632,4.270997,0.106758,0.134851,1.124498,events/second
1717301971,11634,4.225170,0.089660,0.128307,1.089812,events/second
1717302001,11638,4.181048,0.104890,0.128682,1.058443,events/second
1717302031,11640,4.137149,0.088527,0.122725,1.025922,events/second
1717302061,11644,4.094894,0.104203,0.123631,0.996648,events/second
1717302091,11646,4.052834,0.088110,0.118155,0.966153,events/second
1717302121,11650,4.012328,0.103951,0.119496,0.938838,events/second
1717302151,11652,3.971968,0.087957,0.114414,0.910239,events/second
1717302181,11656,3.933088,0.103858,0.116111,0.884757,events/second
1717302211,11658,3.894329,0.087901,0.111350,0.857930,events/second
1717302241,11662,3.856988,0.103824,0.113339,0.834163,events/second
1717302271,11666,3.820399,0.114952,0.115237,0.811187,events/second
1717302301,11672,3.785156,0.143147,0.123041,0.791120,events/second
1717302331,11674,3.749299,0.111731,0.117621,0.767363,events/second
1717302361,11678,3.714759,0.118277,0.119013,0.746565,events/second
1717302391,11680,3.680253,0.096647,0.113976,0.724269,events/second
1717302421,11684,3.647021,0.109128,0.115715,0.704884,events/second
1717302451,11686,3.613777,0.091097,0.110992,0.683955,events/second
1717302481,11690,3.581778,0.105762,0.113015,0.665891,events/second
1717302511,11692,3.549740,0.089056,0.108549,0.646240,events/second
1717302541,11696,3.518875,0.104524,0.110804,0.629413,events/second
1717302571,11698,3.487988,0.088305,0.106549,0.610958,events/second
1717302601,11702,3.458234,0.104069,0.108994,0.595287,events/second
1717302631,11704,3.428403,0.088029,0.104911,0.577951,events/second
1717302661,11708,3.399687,0.103901,0.107512,0.563362,events/second
1717302691,11710,3.370877,0.087927,0.103570,0.547073,events/second
1717302721,11714,3.343140,0.103839,0.106299,0.533497,events/second
1717302751,11716,3.315315,0.087890,0.102472,0.518186,events/second
1717302781,11720,3.288519,0.103817,0.105306,0.505557,events/second
1717302811,11722,3.261610,0.087876,0.101574,0.491162,events/second
1717302841,11726,3.235704,0.106366,0.104602,0.479431,events/second
1717302871,11728,3.209677,0.089422,0.100937,0.465893,events/second
1717302901,11732,3.184607,0.104746,0.103916,0.454979,events/second
1717302931,11734,3.159406,0.088440,0.100316,0.442242,events/second
1717302961,11738,3.135144,0.104150,0.103355,0.432103,events/second
1717302991,11740,3.110747,0.088078,0.099808,0.420116,events/second
