t,value
1717296900,0
1717296930,0
1717296960,0
1717296990,0
1717297020,0
1717297050,0
1717297080,0
1717297110,97
1717297140,97
1717297170,97
1717297200,97
1717297230,97
1717299240,111
1717299270,115
1717299300,2791
1717299330,2791
1717299360,2791
1717299390,2791
1717299420,2791
1717299450,2791
1717299480,2791
1717299510,2791
1717299540,2791
1717299570,2848
1717299600,2848
1717299630,2909
1717299660,2909
1717299690,2909
1717299720,2909
1717299750,2909
1717299780,2909
1717299810,2909
1717299840,2909
1717299870,3476
1717299900,4324
1717299930,4445
1717299960,4445
1717299990,4445
1717300020,4445
1717300050,4445
1717300080,4445
1717300110,4445
1717300140,4445
1717300170,4445
1717300200,4445
1717300230,4445
1717300260,4445
1717300290,4445
1717300320,4445
1717300350,4445
1717300380,4449
1717300410,4449
1717300440,4449
1717300470,4449
1717300500,4449
1717300530,4449
1717300560,4449
1717300590,4449
1717300620,4449
1717300650,4449
1717300680,4449
1717300710,4449
1717300741,4449
1717300771,4449
1717300801,4449
1717300831,4449
1717300861,4449
1717300891,4449
1717300921,4449
1717300951,4449
1717300981,4449
1717301011,4449
1717301041,4449
1717301071,4449
1717301101,4449
1717301131,4449
1717301161,4449
1717301191,4449
1717301221,4449
1717301251,4449
1717301281,4449
1717301311,4449
1717301341,4449
1717301371,4449
1717301401,4449
1717301431,4449
1717301461,4449
1717301491,4449
1717301521,4449
1717301551,4449
1717301581,4449
1717301611,4449
1717301641,4449
1717301671,4449
1717301701,4449
1717301731,4449
1717301761,4449
1717301791,4449
1717301821,4449
1717301851,4449
1717301881,4449
1717301911,4449
1717301941,4449
1717301971,4449
1717302001,4449
1717302031,4449
1717302061,4449
1717302091,4449
1717302121,4449
1717302151,4449
1717302181,4449
1717302211,4449
1717302241,4449
1717302271,4449
1717302301,4449
1717302331,4449
1717302361,4449
1717302391,4449
1717302421,4449
1717302451,4449
1717302481,4449
1717302511,4449
1717302541,4449
1717302571,4449
1717302601,4449
1717302631,4449
1717302661,4449
1717302691,4449
1717302721,4449
1717302751,4449
1717302781,4449
1717302811,4449
1717302841,4449
1717302871,4449
1717302901,4449
1717302931,4449
1717302961,4449
1717302991,4449
1717303021,4449
1717303051,4449
1717303082,4449
1717303112,4449
1717303142,4449
1717303172,4449
1717303202,4449
1717303232,4449
1717303262,4449
1717303292,4449
1717303322,4449
1717303352,4449
1717303382,4449
1717303412,4449
1717303442,4449
1717303472,4449
1717303502,4449
1717303532,4449
1717303562,4449
1717303592,4449
1717303622,4449
1717303652,4449
1717303682,4449
1717303712,4449
1717303742,4449
1717303772,4449
1717303802,4449
1717303832,4449
1717303862,4449
1717303892,4449
1717303922,4449
1717303952,4449
1717303982,4449
1717304012,4449
1717304042,4449
1717304072,4449
1717304102,4449
1717304132,4449
1717304162,4449
1717304192,4449
1717304222,4449
1717304252,4449
1717304282,4449
1717304312,4449
1717304342,4449
1717304372,4449
1717304402,4449
1717304432,4449
1717304462,4449
1717304492,4449
1717304522,4449
1717304552,4449
1717304582,4449
1717304612,4449
1717304642,4449
1717304672,4449
1717304702,4449
1717304732,4449
1717304762,4449
1717304792,4449
1717304822,4449
1717304852,4449
1717304882,4449
1717304912,4449
1717304942,4449
1717304972,4449
1717305002,4449
1717305032,4449
1717305062,4449
1717305092,4449
1717305122,4449
1717305152,4449
