t,value
1717296900,8
1717296930,8
1717296960,8
1717296990,8
1717297020,8
1717297050,8
1717297080,8
1717297110,117
1717297140,117
1717297170,117
1717297200,117
1717297230,117
1717299240,131
1717299270,135
1717299300,2811
1717299330,2811
1717299360,2811
1717299390,2811
1717299420,2811
1717299450,2811
1717299480,2811
1717299510,2811
1717299540,2811
1717299570,2874
1717299600,2874
1717299630,2945
1717299660,2945
1717299690,2945
1717299720,2945
1717299750,2945
1717299780,2945
1717299810,2945
1717299840,2945
1717299870,3588
1717299900,4532
1717299930,4683
1717299960,4683
1717299990,4683
1717300020,4683
1717300050,4683
1717300080,4683
1717300110,4683
1717300140,4683
1717300170,4683
1717300200,4683
1717300230,4683
1717300260,4683
1717300290,4683
1717300320,4683
1717300350,4683
1717300380,4687
1717300410,4687
1717300440,4687
1717300470,4687
1717300500,4687
1717300530,4687
1717300560,4687
1717300590,4687
1717300620,4687
1717300650,4687
1717300680,4687
1717300710,4687
1717300741,4687
1717300771,4687
1717300801,4687
1717300831,4687
1717300861,4687
1717300891,4687
1717300921,4687
1717300951,4687
1717300981,4687
1717301011,4687
1717301041,4687
1717301071,4687
1717301101,4687
1717301131,4687
1717301161,4687
1717301191,4687
1717301221,4687
1717301251,4687
1717301281,4687
1717301311,4687
1717301341,4687
1717301371,4687
1717301401,4687
1717301431,4687
1717301461,4687
1717301491,4687
1717301521,4687
1717301551,4687
1717301581,4687
1717301611,4687
1717301641,4687
1717301671,4687
1717301701,4687
1717301731,4687
1717301761,4687
1717301791,4687
1717301821,4687
1717301851,4687
1717301881,4687
1717301911,4687
1717301941,4687
1717301971,4687
1717302001,4687
1717302031,4687
1717302061,4687
1717302091,4687
1717302121,4687
1717302151,4687
1717302181,4687
1717302211,4687
1717302241,4687
1717302271,4687
1717302301,4687
1717302331,4687
1717302361,4687
1717302391,4687
1717302421,4687
1717302451,4687
1717302481,4687
1717302511,4687
1717302541,4687
1717302571,4687
1717302601,4687
1717302631,4687
1717302661,4687
1717302691,4687
1717302721,4687
1717302751,4687
1717302781,4687
1717302811,4687
1717302841,4687
1717302871,4687
1717302901,4687
1717302931,4687
1717302961,4687
1717302991,4687
1717303021,4687
1717303051,4687
1717303082,4687
1717303112,4687
1717303142,4687
1717303172,4687
1717303202,4687
1717303232,4687
1717303262,4687
1717303292,4687
1717303322,4687
1717303352,4687
1717303382,4687
1717303412,4687
1717303442,4687
1717303472,4687
1717303502,4687
1717303532,4687
1717303562,4687
1717303592,4687
1717303622,4687
1717303652,4687
1717303682,4687
1717303712,4687
1717303742,4687
1717303772,4687
1717303802,4687
1717303832,4687
1717303862,4687
1717303892,4687
1717303922,4687
1717303952,4687
1717303982,4687
1717304012,4687
1717304042,4687
1717304072,4687
1717304102,4687
1717304132,4687
1717304162,4687
1717304192,4687
1717304222,4687
1717304252,4687
1717304282,4687
1717304312,4687
1717304342,4687
1717304372,4687
1717304402,4687
1717304432,4687
1717304462,4687
1717304492,4687
1717304522,4687
1717304552,4687
1717304582,4687
1717304612,4687
1717304642,4687
1717304672,4687
1717304702,4687
1717304732,4687
1717304762,4687
1717304792,4687
1717304822,4687
1717304852,4687
1717304882,4687
1717304912,4687
1717304942,4687
1717304972,4687
1717305002,4687
1717305032,4687
1717305062,4687
1717305092,4687
1717305122,4687
1717305152,4687
1717305182,4687
1717305212,4687
1717305242,4687
1717305272,4687
1717305302,4687
1717305332,4687
1717305362,4687
1717305392,4687
1717305422,4687
1717305452,4687
1717305482,4687
1717305512,4687
1717305542,4687
1717305572,4687
1717305602,4687
1717305632,4687
1717305662,4687
1717305692,4687
1717305722,4687
1717305752,4687
1717305783,4687
1717305813,4687
1717305843,4687
1717305873,4687
1717305903,4687
1717305933,4687
1717305963,4687
1717305993,4687
1717306023,4687
1717306053,4687
1717306083,4687
1717306113,4687
1717306143,4687
1717306173,4687
1717306203,4687
1717306233,4687
1717306263,4687
1717306293,4687
1717306323,4687
1717306353,4687
1717306383,4687
1717306413,4687
1717306443,4687
1717306473,4687
1717306503,4687
1717306533,4687
1717306563,4687
1717306593,4687
1717306623,4687
1717306653,4687
1717306683,4687
1717306713,4687
1717306743,4687
1717306773,4687
1717306803,4687
1717306833,4687
1717306863,4687
1717306893,4687
1717306923,4687
1717306953,4687
1717306983,4687
1717307013,4687
1717307043,4687
1717307073,4687
1717307103,4687
1717307133,4687
1717307163,4687
1717307193,4687
1717307224,4687
1717307254,4687
1717307284,4687
1717307314,4687
1717307344,4687
1717307374,4687
1717307404,4687
1717307434,4687
1717307464,4687
1717307494,4687
1717307524,4687
1717307554,4687
1717307584,4687
1717307614,4687
1717307644,4687
1717307674,4687
1717307704,4687
1717307734,4687
1717307764,4687
1717307794,4687
1717307824,4687
1717307854,4687
1717307884,4687
1717307914,4687
1717307944,4687
1717307974,4687
1717308004,4687
1717308034,4687
1717308064,4687
1717308094,4687
1717308124,4687
1717308154,4687
1717308184,4687
1717308214,4687
1717308244,4687
1717308274,4687
1717308304,4687
1717308334,4687
1717308364,4687
1717308394,4687
1717308424,4687
1717308454,4687
1717308485,4687
1717308515,4687
1717308545,4687
1717308575,4687
1717308605,4687
1717308635,4687
1717308665,4687
1717308695,4687
1717308725,4687
1717308755,4687
1717308785,4687
1717308815,4687
1717308845,4687
1717308875,4687
1717308905,4687
1717308935,4687
1717308965,4687
1717308995,4687
1717309025,4687
1717309055,4687
1717309085,4687
1717309115,4687
1717309145,4687
1717309175,4687
1717309205,4687
1717309235,4687
1717309265,4687
1717309295,4687
1717309325,4687
1717309355,4687
1717309385,4687
1717309415,4687
1717309445,4687
1717309475,4687
1717309505,4687
1717309535,4687
1717309565,4687
1717309595,4687
1717309625,4687
1717309655,4687
1717309685,4687
1717309715,4687
1717309745,4687
1717309775,4687
1717309805,4687
1717309835,4687
1717309865,4687
1717309895,4687
1717309925,4687
1717309955,4687
1717309985,4687
1717310015,4687
1717310045,4687
1717310075,4687
1717310106,4687
1717310136,4687
1717310166,4687
1717310196,4687
1717310226,4687
1717310256,4687
1717310286,4687
1717310316,4687
1717310346,4687
1717310376,4687
1717310406,4687
1717310436,4687
1717310466,4687
1717310496,4687
1717310526,4687
1717310556,4687
1717310586,4687
1717310616,4687
1717310646,4687
1717310676,4687
1717310706,4687
1717310736,4687
1717310766,4687
1717310796,4687
1717310826,4687
1717310856,4687
1717310886,4687
1717310916,4687
1717310946,4687
1717310976,4687
1717311006,4687
1717311036,4687
1717311066,4687
1717311096,4687
1717311126,4687
1717311156,4687
1717311186,4687
1717311216,4687
1717311246,4687
1717311276,4687
1717311306,4687
1717311336,4687
1717311366,4687
1717311396,4687
1717311426,4687
1717311456,4687
1717311486,4687
1717311516,4687
1717311546,4687
1717311576,4687
1717311606,4687
1717311636,4687
1717311666,4687
1717311696,4687
1717311726,4687
1717311756,4687
1717311786,4687
1717311816,4687
1717311846,4687
1717311876,4687
1717311906,4687
1717311936,4687
1717311966,4687
1717311996,4687
1717312026,4687
1717312056,4687
1717312086,4687
1717312116,4687
1717312146,4687
1717312176,4687
1717312206,4687
1717312236,4687
1717312267,4687
1717312297,4687
1717312327,4687
1717312357,4687
1717312387,4687
1717312417,4687
1717312447,4687
1717312477,4687
1717312507,4687
1717312537,4687
1717312567,4687
1717312597,4687
1717312627,4687
1717312657,4687
1717312687,4687
1717312717,4687
1717312747,4687
1717312777,4687
1717312807,4687
1717312837,4687
1717312867,4687
1717312897,4687
1717312927,4687
1717312957,4687
1717312987,4687
1717313017,4687
1717313047,4687
1717313077,4687
1717313107,4687
1717313137,4687
1717313167,4687
1717313197,4687
1717313227,4687
1717313257,4687
1717313287,4687
1717313317,4687
1717313347,4687
1717313377,4687
1717313407,4687
1717313437,4687
1717313467,4687
1717313497,4687
1717313527,4687
1717313557,4687
1717313587,4687
1717313617,4687
1717313647,4687
1717313677,4687
1717313707,4687
1717313737,4687
1717313767,4687
1717313797,4687
1717313827,4687
1717313857,4687
1717313887,4687
1717313917,4687
1717313947,4687
1717313977,4687
1717314007,4687
1717314037,4687
1717314067,4687
1717314097,4687
1717314127,4687
1717314157,4687
1717314187,4687
1717314217,4687
1717314247,4687
1717314277,4687
1717314307,4687
1717314337,4687
1717314367,4687
1717314397,4687
1717314427,4687
1717314457,4687
1717314487,4687
1717314517,4687
1717314547,4687
1717314577,4687
1717314607,4687
1717314637,4687
1717314667,4687
1717314697,4687
1717314727,4687
1717314757,4687
1717314787,4687
1717314817,4687
1717314847,4687
1717314877,4687
1717314907,4687
1717314937,4687
1717314967,4687
1717314997,4687
1717315027,4687
1717315057,4687
1717315087,4687
1717315117,4687
1717315148,4687
1717315178,4687
1717315208,4687
1717315238,4687
1717315268,4687
1717315298,4687
1717315328,4687
1717315358,4687
1717315388,4687
1717315418,4687
1717315448,4687
1717315478,4687
1717315508,4687
1717315538,4687
1717315568,4687
1717315598,4687
1717315628,4687
1717315658,4687
1717315688,4687
1717315718,4687
1717315748,4687
1717315778,4687
1717315808,4687
1717315838,4687
1717315868,4687
1717315898,4687
1717315928,4687
1717315958,4687
1717315988,4687
1717316018,4687
1717316048,4687
1717316078,4687
1717316108,4687
1717316138,4687
1717316168,4687
1717316198,4687
1717316228,4687
1717316258,4687
1717316288,4687
1717316318,4687
1717316348,4687
1717316378,4687
1717316408,4687
1717316438,4687
1717316468,4687
1717316498,4687
1717316528,4687
1717316558,4687
1717316588,4687
1717316618,4687
1717316648,4687
1717316678,4687
1717316708,4687
1717316738,4687
1717316768,4687
1717316798,4687
1717316828,4687
1717316858,4687
1717316888,4687
1717316918,4687
1717316948,4687
1717316978,4687
1717317008,4687
1717317038,4687
1717317068,4687
1717317098,4687
1717317128,4687
1717317158,4687
1717317188,4687
1717317218,4687
1717317248,4687
1717317278,4687
1717317308,4687
1717317338,4687
1717317368,4687
1717317398,4687
1717317428,4687
1717317458,4687
1717317488,4687
1717317518,4687
1717317548,4687
1717317578,4687
1717317608,4687
1717317638,4687
1717317668,4687
1717317698,4687
1717317728,4687
1717317758,4687
1717325544,4687
1717325574,4687
1717325604,4687
1717325634,4687
1717325664,4687
1717325694,4687
1717325724,4687
1717325754,4687
1717325784,4687
1717325814,4687
1717325844,4687
1717325874,4687
1717325904,4687
1717325934,4687
1717325964,4687
1717325994,4687
1717326024,4687
1717326054,4687
1717326084,4687
1717326114,4687
1717326144,4687
1717326174,4687
1717326204,4687
1717326234,4687
1717326264,4687
1717326294,4687
1717326324,4687
1717326354,4687
1717326384,4687
1717326414,4687
1717326444,4687
1717326474,4687
1717326504,4687
1717326534,4687
1717326564,4687
1717326594,4687
1717326624,4687
1717326654,4687
1717326685,4687
1717326715,4687
1717326745,4687
1717326775,4687
1717326805,4687
1717326835,4687
1717326865,4687
1717326895,4687
1717326925,4687
1717326955,4687
1717326985,4687
1717327015,4687
1717327045,4687
1717327075,4687
1717327105,4687
1717327135,4687
1717327165,4687
1717327195,4687
1717327225,4687
1717327255,4687
1717327285,4687
1717327315,4687
1717327345,4687
1717327375,4687
1717327405,4687
1717327435,4687
1717327465,4687
1717327495,4687
1717327525,4687
1717327555,4687
1717327585,4687
1717327615,4687
1717327645,4687
1717327675,4687
1717327705,4687
1717327735,4687
1717327765,4687
1717327795,4687
1717327825,4687
1717327855,4687
1717327885,4687
1717327915,4687
1717327945,4687
1717327975,4687
1717328005,4687
1717328035,4687
1717328065,4687
1717328095,4687
1717328125,4687
1717328155,4687
1717328185,4687
1717328216,4687
1717328246,4687
1717328276,4687
1717328306,4687
1717328336,4687
1717328366,4687
1717328396,4687
1717328426,4687
1717328456,4687
1717328486,4687
1717328516,4687
1717328546,4687
1717328576,4687
1717328606,4687
1717328636,4687
1717328666,4687
1717328696,4687
1717328726,4687
1717328756,4687
1717328786,4687
1717328816,4687
1717328846,4687
1717328876,4687
1717328906,4687
1717328936,4687
1717328966,4687
1717328996,4687
1717329026,4687
1717329056,4687
1717329086,4687
1717329116,4687
1717329146,4687
1717329176,4687
1717329206,4687
1717329236,4687
1717329266,4687
1717329296,4687
1717329326,4687
1717329356,4687
1717329386,4687
1717329416,4687
1717329446,4687
1717329476,4687
1717329506,4687
1717329536,4687
1717329566,4687
1717329596,4687
1717329626,4687
1717329656,4687
1717329686,4687
1717329716,4687
1717329746,4687
1717329776,4687
1717329806,4687
1717329837,4687
1717329867,4687
1717329897,4687
1717329927,4687
1717329957,4687
1717329987,4687
1717330017,4687
1717330047,4687
1717330077,4687
1717330107,4687
1717330137,4687
1717330167,4687
1717330197,4687
1717330227,4687
1717330257,4687
1717330287,4687
1717330317,4687
1717330347,4687
1717330377,4687
1717330407,4687
1717330437,4687
1717330467,4687
1717330497,4687
1717330527,4687
1717330557,4687
1717330587,4687
1717330617,4687
1717330647,4687
1717330677,4687
1717330707,4687
1717330737,4687
1717330767,4687
1717330797,4687
1717330827,4687
1717330857,4687
1717330887,4687
1717330917,4687
1717330947,4687
1717330977,4687
1717331007,4687
1717331037,4687
1717331067,4687
1717331097,4687
1717331127,4687
1717331157,4687
1717331187,4687
1717331217,4687
1717331247,4687
1717331277,4687
1717331307,4687
1717331337,4687
1717331367,4687
1717331397,4687
1717331427,4687
1717331457,4687
1717331487,4687
1717331517,4687
1717331547,4687
1717331577,4687
1717331607,4687
1717331637,4687
1717331667,4687
1717331697,4687
1717331727,4687
1717331757,4687
1717331787,4687
1717331817,4687
1717331847,4687
1717331877,4687
1717331907,4687
1717331937,4687
1717331967,4687
1717331997,4687
1717332027,4687
1717332057,4687
1717332088,4687
1717332118,4687
1717332148,4687
1717332178,4687
1717332208,4687
1717332238,4687
1717332268,4687
1717332298,4687
