t,value
1717296900,0
1717296930,0
1717296960,0
1717296990,0
1717297020,0
1717297050,0
1717297080,0
1717297110,96
1717297140,96
1717297170,96
1717297200,96
1717297230,96
1717299240,96
1717299270,98
1717299300,2776
1717299330,2776
1717299360,2776
1717299390,2776
1717299420,2776
1717299450,2776
1717299480,2776
1717299510,2776
1717299540,2776
1717299570,2832
1717299600,2832
1717299630,2892
1717299660,2892
1717299690,2892
1717299720,2892
1717299750,2892
1717299780,2892
1717299810,2892
1717299840,2892
1717299870,3471
1717299900,4326
1717299930,4446
1717299960,4446
1717299990,4446
1717300020,4446
1717300050,4446
1717300080,4446
1717300110,4446
1717300140,4446
1717300170,4446
1717300200,4446
1717300230,4446
1717300260,4446
1717300290,4446
1717300320,4446
1717300350,4446
1717300380,4450
1717300410,4450
1717300440,4450
1717300470,4450
1717300500,4450
1717300530,4450
1717300560,4450
1717300590,4450
1717300620,4450
1717300650,4450
1717300680,4450
1717300710,4450
1717300741,4450
1717300771,4450
1717300801,4450
1717300831,4450
1717300861,4450
1717300891,4450
1717300921,4450
1717300951,4450
1717300981,4450
1717301011,4450
1717301041,4450
1717301071,4450
1717301101,4450
1717301131,4450
1717301161,4450
1717301191,4450
1717301221,4450
1717301251,4450
1717301281,4450
1717301311,4450
1717301341,4450
1717301371,4450
1717301401,4450
1717301431,4450
1717301461,4450
1717301491,4450
1717301521,4450
1717301551,4450
1717301581,4450
1717301611,4450
1717301641,4450
1717301671,4450
1717301701,4450
1717301731,4450
1717301761,4450
1717301791,4450
1717301821,4450
1717301851,4450
1717301881,4450
1717301911,4450
1717301941,4450
1717301971,4450
1717302001,4450
1717302031,4450
1717302061,4450
1717302091,4450
1717302121,4450
1717302151,4450
1717302181,4450
1717302211,4450
1717302241,4450
1717302271,4450
1717302301,4450
1717302331,4450
1717302361,4450
1717302391,4450
1717302421,4450
1717302451,4450
1717302481,4450
1717302511,4450
1717302541,4450
1717302571,4450
1717302601,4450
1717302631,4450
1717302661,4450
1717302691,4450
1717302721,4450
1717302751,4450
1717302781,4450
1717302811,4450
1717302841,4450
1717302871,4450
1717302901,4450
1717302931,4450
1717302961,4450
1717302991,4450
1717303021,4450
1717303051,4450
1717303082,4450
1717303112,4450
1717303142,4450
1717303172,4450
1717303202,4450
1717303232,4450
1717303262,4450
1717303292,4450
1717303322,4450
1717303352,4450
1717303382,4450
1717303412,4450
1717303442,4450
1717303472,4450
1717303502,4450
1717303532,4450
1717303562,4450
1717303592,4450
1717303622,4450
1717303652,4450
1717303682,4450
1717303712,4450
1717303742,4450
1717303772,4450
1717303802,4450
1717303832,4450
1717303862,4450
1717303892,4450
1717303922,4450
1717303952,4450
1717303982,4450
1717304012,4450
1717304042,4450
1717304072,4450
1717304102,4450
1717304132,4450
1717304162,4450
1717304192,4450
1717304222,4450
1717304252,4450
1717304282,4450
1717304312,4450
1717304342,4450
1717304372,4450
1717304402,4450
1717304432,4450
1717304462,4450
1717304492,4450
1717304522,4450
1717304552,4450
1717304582,4450
1717304612,4450
1717304642,4450
1717304672,4450
1717304702,4450
1717304732,4450
1717304762,4450
1717304792,4450
1717304822,4450
1717304852,4450
1717304882,4450
1717304912,4450
1717304942,4450
1717304972,4450
1717305002,4450
1717305032,4450
1717305062,4450
1717305092,4450
1717305122,4450
1717305152,4450
