t,value
1717296900,0
1717296930,0
1717296960,0
1717296990,0
1717297020,0
1717297050,0
1717297080,0
1717297110,4
1717297140,4
1717297170,4
1717297200,4
1717297230,4
1717299240,4
1717299270,6
1717299300,8
1717299330,8
1717299360,8
1717299390,8
1717299420,8
1717299450,8
1717299480,8
1717299510,8
1717299540,8
1717299570,8
1717299600,8
1717299630,8
1717299660,8
1717299690,8
1717299720,8
1717299750,8
1717299780,8
1717299810,8
1717299840,8
1717299870,8
1717299900,8
1717299930,8
1717299960,8
1717299990,8
1717300020,8
1717300050,8
1717300080,8
1717300110,8
1717300140,8
1717300170,8
1717300200,8
1717300230,8
1717300260,8
1717300290,8
1717300320,8
1717300350,8
1717300380,8
1717300410,8
1717300440,8
1717300470,8
1717300500,8
1717300530,8
1717300560,8
1717300590,8
1717300620,8
1717300650,8
1717300680,8
1717300710,8
1717300741,8
1717300771,8
1717300801,8
1717300831,8
1717300861,8
1717300891,8
1717300921,8
1717300951,8
1717300981,8
1717301011,8
1717301041,8
1717301071,8
1717301101,8
1717301131,8
1717301161,8
1717301191,8
1717301221,8
1717301251,8
1717301281,8
1717301311,8
1717301341,8
1717301371,8
1717301401,8
1717301431,8
1717301461,8
1717301491,8
1717301521,8
1717301551,8
1717301581,8
1717301611,8
1717301641,8
1717301671,8
1717301701,8
1717301731,8
1717301761,8
1717301791,8
1717301821,8
1717301851,8
1717301881,8
1717301911,8
1717301941,8
1717301971,8
1717302001,8
1717302031,8
1717302061,8
1717302091,8
1717302121,8
1717302151,8
1717302181,8
1717302211,8
1717302241,8
1717302271,8
1717302301,8
1717302331,8
1717302361,8
1717302391,8
1717302421,8
1717302451,8
1717302481,8
1717302511,8
1717302541,8
1717302571,8
1717302601,8
1717302631,8
1717302661,8
1717302691,8
1717302721,8
1717302751,8
1717302781,8
1717302811,8
1717302841,8
1717302871,8
1717302901,8
1717302931,8
1717302961,8
1717302991,8
1717303021,8
1717303051,8
1717303082,8
1717303112,8
1717303142,8
1717303172,8
1717303202,8
1717303232,8
1717303262,8
1717303292,8
1717303322,8
1717303352,8
1717303382,8
1717303412,8
1717303442,8
1717303472,8
1717303502,8
1717303532,8
1717303562,8
1717303592,8
1717303622,8
1717303652,8
1717303682,8
1717303712,8
1717303742,8
1717303772,8
1717303802,8
1717303832,8
1717303862,8
1717303892,8
1717303922,8
1717303952,8
1717303982,8
1717304012,8
1717304042,8
1717304072,8
1717304102,8
1717304132,8
1717304162,8
1717304192,8
1717304222,8
1717304252,8
1717304282,8
1717304312,8
1717304342,8
1717304372,8
1717304402,8
1717304432,8
1717304462,8
1717304492,8
1717304522,8
1717304552,8
1717304582,8
1717304612,8
1717304642,8
1717304672,8
1717304702,8
1717304732,8
1717304762,8
1717304792,8
1717304822,8
1717304852,8
1717304882,8
1717304912,8
1717304942,8
1717304972,8
1717305002,8
1717305032,8
1717305062,8
1717305092,8
1717305122,8
1717305152,8
1717305182,8
1717305212,8
1717305242,8
1717305272,8
1717305302,8
1717305332,8
1717305362,8
1717305392,8
1717305422,8
1717305452,8
1717305482,8
1717305512,8
1717305542,8
1717305572,8
1717305602,8
1717305632,8
1717305662,8
1717305692,8
1717305722,8
1717305752,8
1717305783,8
1717305813,8
1717305843,8
1717305873,8
1717305903,8
1717305933,8
1717305963,8
1717305993,8
