t,value
1717296900,74728
1717296930,74728
1717296960,74728
1717296990,74728
1717297020,74728
1717297050,74728
1717297080,74728
1717297110,74728
1717297140,74728
1717297170,74728
1717297200,74728
1717297230,74728
1717299240,927410
1717299270,927410
1717299300,927410
1717299330,927410
1717299360,927410
1717299390,927410
1717299420,927410
1717299450,927410
1717299480,927410
1717299510,927410
1717299540,927410
1717299570,927410
1717299600,927410
1717299630,927410
1717299660,927410
1717299690,927410
1717299720,927410
1717299750,927410
1717299780,927410
1717299810,927410
1717299840,927415
1717299870,927415
1717299900,927415
1717299930,927415
1717299960,927415
1717299990,927415
1717300020,927415
1717300050,927415
1717300080,927415
1717300110,927415
1717300140,927415
1717300170,927415
1717300200,927415
1717300230,927415
1717300260,927415
1717300290,927415
1717300320,927415
1717300350,927415
1717300380,927415
1717300410,927415
1717300440,927419
1717300470,927419
1717300500,927419
1717300530,927419
1717300560,927419
1717300590,927419
1717300620,927419
1717300650,927419
1717300680,927419
1717300710,927419
1717300741,927419
1717300771,927419
1717300801,927419
1717300831,927419
1717300861,927419
1717300891,927419
1717300921,927419
1717300951,927419
1717300981,927419
1717301011,927419
1717301041,1795771
1717301071,1795771
1717301101,1795771
1717301131,1795771
1717301161,1795771
1717301191,1795771
1717301221,1795771
1717301251,1795771
1717301281,1795771
1717301311,1795771
1717301341,1795771
1717301371,1795771
1717301401,1795771
1717301431,1795771
1717301461,1795771
1717301491,1795771
1717301521,1795771
1717301551,1795771
1717301581,1795771
1717301611,1795771
1717301641,1795771
1717301671,1795771
1717301701,1795771
1717301731,1795771
1717301761,1795771
1717301791,1795771
1717301821,1795771
1717301851,1795771
1717301881,1795771
1717301911,1795771
1717301941,1795771
1717301971,1795771
1717302001,1795771
1717302031,1795771
1717302061,1795771
1717302091,1795771
1717302121,1795771
1717302151,1795771
1717302181,1795771
1717302211,1795771
1717302241,1795771
1717302271,1795771
1717302301,1795771
1717302331,1795771
1717302361,1795771
1717302391,1795771
1717302421,1795771
1717302451,1795771
1717302481,1795771
1717302511,1795771
1717302541,1795771
1717302571,1795771
1717302601,1795771
1717302631,1795771
1717302661,1795771
1717302691,1795771
1717302721,1795771
1717302751,1795771
1717302781,1795771
1717302811,1795771
1717302841,1795771
1717302871,1795771
1717302901,1795771
1717302931,1795771
1717302961,1795771
1717302991,1795771
1717303021,1795771
1717303051,1795771
1717303082,1795771
1717303112,1795771
1717303142,1795771
1717303172,1795771
1717303202,1795771
1717303232,1795771
1717303262,1795771
1717303292,1795771
1717303322,1795771
1717303352,1795771
1717303382,1795771
1717303412,1795771
1717303442,1795771
1717303472,1795771
1717303502,1795771
1717303532,1795771
1717303562,1795771
1717303592,1795771
1717303622,1795771
1717303652,1795771
1717303682,1795771
1717303712,1795771
1717303742,1795771
1717303772,1795771
1717303802,1795771
1717303832,1795771
1717303862,1795771
1717303892,1795771
1717303922,1795771
1717303952,1795771
1717303982,1795771
1717304012,1795771
1717304042,1795771
1717304072,1795771
1717304102,1795771
1717304132,1795771
1717304162,1795771
1717304192,1795771
1717304222,1795771
1717304252,1795771
1717304282,1795771
1717304312,1795771
1717304342,1795771
1717304372,1795771
1717304402,1795771
1717304432,1795771
1717304462,1795771
1717304492,1795771
1717304522,1795771
1717304552,1795771
1717304582,1795771
1717304612,1795771
1717304642,1795771
1717304672,1795771
1717304702,1795771
1717304732,1795771
1717304762,1795771
1717304792,1795771
1717304822,1795771
1717304852,1795771
1717304882,1795771
1717304912,1795771
1717304942,1795771
1717304972,1795771
1717305002,1795771
1717305032,1795771
1717305062,1795771
1717305092,1795771
1717305122,1795771
1717305152,1795771
1717305182,1795771
1717305212,1795771
1717305242,1795771
1717305272,1795771
1717305302,1795771
1717305332,1795771
1717305362,1795771
1717305392,1795771
1717305422,1795771
1717305452,1795771
1717305482,1795771
1717305512,1795771
1717305542,1795771
1717305572,1795771
1717305602,1795771
1717305632,1795771
1717305662,1795771
1717305692,1795771
1717305722,1795771
1717305752,1795771
1717305783,1795771
1717305813,1795771
1717305843,1795771
1717305873,1795771
1717305903,1795771
1717305933,1795771
1717305963,1795771
1717305993,1795771
1717306023,1795771
1717306053,1795771
1717306083,1795771
1717306113,1795771
1717306143,1795771
1717306173,1795771
1717306203,1795771
1717306233,1795771
1717306263,1795771
1717306293,1795771
1717306323,1795771
1717306353,1795771
1717306383,1795771
1717306413,1795771
1717306443,1795771
1717306473,1795771
1717306503,1795771
1717306533,1795771
1717306563,1795771
1717306593,1795771
1717306623,1795771
1717306653,1795771
1717306683,1795771
1717306713,1795771
1717306743,1795771
1717306773,1795771
1717306803,1795771
1717306833,1795771
1717306863,1795771
1717306893,1795771
1717306923,1795771
1717306953,1795771
1717306983,1795771
1717307013,1795771
1717307043,1795771
1717307073,1795771
1717307103,1795771
1717307133,1795771
1717307163,1795771
1717307193,1795771
1717307224,1795771
1717307254,1795771
1717307284,1795771
1717307314,1795771
1717307344,1795771
1717307374,1795771
1717307404,1795771
1717307434,1795771
1717307464,1795771
1717307494,1795771
1717307524,1795771
1717307554,1795771
1717307584,1795771
1717307614,1795771
1717307644,1795771
1717307674,1795771
1717307704,1795771
1717307734,1795771
1717307764,1795771
1717307794,1795771
1717307824,1795771
1717307854,1795771
1717307884,1795771
1717307914,1795771
1717307944,1795771
1717307974,1795771
1717308004,1795771
1717308034,1795771
1717308064,1795771
1717308094,1795771
1717308124,1795771
1717308154,1795771
1717308184,1795771
1717308214,1795771
1717308244,1795771
1717308274,1795771
