t,value
1717296900,74856
1717296930,74856
1717296960,74856
1717296990,74856
1717297020,74856
1717297050,74856
1717297080,74856
1717297110,74856
1717297140,74856
1717297170,74856
1717297200,74856
1717297230,74856
1717299240,1009946
1717299270,1009946
1717299300,1009946
1717299330,1009946
1717299360,1009946
1717299390,1009946
1717299420,1009946
1717299450,1009946
1717299480,1009946
1717299510,1009946
1717299540,1009946
1717299570,1009946
1717299600,1009946
1717299630,1009946
1717299660,1009946
1717299690,1009946
1717299720,1009946
1717299750,1009946
1717299780,1009946
1717299810,1009946
1717299840,3429784
1717299870,3429784
1717299900,3429784
1717299930,3429784
1717299960,3429784
1717299990,3429784
1717300020,3429784
1717300050,3429784
1717300080,3429784
1717300110,3429784
1717300140,3429784
1717300170,3429784
1717300200,3429784
1717300230,3429784
1717300260,3429784
1717300290,3429784
1717300320,3429784
1717300350,3429784
1717300380,3429784
1717300410,3429784
1717300440,4681904
1717300470,4681904
1717300500,4681904
1717300530,4681904
1717300560,4681904
1717300590,4681904
1717300620,4681904
1717300650,4681904
1717300680,4681904
1717300710,4681904
1717300741,4681904
1717300771,4681904
1717300801,4681904
1717300831,4681904
1717300861,4681904
1717300891,4681904
1717300921,4681904
1717300951,4681904
1717300981,4681904
1717301011,4681904
1717301041,5550488
1717301071,5550488
1717301101,5550488
1717301131,5550488
1717301161,5550488
1717301191,5550488
1717301221,5550488
1717301251,5550488
1717301281,5550488
1717301311,5550488
1717301341,5550488
1717301371,5550488
1717301401,5550488
1717301431,5550488
1717301461,5550488
1717301491,5550488
1717301521,5550488
1717301551,5550488
1717301581,5550488
1717301611,5550488
1717301641,5550488
1717301671,5550488
1717301701,5550488
1717301731,5550488
1717301761,5550488
1717301791,5550488
1717301821,5550488
1717301851,5550488
1717301881,5550488
1717301911,5550488
1717301941,5550488
1717301971,5550488
1717302001,5550488
1717302031,5550488
1717302061,5550488
1717302091,5550488
1717302121,5550488
1717302151,5550488
1717302181,5550488
1717302211,5550488
1717302241,5550488
1717302271,5550488
1717302301,5550488
1717302331,5550488
1717302361,5550488
1717302391,5550488
1717302421,5550488
1717302451,5550488
1717302481,5550488
1717302511,5550488
1717302541,5550488
1717302571,5550488
1717302601,5550488
1717302631,5550488
1717302661,5550488
1717302691,5550488
1717302721,5550488
1717302751,5550488
1717302781,5550488
1717302811,5550488
1717302841,5550488
1717302871,5550488
1717302901,5550488
1717302931,5550488
1717302961,5550488
1717302991,5550488
1717303021,5550488
1717303051,5550488
1717303082,5550488
1717303112,5550488
1717303142,5550488
1717303172,5550488
1717303202,5550488
1717303232,5550488
1717303262,5550488
1717303292,5550488
1717303322,5550488
1717303352,5550488
1717303382,5550488
1717303412,5550488
1717303442,5550488
1717303472,5550488
1717303502,5550488
1717303532,5550488
1717303562,5550488
1717303592,5550488
1717303622,5550488
1717303652,5550488
1717303682,5550488
1717303712,5550488
1717303742,5550488
1717303772,5550488
1717303802,5550488
1717303832,5550488
1717303862,5550488
1717303892,5550488
1717303922,5550488
1717303952,5550488
1717303982,5550488
1717304012,5550488
1717304042,5550488
1717304072,5550488
1717304102,5550488
1717304132,5550488
1717304162,5550488
1717304192,5550488
1717304222,5550488
1717304252,5550488
1717304282,5550488
1717304312,5550488
1717304342,5550488
1717304372,5550488
1717304402,5550488
1717304432,5550488
1717304462,5550488
1717304492,5550488
1717304522,5550488
1717304552,5550488
1717304582,5550488
1717304612,5550488
1717304642,5550488
1717304672,5550488
1717304702,5550488
1717304732,5550488
1717304762,5550488
1717304792,5550488
1717304822,5550488
1717304852,5550488
1717304882,5550488
1717304912,5550488
1717304942,5550488
1717304972,5550488
1717305002,5550488
1717305032,5550488
1717305062,5550488
1717305092,5550488
1717305122,5550488
1717305152,5550488
1717305182,5550488
1717305212,5550488
1717305242,5550488
1717305272,5550488
1717305302,5550488
1717305332,5550488
1717305362,5550488
1717305392,5550488
1717305422,5550488
1717305452,5550488
1717305482,5550488
1717305512,5550488
1717305542,5550488
1717305572,5550488
1717305602,5550488
1717305632,5550488
1717305662,5550488
1717305692,5550488
1717305722,5550488
1717305752,5550488
1717305783,5550488
1717305813,5550488
1717305843,5550488
1717305873,5550488
1717305903,5550488
1717305933,5550488
1717305963,5550488
1717305993,5550488
1717306023,5550488
1717306053,5550488
1717306083,5550488
1717306113,5550488
1717306143,5550488
1717306173,5550488
1717306203,5550488
1717306233,5550488
1717306263,5550488
1717306293,5550488
1717306323,5550488
1717306353,5550488
1717306383,5550488
1717306413,5550488
1717306443,5550488
1717306473,5550488
1717306503,5550488
1717306533,5550488
1717306563,5550488
1717306593,5550488
1717306623,5550488
1717306653,5550488
1717306683,5550488
1717306713,5550488
1717306743,5550488
1717306773,5550488
1717306803,5550488
1717306833,5550488
1717306863,5550488
1717306893,5550488
1717306923,5550488
1717306953,5550488
1717306983,5550488
1717307013,5550488
1717307043,5550488
1717307073,5550488
1717307103,5550488
1717307133,5550488
1717307163,5550488
1717307193,5550488
1717307224,5550488
1717307254,5550488
1717307284,5550488
1717307314,5550488
1717307344,5550488
1717307374,5550488
1717307404,5550488
1717307434,5550488
1717307464,5550488
1717307494,5550488
1717307524,5550488
1717307554,5550488
1717307584,5550488
1717307614,5550488
1717307644,5550488
1717307674,5550488
1717307704,5550488
1717307734,5550488
1717307764,5550488
1717307794,5550488
1717307824,5550488
1717307854,5550488
1717307884,5550488
1717307914,5550488
1717307944,5550488
1717307974,5550488
1717308004,5550488
1717308034,5550488
1717308064,5550488
1717308094,5550488
1717308124,5550488
1717308154,5550488
1717308184,5550488
1717308214,5550488
1717308244,5550488
1717308274,5550488
1717308304,5550488
1717308334,5550488
1717308364,5550488
1717308394,5550488
1717308424,5550488
1717308454,5550488
1717308485,5550488
1717308515,5550488
1717308545,5550488
1717308575,5550488
1717308605,5550488
1717308635,5550488
1717308665,5550488
1717308695,5550488
1717308725,5550488
1717308755,5550488
1717308785,5550488
1717308815,5550488
1717308845,5550488
1717308875,5550488
1717308905,5550488
1717308935,5550488
1717308965,5550488
1717308995,5550488
1717309025,5550488
1717309055,5550488
1717309085,5550488
1717309115,5550488
1717309145,5550488
1717309175,5550488
1717309205,5550488
1717309235,5550488
1717309265,5550488
1717309295,5550488
1717309325,5550488
1717309355,5550488
1717309385,5550488
1717309415,5550488
1717309445,5550488
1717309475,5550488
1717309505,5550488
1717309535,5550488
1717309565,5550488
1717309595,5550488
1717309625,5550488
1717309655,5550488
1717309685,5550488
1717309715,5550488
1717309745,5550488
1717309775,5550488
1717309805,5550488
1717309835,5550488
1717309865,5550488
1717309895,5550488
1717309925,5550488
1717309955,5550488
1717309985,5550488
1717310015,5550488
1717310045,5550488
1717310075,5550488
1717310106,5550488
1717310136,5550488
1717310166,5550488
1717310196,5550488
1717310226,5550488
1717310256,5550488
1717310286,5550488
1717310316,5550488
1717310346,5550488
1717310376,5550488
1717310406,5550488
1717310436,5550488
1717310466,5550488
1717310496,5550488
1717310526,5550488
1717310556,5550488
1717310586,5550488
1717310616,5550488
1717310646,5550488
1717310676,5550488
1717310706,5550488
1717310736,5550488
1717310766,5550488
1717310796,5550488
1717310826,5550488
1717310856,5550488
1717310886,5550488
1717310916,5550488
1717310946,5550488
1717310976,5550488
1717311006,5550488
1717311036,5550488
1717311066,5550488
1717311096,5550488
1717311126,5550488
1717311156,5550488
1717311186,5550488
1717311216,5550488
1717311246,5550488
1717311276,5550488
1717311306,5550488
1717311336,5550488
1717311366,5550488
1717311396,5550488
1717311426,5550488
1717311456,5550488
1717311486,5550488
1717311516,5550488
1717311546,5550488
1717311576,5550488
1717311606,5550488
1717311636,5550488
1717311666,5550488
1717311696,5550488
1717311726,5550488
1717311756,5550488
1717311786,5550488
1717311816,5550488
1717311846,5550488
1717311876,5550488
1717311906,5550488
1717311936,5550488
1717311966,5550488
1717311996,5550488
1717312026,5550488
1717312056,5550488
1717312086,5550488
1717312116,5550488
1717312146,5550488
1717312176,5550488
1717312206,5550488
1717312236,5550488
1717312267,5550488
1717312297,5550488
1717312327,5550488
1717312357,5550488
1717312387,5550488
1717312417,5550488
1717312447,5550488
1717312477,5550488
1717312507,5550488
1717312537,5550488
1717312567,5550488
1717312597,5550488
1717312627,5550488
1717312657,5550488
1717312687,5550488
1717312717,5550488
1717312747,5550488
1717312777,5550488
1717312807,5550488
1717312837,5550488
1717312867,5550488
1717312897,5550488
1717312927,5550488
1717312957,5550488
1717312987,5550488
1717313017,5550488
1717313047,5550488
1717313077,5550488
1717313107,5550488
1717313137,5550488
1717313167,5550488
1717313197,5550488
1717313227,5550488
1717313257,5550488
1717313287,5550488
1717313317,5550488
1717313347,5550488
1717313377,5550488
1717313407,5550488
1717313437,5550488
1717313467,5550488
1717313497,5550488
1717313527,5550488
1717313557,5550488
1717313587,5550488
1717313617,5550488
1717313647,5550488
1717313677,5550488
1717313707,5550488
1717313737,5550488
1717313767,5550488
1717313797,5550488
1717313827,5550488
1717313857,5550488
1717313887,5550488
1717313917,5550488
1717313947,5550488
1717313977,5550488
1717314007,5550488
1717314037,5550488
1717314067,5550488
1717314097,5550488
1717314127,5550488
1717314157,5550488
1717314187,5550488
1717314217,5550488
1717314247,5550488
1717314277,5550488
1717314307,5550488
1717314337,5550488
1717314367,5550488
1717314397,5550488
1717314427,5550488
1717314457,5550488
1717314487,5550488
1717314517,5550488
1717314547,5550488
1717314577,5550488
1717314607,5550488
1717314637,5550488
1717314667,5550488
1717314697,5550488
1717314727,5550488
1717314757,5550488
1717314787,5550488
1717314817,5550488
1717314847,5550488
1717314877,5550488
1717314907,5550488
1717314937,5550488
1717314967,5550488
1717314997,5550488
1717315027,5550488
1717315057,5550488
1717315087,5550488
1717315117,5550488
1717315148,5550488
1717315178,5550488
1717315208,5550488
1717315238,5550488
1717315268,5550488
1717315298,5550488
1717315328,5550488
1717315358,5550488
1717315388,5550488
1717315418,5550488
1717315448,5550488
1717315478,5550488
1717315508,5550488
1717315538,5550488
1717315568,5550488
1717315598,5550488
1717315628,5550488
1717315658,5550488
1717315688,5550488
1717315718,5550488
1717315748,5550488
1717315778,5550488
1717315808,5550488
1717315838,5550488
1717315868,5550488
1717315898,5550488
1717315928,5550488
1717315958,5550488
1717315988,5550488
1717316018,5550488
1717316048,5550488
1717316078,5550488
1717316108,5550488
1717316138,5550488
1717316168,5550488
1717316198,5550488
1717316228,5550488
1717316258,5550488
1717316288,5550488
1717316318,5550488
1717316348,5550488
1717316378,5550488
1717316408,5550488
1717316438,5550488
1717316468,5550488
1717316498,5550488
1717316528,5550488
1717316558,5550488
1717316588,5550488
1717316618,5550488
1717316648,5550488
1717316678,5550488
1717316708,5550488
1717316738,5550488
1717316768,5550488
1717316798,5550488
1717316828,5550488
1717316858,5550488
1717316888,5550488
1717316918,5550488
1717316948,5550488
1717316978,5550488
1717317008,5550488
1717317038,5550488
1717317068,5550488
1717317098,5550488
1717317128,5550488
1717317158,5550488
1717317188,5550488
1717317218,5550488
1717317248,5550488
1717317278,5550488
1717317308,5550488
1717317338,5550488
1717317368,5550488
1717317398,5550488
1717317428,5550488
1717317458,5550488
1717317488,5550488
1717317518,5550488
1717317548,5550488
1717317578,5550488
1717317608,5550488
1717317638,5550488
1717317668,5550488
1717317698,5550488
1717317728,5550488
1717317758,5550488
1717325544,5550257
1717325574,5550257
1717325604,5550257
1717325634,5550488
1717325664,5550488
1717325694,5550488
1717325724,5550488
1717325754,5550488
1717325784,5550488
1717325814,5550488
1717325844,5550488
1717325874,5550488
1717325904,5550488
1717325934,5550488
1717325964,5550488
1717325994,5550488
1717326024,5550488
1717326054,5550488
1717326084,5550488
1717326114,5550488
1717326144,5550488
1717326174,5550488
1717326204,5550488
1717326234,5550488
1717326264,5550488
1717326294,5550488
1717326324,5550488
1717326354,5550488
1717326384,5550488
1717326414,5550488
1717326444,5550488
1717326474,5550488
1717326504,5550488
1717326534,5550488
1717326564,5550488
1717326594,5550488
1717326624,5550488
1717326654,5550488
1717326685,5550488
1717326715,5550488
1717326745,5550488
1717326775,5550488
1717326805,5550488
1717326835,5550488
1717326865,5550488
1717326895,5550488
1717326925,5550488
1717326955,5550488
1717326985,5550488
1717327015,5550488
1717327045,5550488
1717327075,5550488
1717327105,5550488
1717327135,5550488
1717327165,5550488
1717327195,5550488
1717327225,5550488
1717327255,5550488
1717327285,5550488
1717327315,5550488
1717327345,5550488
1717327375,5550488
1717327405,5550488
1717327435,5550488
1717327465,5550488
1717327495,5550488
1717327525,5550488
1717327555,5550488
1717327585,5550488
1717327615,5550488
1717327645,5550488
1717327675,5550488
1717327705,5550488
1717327735,5550488
1717327765,5550488
1717327795,5550488
1717327825,5550488
1717327855,5550488
1717327885,5550488
1717327915,5550488
1717327945,5550488
1717327975,5550488
1717328005,5550488
1717328035,5550488
1717328065,5550488
1717328095,5550488
1717328125,5550488
1717328155,5550488
1717328185,5550488
1717328216,5550488
1717328246,5550488
1717328276,5550488
1717328306,5550488
1717328336,5550488
1717328366,5550488
1717328396,5550488
1717328426,5550488
1717328456,5550488
1717328486,5550488
1717328516,5550488
1717328546,5550488
1717328576,5550488
1717328606,5550488
1717328636,5550488
1717328666,5550488
1717328696,5550488
1717328726,5550488
1717328756,5550488
1717328786,5550488
1717328816,5550488
1717328846,5550488
1717328876,5550488
1717328906,5550488
1717328936,5550488
1717328966,5550488
1717328996,5550488
1717329026,5550488
1717329056,5550488
1717329086,5550488
1717329116,5550488
1717329146,5550488
1717329176,5550488
1717329206,5550488
1717329236,5550488
1717329266,5550488
1717329296,5550488
1717329326,5550488
1717329356,5550488
1717329386,5550488
1717329416,5550488
1717329446,5550488
1717329476,5550488
