t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,2,0.090529,0.000000,0.000000,0.000000,events/second
1717296930,2,0.038262,0.000000,0.000000,0.000000,events/second
1717296960,2,0.024299,0.000000,0.000000,0.000000,events/second
1717296990,3,0.026706,0.000000,0.000000,0.000000,events/second
1717297020,4,0.028101,0.000000,0.000000,0.000000,events/second
1717297050,4,0.023207,0.000000,0.000000,0.000000,events/second
1717297080,4,0.019765,0.000000,0.000000,0.000000,events/second
1717297110,362,1.557541,0.000000,0.000000,0.000000,events/second
1717297140,364,1.387001,0.000000,0.000000,0.000000,events/second
1717297170,368,1.258289,0.000000,0.000000,0.000000,events/second
1717297200,370,1.147387,0.000000,0.000000,0.000000,events/second
1717297230,372,1.055374,0.000000,0.000000,0.000000,events/second
1717299240,39,1.782472,0.000000,0.000000,0.000000,events/second
1717299270,68,1.307062,0.000000,0.000000,0.000000,events/second
1717299300,5441,66.325710,0.000000,0.000000,0.000000,events/second
1717299330,5443,48.577180,0.000000,0.000000,0.000000,events/second
1717299360,5447,38.343655,0.000000,0.000000,0.000000,events/second
1717299390,5449,31.664908,0.000000,0.000000,0.000000,events/second
1717299420,5453,26.983360,0.000000,0.000000,0.000000,events/second
1717299450,5455,23.503652,0.000000,0.000000,0.000000,events/second
1717299480,5459,20.827637,0.000000,0.000000,0.000000,events/second
1717299510,5461,18.694470,0.000000,0.000000,0.000000,events/second
1717299540,5467,16.971378,0.000000,0.000000,0.000000,events/second
1717299570,5670,16.101227,0.000000,0.000000,0.000000,events/second
1717299600,5678,14.857793,0.000000,0.000000,0.000000,events/second
1717299630,5895,14.302460,0.000000,0.000000,0.000000,events/second
1717299660,5899,13.340865,0.000000,0.000000,0.000000,events/second
1717299690,5901,12.496952,0.000000,0.000000,0.000000,events/second
1717299720,5905,11.757756,0.000000,0.000000,0.000000,events/second
1717299750,5907,11.098514,0.000000,0.000000,0.000000,events/second
1717299780,5911,10.513340,0.000000,0.000000,0.000000,events/second
1717299810,5913,9.984080,0.000000,0.000000,0.000000,events/second
1717299840,5917,9.509001,0.000000,0.000000,0.000000,events/second
1717299870,7953,12.192923,0.000000,0.000000,0.000000,events/second
1717299900,10950,16.049351,0.000000,0.000000,0.000000,events/second
1717299930,11377,15.972449,0.000000,0.000000,0.000000,events/second
1717299960,11389,15.342799,0.000000,0.000000,0.000000,events/second
1717299990,11391,14.749149,0.000000,0.000000,0.000000,events/second
1717300020,11396,14.203605,0.000000,0.000000,0.000000,events/second
1717300050,11398,13.693807,0.000000,0.000000,0.000000,events/second
1717300080,11403,13.222975,0.000000,0.000000,0.000000,events/second
1717300110,11409,12.785052,0.000000,0.000000,0.000000,events/second
1717300140,11413,12.373400,0.000000,0.000000,0.000000,events/second
