t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,0,0.000000,0.000000,0.000000,0.000000,events/second
1717296930,0,0.000000,0.000000,0.000000,0.000000,events/second
1717296960,0,0.000000,0.000000,0.000000,0.000000,events/second
1717296990,1,0.008902,0.000000,0.000000,0.000000,events/second
1717297020,2,0.014050,0.000000,0.000000,0.000000,events/second
1717297050,2,0.011603,0.000000,0.000000,0.000000,events/second
1717297080,2,0.009882,0.000000,0.000000,0.000000,events/second
1717297110,156,0.671204,0.000000,0.000000,0.000000,events/second
1717297140,158,0.602050,0.000000,0.000000,0.000000,events/second
1717297170,162,0.553921,0.000000,0.000000,0.000000,events/second
1717297200,164,0.508572,0.000000,0.000000,0.000000,events/second
1717297230,166,0.470947,0.000000,0.000000,0.000000,events/second
1717299240,24,1.096656,0.000000,0.000000,0.000000,events/second
1717299270,41,0.788082,0.000000,0.000000,0.000000,events/second
1717299300,58,0.707019,0.000000,0.000000,0.000000,events/second
1717299330,60,0.535483,0.000000,0.000000,0.000000,events/second
1717299360,64,0.450522,0.000000,0.000000,0.000000,events/second
1717299390,66,0.383535,0.000000,0.000000,0.000000,events/second
1717299420,70,0.346385,0.000000,0.000000,0.000000,events/second
1717299450,72,0.310222,0.000000,0.000000,0.000000,events/second
1717299480,76,0.289962,0.000000,0.000000,0.000000,events/second
1717299510,78,0.267015,0.000000,0.000000,0.000000,events/second
1717299540,84,0.260764,0.000000,0.000000,0.000000,events/second
1717299570,174,0.494112,0.000000,0.000000,0.000000,events/second
1717299600,182,0.476245,0.000000,0.000000,0.000000,events/second
1717299630,278,0.674484,0.000000,0.000000,0.000000,events/second
1717299660,282,0.637756,0.000000,0.000000,0.000000,events/second
1717299690,284,0.601446,0.000000,0.000000,0.000000,events/second
1717299720,288,0.573452,0.000000,0.000000,0.000000,events/second
1717299750,290,0.544874,0.000000,0.000000,0.000000,events/second
1717299780,294,0.522910,0.000000,0.000000,0.000000,events/second
1717299810,296,0.499795,0.000000,0.000000,0.000000,events/second
1717299840,300,0.482119,0.000000,0.000000,0.000000,events/second
1717299870,1189,1.822883,0.000000,0.000000,0.000000,events/second
1717299900,2463,3.610005,0.000000,0.000000,0.000000,events/second
1717299930,2648,3.717592,0.000000,0.000000,0.000000,events/second
1717299960,2660,3.583444,0.000000,0.000000,0.000000,events/second
1717299990,2662,3.446777,0.000000,0.000000,0.000000,events/second
1717300020,2667,3.324063,0.000000,0.000000,0.000000,events/second
1717300050,2669,3.206595,0.000000,0.000000,0.000000,events/second
1717300080,2674,3.100784,0.000000,0.000000,0.000000,events/second
1717300110,2680,3.003238,0.000000,0.000000,0.000000,events/second
1717300140,2684,2.909858,0.000000,0.000000,0.000000,events/second
1717300170,2686,2.820280,0.000000,0.000000,0.000000,events/second
1717300200,2690,2.738210,0.000000,0.000000,0.000000,events/second
1717300230,2692,2.659003,0.000000,0.000000,0.000000,events/second
