t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,2,0.090501,0.000000,0.000000,0.000000,events/second
1717296930,2,0.038260,0.000000,0.000000,0.000000,events/second
1717296960,2,0.024299,0.000000,0.000000,0.000000,events/second
1717296990,2,0.017804,0.000000,0.000000,0.000000,events/second
1717297020,2,0.014050,0.000000,0.000000,0.000000,events/second
1717297050,2,0.011603,0.000000,0.000000,0.000000,events/second
1717297080,2,0.009882,0.000000,0.000000,0.000000,events/second
1717297110,206,0.886333,0.000000,0.000000,0.000000,events/second
1717297140,206,0.784951,0.000000,0.000000,0.000000,events/second
1717297170,206,0.704369,0.000000,0.000000,0.000000,events/second
1717297200,206,0.638816,0.000000,0.000000,0.000000,events/second
1717297230,206,0.584428,0.000000,0.000000,0.000000,events/second
1717299240,15,0.685287,0.000000,0.000000,0.000000,events/second
1717299270,27,0.518981,0.000000,0.000000,0.000000,events/second
1717299300,5383,65.618739,0.000000,0.000000,0.000000,events/second
1717299330,5383,48.041722,0.000000,0.000000,0.000000,events/second
1717299360,5383,37.893150,0.000000,0.000000,0.000000,events/second
1717299390,5383,31.281387,0.000000,0.000000,0.000000,events/second
1717299420,5383,26.636987,0.000000,0.000000,0.000000,events/second
1717299450,5383,23.193438,0.000000,0.000000,0.000000,events/second
1717299480,5383,20.537679,0.000000,0.000000,0.000000,events/second
1717299510,5383,18.427460,0.000000,0.000000,0.000000,events/second
1717299540,5383,16.710618,0.000000,0.000000,0.000000,events/second
1717299570,5496,15.607119,0.000000,0.000000,0.000000,events/second
1717299600,5496,14.381550,0.000000,0.000000,0.000000,events/second
1717299630,5617,13.627979,0.000000,0.000000,0.000000,events/second
1717299660,5617,12.703111,0.000000,0.000000,0.000000,events/second
1717299690,5617,11.895508,0.000000,0.000000,0.000000,events/second
1717299720,5617,11.184306,0.000000,0.000000,0.000000,events/second
1717299750,5617,10.553642,0.000000,0.000000,0.000000,events/second
1717299780,5617,9.990432,0.000000,0.000000,0.000000,events/second
1717299810,5617,9.484286,0.000000,0.000000,0.000000,events/second
1717299840,5617,9.026883,0.000000,0.000000,0.000000,events/second
1717299870,6764,10.370042,0.000000,0.000000,0.000000,events/second
1717299900,8487,12.439348,0.000000,0.000000,0.000000,events/second
1717299930,8729,12.254858,0.000000,0.000000,0.000000,events/second
1717299960,8729,11.759356,0.000000,0.000000,0.000000,events/second
1717299990,8729,11.302371,0.000000,0.000000,0.000000,events/second
1717300020,8729,10.879544,0.000000,0.000000,0.000000,events/second
1717300050,8729,10.487213,0.000000,0.000000,0.000000,events/second
1717300080,8729,10.122192,0.000000,0.000000,0.000000,events/second
1717300110,8729,9.781815,0.000000,0.000000,0.000000,events/second
1717300140,8729,9.463543,0.000000,0.000000,0.000000,events/second
1717300170,8729,9.165385,0.000000,0.000000,0.000000,events/second
1717300200,8729,8.885442,0.000000,0.000000,0.000000,events/second
1717300230,8729,8.622005,0.000000,0.000000,0.000000,events/second
1717300260,8729,8.373804,0.000000,0.000000,0.000000,events/second
1717300290,8729,8.139446,0.000000,0.000000,0.000000,events/second
1717300320,8729,7.917836,0.000000,0.000000,0.000000,events/second
1717300350,8729,7.707984,0.000000,0.000000,0.000000,events/second
1717300380,8737,7.515911,0.000000,0.000000,0.000000,events/second
1717300410,8737,7.326755,0.000000,0.000000,0.000000,events/second
1717300440,8737,7.146868,0.000000,0.000000,0.000000,events/second
1717300470,8737,6.975665,0.000000,0.000000,0.000000,events/second
1717300500,8737,6.812440,0.000000,0.000000,0.000000,events/second
1717300530,8737,6.656685,0.000000,0.000000,0.000000,events/second
1717300560,8737,6.507907,0.000000,0.000000,0.000000,events/second
1717300590,8737,6.365609,0.000000,0.000000,0.000000,events/second
1717300620,8737,6.229418,0.000000,0.000000,0.000000,events/second
1717300650,8737,6.098902,0.000000,0.000000,0.000000,events/second
1717300680,8737,5.973733,0.000000,0.000000,0.000000,events/second
1717300710,8737,5.853618,0.000000,0.000000,0.000000,events/second
1717300741,8737,5.738225,0.000000,0.000000,0.000000,events/second
1717300771,8737,5.627272,0.000000,0.000000,0.000000,events/second
1717300801,8737,5.520556,0.000000,0.000000,0.000000,events/second
1717300831,8737,5.417823,0.000000,0.000000,0.000000,events/second
1717300861,8737,5.318830,0.000000,0.000000,0.000000,events/second
1717300891,8737,5.223379,0.000000,0.000000,0.000000,events/second
1717300921,8737,5.131336,0.000000,0.000000,0.000000,events/second
1717300951,8737,5.042466,0.000000,0.000000,0.000000,events/second
1717300981,8737,4.956633,0.000000,0.000000,0.000000,events/second
1717301011,8737,4.873670,0.000000,0.000000,0.000000,events/second
1717301041,8737,4.793410,0.000000,0.000000,0.000000,events/second
1717301071,8737,4.715783,0.000000,0.000000,0.000000,events/second
1717301101,8737,4.640610,0.000000,0.000000,0.000000,events/second
1717301131,8737,4.567796,0.000000,0.000000,0.000000,events/second
1717301161,8737,4.497249,0.000000,0.000000,0.000000,events/second
1717301191,8737,4.428829,0.000000,0.000000,0.000000,events/second
1717301221,8737,4.362458,0.000000,0.000000,0.000000,events/second
1717301251,8737,4.298070,0.000000,0.000000,0.000000,events/second
1717301281,8737,4.235541,0.000000,0.000000,0.000000,events/second
1717301311,8737,4.174806,0.000000,0.000000,0.000000,events/second
1717301341,8737,4.115783,0.000000,0.000000,0.000000,events/second
1717301371,8737,4.058401,0.000000,0.000000,0.000000,events/second
1717301401,8737,4.002614,0.000000,0.000000,0.000000,events/second
1717301431,8737,3.948302,0.000000,0.000000,0.000000,events/second
1717301461,8737,3.895462,0.000000,0.000000,0.000000,events/second
1717301491,8737,3.844003,0.000000,0.000000,0.000000,events/second
1717301521,8737,3.793897,0.000000,0.000000,0.000000,events/second
1717301551,8737,3.745075,0.000000,0.000000,0.000000,events/second
1717301581,8737,3.697519,0.000000,0.000000,0.000000,events/second
1717301611,8737,3.651141,0.000000,0.000000,0.000000,events/second
1717301641,8737,3.605930,0.000000,0.000000,0.000000,events/second
