t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,3,0.135735,0.000000,0.000000,0.000000,events/second
1717296930,3,0.057390,0.000000,0.000000,0.000000,events/second
1717296960,3,0.036448,0.000000,0.000000,0.000000,events/second
1717296990,3,0.026706,0.000000,0.000000,0.000000,events/second
1717297020,3,0.021076,0.000000,0.000000,0.000000,events/second
1717297050,3,0.017405,0.000000,0.000000,0.000000,events/second
1717297080,3,0.014823,0.000000,0.000000,0.000000,events/second
1717297110,207,0.890637,0.000000,0.000000,0.000000,events/second
1717297140,207,0.788763,0.000000,0.000000,0.000000,events/second
1717297170,207,0.707789,0.000000,0.000000,0.000000,events/second
1717297200,207,0.641918,0.000000,0.000000,0.000000,events/second
1717297230,207,0.587266,0.000000,0.000000,0.000000,events/second
1717299240,222,10.140831,0.000000,0.000000,0.000000,events/second
1717299270,234,4.497855,0.000000,0.000000,0.000000,events/second
1717299300,5590,68.142321,0.000000,0.000000,0.000000,events/second
1717299330,5590,49.889287,0.000000,0.000000,0.000000,events/second
1717299360,5590,39.350396,0.000000,0.000000,0.000000,events/second
1717299390,5590,32.484358,0.000000,0.000000,0.000000,events/second
1717299420,5590,27.661344,0.000000,0.000000,0.000000,events/second
1717299450,5590,24.085364,0.000000,0.000000,0.000000,events/second
1717299480,5590,21.327469,0.000000,0.000000,0.000000,events/second
1717299510,5590,19.136100,0.000000,0.000000,0.000000,events/second
1717299540,5590,17.353234,0.000000,0.000000,0.000000,events/second
1717299570,5703,16.194958,0.000000,0.000000,0.000000,events/second
1717299600,5703,14.923227,0.000000,0.000000,0.000000,events/second
1717299630,5824,14.130214,0.000000,0.000000,0.000000,events/second
1717299660,5824,13.171262,0.000000,0.000000,0.000000,events/second
1717299690,5824,12.333895,0.000000,0.000000,0.000000,events/second
1717299720,5824,11.596482,0.000000,0.000000,0.000000,events/second
1717299750,5824,10.942577,0.000000,0.000000,0.000000,events/second
1717299780,5824,10.358610,0.000000,0.000000,0.000000,events/second
