t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,1,0.045219,0.000000,0.000000,0.000000,events/second
1717296930,1,0.019130,0.000000,0.000000,0.000000,events/second
1717296960,1,0.012149,0.000000,0.000000,0.000000,events/second
1717296990,1,0.008902,0.000000,0.000000,0.000000,events/second
1717297020,1,0.007025,0.000000,0.000000,0.000000,events/second
1717297050,1,0.005802,0.000000,0.000000,0.000000,events/second
1717297080,1,0.004941,0.000000,0.000000,0.000000,events/second
1717297110,1,0.004303,0.000000,0.000000,0.000000,events/second
1717297140,1,0.003810,0.000000,0.000000,0.000000,events/second
1717297170,1,0.003419,0.000000,0.000000,0.000000,events/second
1717297200,1,0.003101,0.000000,0.000000,0.000000,events/second
1717297230,1,0.002837,0.000000,0.000000,0.000000,events/second
1717299240,1,0.045656,0.000000,0.000000,0.000000,events/second
1717299270,1,0.019221,0.000000,0.000000,0.000000,events/second
1717299300,1,0.012190,0.000000,0.000000,0.000000,events/second
1717299330,1,0.008925,0.000000,0.000000,0.000000,events/second
1717299360,1,0.007039,0.000000,0.000000,0.000000,events/second
1717299390,1,0.005811,0.000000,0.000000,0.000000,events/second
1717299420,1,0.004948,0.000000,0.000000,0.000000,events/second
1717299450,1,0.004309,0.000000,0.000000,0.000000,events/second
1717299480,1,0.003815,0.000000,0.000000,0.000000,events/second
1717299510,1,0.003423,0.000000,0.000000,0.000000,events/second
1717299540,1,0.003104,0.000000,0.000000,0.000000,events/second
1717299570,1,0.002840,0.000000,0.000000,0.000000,events/second
1717299600,1,0.002617,0.000000,0.000000,0.000000,events/second
1717299630,1,0.002426,0.000000,0.000000,0.000000,events/second
1717299660,1,0.002262,0.000000,0.000000,0.000000,events/second
1717299690,1,0.002118,0.000000,0.000000,0.000000,events/second
1717299720,1,0.001991,0.000000,0.000000,0.000000,events/second
1717299750,1,0.001879,0.000000,0.000000,0.000000,events/second
1717299780,1,0.001779,0.000000,0.000000,0.000000,events/second
1717299810,1,0.001688,0.000000,0.000000,0.000000,events/second
1717299840,1,0.001607,0.000000,0.000000,0.000000,events/second
1717299870,1,0.001533,0.000000,0.000000,0.000000,events/second
