t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,1212416,50134.857431,0.000000,0.000000,0.000000,events/second
1717296930,1212416,22314.780385,0.000000,0.000000,0.000000,events/second
1717296960,1212416,14370.928152,0.000000,0.000000,0.000000,events/second
1717296990,1212416,10598.948252,0.000000,0.000000,0.000000,events/second
1717297020,1212416,8396.096547,0.000000,0.000000,0.000000,events/second
1717297050,1212416,6951.178608,0.000000,0.000000,0.000000,events/second
1717297080,1212416,5930.403254,0.000000,0.000000,0.000000,events/second
1717297110,1212416,5170.752277,0.000000,0.000000,0.000000,events/second
1717297140,1212416,4583.918467,0.000000,0.000000,0.000000,events/second
1717297170,1212416,4116.621970,0.000000,0.000000,0.000000,events/second
1717297200,1212416,3735.932916,0.000000,0.000000,0.000000,events/second
1717297230,1212416,3419.705002,0.000000,0.000000,0.000000,events/second
1717299240,1024000,45142.364005,0.000000,0.000000,0.000000,events/second
1717299270,1024000,19395.498197,0.000000,0.000000,0.000000,events/second
1717299300,1024000,12366.417093,0.000000,0.000000,0.000000,events/second
1717299330,1024000,9076.504499,0.000000,0.000000,0.000000,events/second
1717299360,1024000,7169.475882,0.000000,0.000000,0.000000,events/second
1717299390,1024000,5924.095216,0.000000,0.000000,0.000000,events/second
1717299420,1024000,5047.875356,0.000000,0.000000,0.000000,events/second
1717299450,1024000,4397.459810,0.000000,0.000000,0.000000,events/second
1717299480,1024000,3895.404544,0.000000,0.000000,0.000000,events/second
1717299510,1024000,3496.209928,0.000000,0.000000,0.000000,events/second
1717299540,1024000,3171.253399,0.000000,0.000000,0.000000,events/second
1717299570,1024000,2901.530409,0.000000,0.000000,0.000000,events/second
1717299600,1024000,2674.142278,0.000000,0.000000,0.000000,events/second
1717299630,1024000,2479.797268,0.000000,0.000000,0.000000,events/second
1717299660,1024000,2311.797587,0.000000,0.000000,0.000000,events/second
1717299690,1024000,2165.063959,0.000000,0.000000,0.000000,events/second
1717299720,1024000,2035.818493,0.000000,0.000000,0.000000,events/second
1717299750,1024000,1921.187917,0.000000,0.000000,0.000000,events/second
1717299780,1024000,1818.800998,0.000000,0.000000,0.000000,events/second
1717299810,1024000,1726.774699,0.000000,0.000000,0.000000,events/second
1717299840,1024000,1643.599756,0.000000,0.000000,0.000000,events/second
1717299870,1024000,1568.065911,0.000000,0.000000,0.000000,events/second
1717299900,1024000,1499.178690,0.000000,0.000000,0.000000,events/second
1717299930,1024000,1436.066028,0.000000,0.000000,0.000000,events/second
1717299960,1024000,1378.061438,0.000000,0.000000,0.000000,events/second
1717299990,1024000,1324.561346,0.000000,0.000000,0.000000,events/second
1717300020,1024000,1275.056570,0.000000,0.000000,0.000000,events/second
1717300050,1024000,1229.118813,0.000000,0.000000,0.000000,events/second
1717300080,1024000,1186.375947,0.000000,0.000000,0.000000,events/second
1717300110,1024000,1146.516345,0.000000,0.000000,0.000000,events/second
1717300140,1024000,1109.243087,0.000000,0.000000,0.000000,events/second
1717300170,1024000,1074.323543,0.000000,0.000000,0.000000,events/second
1717300200,1024000,1041.535565,0.000000,0.000000,0.000000,events/second
1717300230,1024000,1010.679498,0.000000,0.000000,0.000000,events/second
1717300260,1024000,981.606618,0.000000,0.000000,0.000000,events/second
1717300290,1024000,954.154007,0.000000,0.000000,0.000000,events/second
1717300320,1024000,928.193728,0.000000,0.000000,0.000000,events/second
1717300350,1024000,903.609988,0.000000,0.000000,0.000000,events/second
1717300380,1024000,880.301770,0.000000,0.000000,0.000000,events/second
1717300410,1024000,858.161147,0.000000,0.000000,0.000000,events/second
1717300440,1024000,837.104678,0.000000,0.000000,0.000000,events/second
1717300470,2318336,1849.833672,0.000000,0.000000,0.000000,events/second
1717300500,2318336,1806.574896,0.000000,0.000000,0.000000,events/second
1717300530,2318336,1765.295018,0.000000,0.000000,0.000000,events/second
1717300560,2318336,1725.862950,0.000000,0.000000,0.000000,events/second
1717300590,2318336,1688.147384,0.000000,0.000000,0.000000,events/second
1717300620,2318336,1652.049681,0.000000,0.000000,0.000000,events/second
1717300650,2318336,1617.455158,0.000000,0.000000,0.000000,events/second
1717300680,2318336,1584.277173,0.000000,0.000000,0.000000,events/second
1717300710,2318336,1552.438268,0.000000,0.000000,0.000000,events/second
1717300741,2318336,1521.850327,0.000000,0.000000,0.000000,events/second
1717300771,2318336,1492.438698,0.000000,0.000000,0.000000,events/second
1717300801,2318336,1464.149741,0.000000,0.000000,0.000000,events/second
1717300831,2318336,1436.916212,0.000000,0.000000,0.000000,events/second
1717300861,2318336,1410.673790,0.000000,0.000000,0.000000,events/second
1717300891,2318336,1385.369485,0.000000,0.000000,0.000000,events/second
1717300921,2318336,1360.968493,0.000000,0.000000,0.000000,events/second
1717300951,2318336,1337.408249,0.000000,0.000000,0.000000,events/second
1717300981,2318336,1314.652824,0.000000,0.000000,0.000000,events/second
1717301011,2318336,1292.657891,0.000000,0.000000,0.000000,events/second
1717301041,2318336,1271.379190,0.000000,0.000000,0.000000,events/second
1717301071,2318336,1250.798437,0.000000,0.000000,0.000000,events/second
1717301101,2318336,1230.868100,0.000000,0.000000,0.000000,events/second
1717301131,2318336,1211.562670,0.000000,0.000000,0.000000,events/second
1717301161,2318336,1192.858160,0.000000,0.000000,0.000000,events/second
1717301191,2318336,1174.717635,0.000000,0.000000,0.000000,events/second
1717301221,2318336,1157.119846,0.000000,0.000000,0.000000,events/second
1717301251,2318336,1140.047603,0.000000,0.000000,0.000000,events/second
1717301281,2318336,1123.467795,0.000000,0.000000,0.000000,events/second
1717301311,2318336,1107.364297,0.000000,0.000000,0.000000,events/second
1717301341,2318336,1091.714155,0.000000,0.000000,0.000000,events/second
1717301371,2318336,1076.499048,0.000000,0.000000,0.000000,events/second
1717301401,2318336,1061.706706,0.000000,0.000000,0.000000,events/second
1717301431,2318336,1047.305112,0.000000,0.000000,0.000000,events/second
1717301461,2318336,1033.293896,0.000000,0.000000,0.000000,events/second
1717301491,2318336,1019.648757,0.000000,0.000000,0.000000,events/second
1717301521,2318336,1006.362225,0.000000,0.000000,0.000000,events/second
1717301551,2318336,993.415789,0.000000,0.000000,0.000000,events/second
1717301581,2318336,980.805475,0.000000,0.000000,0.000000,events/second
1717301611,2318336,968.507359,0.000000,0.000000,0.000000,events/second
1717301641,2318336,956.518413,0.000000,0.000000,0.000000,events/second
1717301671,2318336,944.819354,0.000000,0.000000,0.000000,events/second
1717301701,2318336,933.405531,0.000000,0.000000,0.000000,events/second
1717301731,2318336,922.264217,0.000000,0.000000,0.000000,events/second
1717301761,2318336,911.385618,0.000000,0.000000,0.000000,events/second
1717301791,2318336,900.759003,0.000000,0.000000,0.000000,events/second
1717301821,2318336,890.374656,0.000000,0.000000,0.000000,events/second
