t,value
1717296900,600
1717296930,600
1717296960,600
1717296990,600
1717297020,600
1717297050,600
1717297080,600
1717297110,600
1717297140,600
1717297170,600
1717297200,600
1717297230,600
1717299240,600
1717299270,600
1717299300,600
1717299330,600
1717299360,600
1717299390,600
1717299420,600
1717299450,600
1717299480,600
1717299510,600
1717299540,600
1717299570,600
1717299600,600
1717299630,600
1717299660,600
1717299690,600
1717299720,600
1717299750,600
1717299780,600
1717299810,600
1717299840,600
1717299870,600
1717299900,600
1717299930,600
1717299960,600
1717299990,600
1717300020,600
1717300050,600
1717300080,600
1717300110,600
1717300140,600
1717300170,600
1717300200,600
1717300230,600
1717300260,600
1717300290,600
1717300320,600
1717300350,600
1717300380,600
1717300410,600
1717300440,600
1717300470,600
1717300500,600
1717300530,600
1717300560,600
1717300590,600
1717300620,600
1717300650,600
1717300680,600
1717300710,600
1717300741,600
1717300771,600
1717300801,600
1717300831,600
1717300861,600
1717300891,600
1717300921,600
1717300951,600
1717300981,600
1717301011,600
1717301041,600
1717301071,600
1717301101,600
1717301131,600
1717301161,600
1717301191,600
1717301221,600
1717301251,600
1717301281,600
1717301311,600
1717301341,600
1717301371,600
1717301401,600
1717301431,600
1717301461,600
1717301491,600
1717301521,600
1717301551,600
1717301581,600
1717301611,600
1717301641,600
1717301671,600
1717301701,600
1717301731,600
1717301761,600
1717301791,600
1717301821,600
1717301851,600
1717301881,600
1717301911,600
1717301941,600
1717301971,600
1717302001,600
1717302031,600
1717302061,600
1717302091,600
1717302121,600
1717302151,600
1717302181,600
1717302211,600
1717302241,600
1717302271,600
1717302301,600
1717302331,600
1717302361,600
1717302391,600
1717302421,600
1717302451,600
1717302481,600
1717302511,600
1717302541,600
1717302571,600
1717302601,600
1717302631,600
1717302661,600
1717302691,600
1717302721,600
1717302751,600
1717302781,600
1717302811,600
1717302841,600
1717302871,600
1717302901,600
1717302931,600
1717302961,600
1717302991,600
1717303021,600
1717303051,600
1717303082,600
1717303112,600
1717303142,600
1717303172,600
1717303202,600
1717303232,600
1717303262,600
1717303292,600
1717303322,600
1717303352,600
1717303382,600
1717303412,600
1717303442,600
1717303472,600
1717303502,600
1717303532,600
1717303562,600
1717303592,600
1717303622,600
1717303652,600
1717303682,600
1717303712,600
1717303742,600
1717303772,600
1717303802,600
1717303832,600
1717303862,600
1717303892,600
1717303922,600
1717303952,600
1717303982,600
1717304012,600
1717304042,600
1717304072,600
1717304102,600
1717304132,600
1717304162,600
1717304192,600
1717304222,600
1717304252,600
1717304282,600
1717304312,600
1717304342,600
1717304372,600
1717304402,600
1717304432,600
1717304462,600
1717304492,600
1717304522,600
1717304552,600
1717304582,600
1717304612,600
1717304642,600
1717304672,600
1717304702,600
1717304732,600
1717304762,600
1717304792,600
1717304822,600
1717304852,600
1717304882,600
1717304912,600
1717304942,600
1717304972,600
1717305002,600
1717305032,600
1717305062,600
1717305092,600
1717305122,600
1717305152,600
1717305182,600
1717305212,600
1717305242,600
1717305272,600
1717305302,600
1717305332,600
1717305362,600
1717305392,600
1717305422,600
1717305452,600
1717305482,600
1717305512,600
1717305542,600
1717305572,600
1717305602,600
1717305632,600
1717305662,600
1717305692,600
1717305722,600
1717305752,600
1717305783,600
1717305813,600
1717305843,600
1717305873,600
1717305903,600
1717305933,600
1717305963,600
1717305993,600
1717306023,600
1717306053,600
1717306083,600
1717306113,600
1717306143,600
1717306173,600
1717306203,600
1717306233,600
1717306263,600
1717306293,600
1717306323,600
1717306353,600
1717306383,600
1717306413,600
1717306443,600
1717306473,600
1717306503,600
1717306533,600
1717306563,600
1717306593,600
1717306623,600
1717306653,600
1717306683,600
1717306713,600
1717306743,600
1717306773,600
1717306803,600
1717306833,600
1717306863,600
1717306893,600
1717306923,600
1717306953,600
1717306983,600
1717307013,600
1717307043,600
1717307073,600
1717307103,600
1717307133,600
1717307163,600
1717307193,600
1717307224,600
1717307254,600
1717307284,600
1717307314,600
1717307344,600
1717307374,600
1717307404,600
1717307434,600
1717307464,600
1717307494,600
1717307524,600
1717307554,600
1717307584,600
1717307614,600
1717307644,600
1717307674,600
1717307704,600
1717307734,600
1717307764,600
1717307794,600
1717307824,600
1717307854,600
1717307884,600
1717307914,600
1717307944,600
1717307974,600
1717308004,600
1717308034,600
1717308064,600
1717308094,600
1717308124,600
1717308154,600
1717308184,600
1717308214,600
1717308244,600
1717308274,600
1717308304,600
1717308334,600
1717308364,600
1717308394,600
1717308424,600
1717308454,600
1717308485,600
1717308515,600
1717308545,600
1717308575,600
1717308605,600
1717308635,600
1717308665,600
1717308695,600
1717308725,600
1717308755,600
1717308785,600
1717308815,600
1717308845,600
1717308875,600
1717308905,600
1717308935,600
1717308965,600
1717308995,600
1717309025,600
1717309055,600
1717309085,600
1717309115,600
1717309145,600
1717309175,600
1717309205,600
1717309235,600
1717309265,600
1717309295,600
1717309325,600
1717309355,600
1717309385,600
1717309415,600
1717309445,600
1717309475,600
1717309505,600
1717309535,600
1717309565,600
1717309595,600
1717309625,600
1717309655,600
1717309685,600
1717309715,600
1717309745,600
1717309775,600
1717309805,600
1717309835,600
1717309865,600
1717309895,600
1717309925,600
1717309955,600
1717309985,600
1717310015,600
1717310045,600
1717310075,600
1717310106,600
1717310136,600
1717310166,600
1717310196,600
1717310226,600
1717310256,600
1717310286,600
1717310316,600
1717310346,600
1717310376,600
1717310406,600
1717310436,600
1717310466,600
1717310496,600
1717310526,600
1717310556,600
1717310586,600
1717310616,600
1717310646,600
1717310676,600
1717310706,600
1717310736,600
1717310766,600
1717310796,600
1717310826,600
1717310856,600
1717310886,600
1717310916,600
1717310946,600
1717310976,600
1717311006,600
1717311036,600
1717311066,600
1717311096,600
1717311126,600
1717311156,600
1717311186,600
1717311216,600
1717311246,600
1717311276,600
1717311306,600
1717311336,600
1717311366,600
1717311396,600
1717311426,600
1717311456,600
1717311486,600
1717311516,600
1717311546,600
1717311576,600
1717311606,600
1717311636,600
1717311666,600
1717311696,600
1717311726,600
1717311756,600
1717311786,600
1717311816,600
1717311846,600
1717311876,600
1717311906,600
1717311936,600
1717311966,600
1717311996,600
1717312026,600
1717312056,600
1717312086,600
1717312116,600
1717312146,600
1717312176,600
1717312206,600
1717312236,600
1717312267,600
1717312297,600
1717312327,600
1717312357,600
1717312387,600
1717312417,600
1717312447,600
1717312477,600
1717312507,600
1717312537,600
1717312567,600
1717312597,600
1717312627,600
1717312657,600
1717312687,600
1717312717,600
1717312747,600
1717312777,600
1717312807,600
1717312837,600
1717312867,600
1717312897,600
1717312927,600
1717312957,600
1717312987,600
1717313017,600
1717313047,600
1717313077,600
1717313107,600
1717313137,600
1717313167,600
1717313197,600
1717313227,600
1717313257,600
1717313287,600
1717313317,600
1717313347,600
1717313377,600
1717313407,600
1717313437,600
1717313467,600
1717313497,600
1717313527,600
1717313557,600
1717313587,600
1717313617,600
1717313647,600
1717313677,600
1717313707,600
1717313737,600
1717313767,600
1717313797,600
1717313827,600
1717313857,600
1717313887,600
1717313917,600
1717313947,600
1717313977,600
1717314007,600
1717314037,600
1717314067,600
1717314097,600
1717314127,600
1717314157,600
