t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,78,3.224056,0.000000,0.000000,0.000000,events/second
1717296930,78,1.435438,0.000000,0.000000,0.000000,events/second
1717296960,78,0.924485,0.000000,0.000000,0.000000,events/second
1717296990,78,0.681845,0.000000,0.000000,0.000000,events/second
1717297020,78,0.540137,0.000000,0.000000,0.000000,events/second
1717297050,78,0.447186,0.000000,0.000000,0.000000,events/second
1717297080,78,0.381518,0.000000,0.000000,0.000000,events/second
1717297110,78,0.332649,0.000000,0.000000,0.000000,events/second
1717297140,78,0.294897,0.000000,0.000000,0.000000,events/second
1717297170,78,0.264835,0.000000,0.000000,0.000000,events/second
1717297200,78,0.240345,0.000000,0.000000,0.000000,events/second
1717297230,78,0.220001,0.000000,0.000000,0.000000,events/second
1717299240,122,5.376838,0.000000,0.000000,0.000000,events/second
1717299270,122,2.310717,0.000000,0.000000,0.000000,events/second
1717299300,122,1.473313,0.000000,0.000000,0.000000,events/second
1717299330,122,1.081365,0.000000,0.000000,0.000000,events/second
1717299360,122,0.854166,0.000000,0.000000,0.000000,events/second
1717299390,122,0.705794,0.000000,0.000000,0.000000,events/second
1717299420,122,0.601402,0.000000,0.000000,0.000000,events/second
1717299450,122,0.523912,0.000000,0.000000,0.000000,events/second
1717299480,122,0.464098,0.000000,0.000000,0.000000,events/second
1717299510,122,0.416538,0.000000,0.000000,0.000000,events/second
1717299540,122,0.377823,0.000000,0.000000,0.000000,events/second
1717299570,122,0.345689,0.000000,0.000000,0.000000,events/second
1717299600,122,0.318598,0.000000,0.000000,0.000000,events/second
1717299630,122,0.295443,0.000000,0.000000,0.000000,events/second
1717299660,122,0.275428,0.000000,0.000000,0.000000,events/second
1717299690,122,0.257946,0.000000,0.000000,0.000000,events/second
1717299720,122,0.242548,0.000000,0.000000,0.000000,events/second
1717299750,122,0.228891,0.000000,0.000000,0.000000,events/second
1717299780,122,0.216692,0.000000,0.000000,0.000000,events/second
1717299810,122,0.205728,0.000000,0.000000,0.000000,events/second
1717299840,122,0.195819,0.000000,0.000000,0.000000,events/second
1717299870,122,0.186820,0.000000,0.000000,0.000000,events/second
1717299900,122,0.178613,0.000000,0.000000,0.000000,events/second
1717299930,122,0.171093,0.000000,0.000000,0.000000,events/second
1717299960,122,0.164183,0.000000,0.000000,0.000000,events/second
1717299990,122,0.157809,0.000000,0.000000,0.000000,events/second
1717300020,122,0.151911,0.000000,0.000000,0.000000,events/second
1717300050,122,0.146438,0.000000,0.000000,0.000000,events/second
1717300080,122,0.141345,0.000000,0.000000,0.000000,events/second
1717300110,122,0.136596,0.000000,0.000000,0.000000,events/second
1717300140,122,0.132156,0.000000,0.000000,0.000000,events/second
1717300170,122,0.127995,0.000000,0.000000,0.000000,events/second
1717300200,122,0.124089,0.000000,0.000000,0.000000,events/second
1717300230,122,0.120413,0.000000,0.000000,0.000000,events/second
1717300260,122,0.116949,0.000000,0.000000,0.000000,events/second
1717300290,122,0.113678,0.000000,0.000000,0.000000,events/second
1717300320,122,0.110585,0.000000,0.000000,0.000000,events/second
1717300350,122,0.107657,0.000000,0.000000,0.000000,events/second
1717300380,122,0.104880,0.000000,0.000000,0.000000,events/second
1717300410,122,0.102242,0.000000,0.000000,0.000000,events/second
1717300440,122,0.099733,0.000000,0.000000,0.000000,events/second
1717300470,122,0.097345,0.000000,0.000000,0.000000,events/second
1717300500,122,0.095069,0.000000,0.000000,0.000000,events/second
1717300530,122,0.092897,0.000000,0.000000,0.000000,events/second
1717300560,122,0.090822,0.000000,0.000000,0.000000,events/second
1717300590,122,0.088837,0.000000,0.000000,0.000000,events/second
1717300620,122,0.086937,0.000000,0.000000,0.000000,events/second
1717300650,122,0.085117,0.000000,0.000000,0.000000,events/second
1717300680,122,0.083371,0.000000,0.000000,0.000000,events/second
1717300710,122,0.081695,0.000000,0.000000,0.000000,events/second
1717300741,122,0.080086,0.000000,0.000000,0.000000,events/second
1717300771,122,0.078538,0.000000,0.000000,0.000000,events/second
1717300801,122,0.077049,0.000000,0.000000,0.000000,events/second
1717300831,122,0.075616,0.000000,0.000000,0.000000,events/second
1717300861,122,0.074235,0.000000,0.000000,0.000000,events/second
1717300891,122,0.072904,0.000000,0.000000,0.000000,events/second
1717300921,122,0.071619,0.000000,0.000000,0.000000,events/second
1717300951,122,0.070380,0.000000,0.000000,0.000000,events/second
1717300981,122,0.069182,0.000000,0.000000,0.000000,events/second
1717301011,122,0.068025,0.000000,0.000000,0.000000,events/second
1717301041,122,0.066905,0.000000,0.000000,0.000000,events/second
1717301071,122,0.065822,0.000000,0.000000,0.000000,events/second
1717301101,122,0.064773,0.000000,0.000000,0.000000,events/second
1717301131,122,0.063757,0.000000,0.000000,0.000000,events/second
1717301161,122,0.062773,0.000000,0.000000,0.000000,events/second
1717301191,122,0.061818,0.000000,0.000000,0.000000,events/second
1717301221,122,0.060892,0.000000,0.000000,0.000000,events/second
1717301251,122,0.059994,0.000000,0.000000,0.000000,events/second
1717301281,122,0.059121,0.000000,0.000000,0.000000,events/second
1717301311,122,0.058274,0.000000,0.000000,0.000000,events/second
1717301341,122,0.057450,0.000000,0.000000,0.000000,events/second
1717301371,122,0.056650,0.000000,0.000000,0.000000,events/second
1717301401,122,0.055871,0.000000,0.000000,0.000000,events/second
1717301431,122,0.055113,0.000000,0.000000,0.000000,events/second
1717301461,122,0.054376,0.000000,0.000000,0.000000,events/second
1717301491,122,0.053658,0.000000,0.000000,0.000000,events/second
1717301521,122,0.052959,0.000000,0.000000,0.000000,events/second
1717301551,122,0.052277,0.000000,0.000000,0.000000,events/second
1717301581,122,0.051614,0.000000,0.000000,0.000000,events/second
1717301611,122,0.050967,0.000000,0.000000,0.000000,events/second
1717301641,122,0.050336,0.000000,0.000000,0.000000,events/second
1717301671,122,0.049720,0.000000,0.000000,0.000000,events/second
1717301701,122,0.049119,0.000000,0.000000,0.000000,events/second
1717301731,122,0.048533,0.000000,0.000000,0.000000,events/second
1717301761,122,0.047961,0.000000,0.000000,0.000000,events/second
1717301791,122,0.047401,0.000000,0.000000,0.000000,events/second
1717301821,122,0.046855,0.000000,0.000000,0.000000,events/second
1717301851,122,0.046321,0.000000,0.000000,0.000000,events/second
1717301881,122,0.045799,0.000000,0.000000,0.000000,events/second
1717301911,122,0.045289,0.000000,0.000000,0.000000,events/second
1717301941,122,0.044790,0.000000,0.000000,0.000000,events/second
1717301971,122,0.044302,0.000000,0.000000,0.000000,events/second
1717302001,122,0.043824,0.000000,0.000000,0.000000,events/second
1717302031,122,0.043357,0.000000,0.000000,0.000000,events/second
1717302061,122,0.042899,0.000000,0.000000,0.000000,events/second
1717302091,122,0.042451,0.000000,0.000000,0.000000,events/second
1717302121,122,0.042013,0.000000,0.000000,0.000000,events/second
1717302151,122,0.041583,0.000000,0.000000,0.000000,events/second
1717302181,122,0.041162,0.000000,0.000000,0.000000,events/second
1717302211,122,0.040749,0.000000,0.000000,0.000000,events/second
1717302241,122,0.040345,0.000000,0.000000,0.000000,events/second
1717302271,122,0.039948,0.000000,0.000000,0.000000,events/second
1717302301,122,0.039560,0.000000,0.000000,0.000000,events/second
1717302331,122,0.039178,0.000000,0.000000,0.000000,events/second
1717302361,122,0.038804,0.000000,0.000000,0.000000,events/second
1717302391,122,0.038437,0.000000,0.000000,0.000000,events/second
1717302421,122,0.038077,0.000000,0.000000,0.000000,events/second
1717302451,122,0.037723,0.000000,0.000000,0.000000,events/second
1717302481,122,0.037377,0.000000,0.000000,0.000000,events/second
1717302511,122,0.037036,0.000000,0.000000,0.000000,events/second
1717302541,122,0.036701,0.000000,0.000000,0.000000,events/second
1717302571,122,0.036373,0.000000,0.000000,0.000000,events/second
1717302601,122,0.036050,0.000000,0.000000,0.000000,events/second
1717302631,122,0.035733,0.000000,0.000000,0.000000,events/second
1717302661,122,0.035422,0.000000,0.000000,0.000000,events/second
1717302691,122,0.035116,0.000000,0.000000,0.000000,events/second
1717302721,122,0.034815,0.000000,0.000000,0.000000,events/second
1717302751,122,0.034519,0.000000,0.000000,0.000000,events/second
1717302781,122,0.034229,0.000000,0.000000,0.000000,events/second
1717302811,122,0.033943,0.000000,0.000000,0.000000,events/second
1717302841,122,0.033662,0.000000,0.000000,0.000000,events/second
1717302871,122,0.033385,0.000000,0.000000,0.000000,events/second
1717302901,122,0.033113,0.000000,0.000000,0.000000,events/second
1717302931,122,0.032846,0.000000,0.000000,0.000000,events/second
1717302961,122,0.032583,0.000000,0.000000,0.000000,events/second
1717302991,122,0.032323,0.000000,0.000000,0.000000,events/second
1717303021,122,0.032069,0.000000,0.000000,0.000000,events/second
1717303051,122,0.031817,0.000000,0.000000,0.000000,events/second
1717303082,122,0.031570,0.000000,0.000000,0.000000,events/second
1717303112,122,0.031327,0.000000,0.000000,0.000000,events/second
1717303142,122,0.031087,0.000000,0.000000,0.000000,events/second
1717303172,122,0.030851,0.000000,0.000000,0.000000,events/second
1717303202,122,0.030619,0.000000,0.000000,0.000000,events/second
1717303232,122,0.030390,0.000000,0.000000,0.000000,events/second
1717303262,122,0.030165,0.000000,0.000000,0.000000,events/second
1717303292,122,0.029943,0.000000,0.000000,0.000000,events/second
1717303322,122,0.029724,0.000000,0.000000,0.000000,events/second
1717303352,122,0.029508,0.000000,0.000000,0.000000,events/second
1717303382,122,0.029295,0.000000,0.000000,0.000000,events/second
1717303412,122,0.029086,0.000000,0.000000,0.000000,events/second
1717303442,122,0.028879,0.000000,0.000000,0.000000,events/second
1717303472,122,0.028675,0.000000,0.000000,0.000000,events/second
1717303502,122,0.028475,0.000000,0.000000,0.000000,events/second
1717303532,122,0.028276,0.000000,0.000000,0.000000,events/second
1717303562,122,0.028081,0.000000,0.000000,0.000000,events/second
1717303592,122,0.027889,0.000000,0.000000,0.000000,events/second
1717303622,122,0.027698,0.000000,0.000000,0.000000,events/second
1717303652,122,0.027511,0.000000,0.000000,0.000000,events/second
1717303682,122,0.027326,0.000000,0.000000,0.000000,events/second
1717303712,122,0.027144,0.000000,0.000000,0.000000,events/second
1717303742,122,0.026963,0.000000,0.000000,0.000000,events/second
1717303772,122,0.026786,0.000000,0.000000,0.000000,events/second
1717303802,122,0.026611,0.000000,0.000000,0.000000,events/second
1717303832,122,0.026438,0.000000,0.000000,0.000000,events/second
1717303862,122,0.026267,0.000000,0.000000,0.000000,events/second
1717303892,122,0.026098,0.000000,0.000000,0.000000,events/second
1717303922,122,0.025932,0.000000,0.000000,0.000000,events/second
1717303952,122,0.025767,0.000000,0.000000,0.000000,events/second
1717303982,122,0.025605,0.000000,0.000000,0.000000,events/second
1717304012,122,0.025445,0.000000,0.000000,0.000000,events/second
1717304042,122,0.025286,0.000000,0.000000,0.000000,events/second
1717304072,122,0.025130,0.000000,0.000000,0.000000,events/second
1717304102,122,0.024976,0.000000,0.000000,0.000000,events/second
1717304132,122,0.024823,0.000000,0.000000,0.000000,events/second
1717304162,122,0.024673,0.000000,0.000000,0.000000,events/second
1717304192,122,0.024524,0.000000,0.000000,0.000000,events/second
1717304222,122,0.024377,0.000000,0.000000,0.000000,events/second
1717304252,122,0.024231,0.000000,0.000000,0.000000,events/second
1717304282,122,0.024088,0.000000,0.000000,0.000000,events/second
1717304312,122,0.023946,0.000000,0.000000,0.000000,events/second
1717304342,122,0.023806,0.000000,0.000000,0.000000,events/second
1717304372,122,0.023667,0.000000,0.000000,0.000000,events/second
1717304402,122,0.023530,0.000000,0.000000,0.000000,events/second
1717304432,122,0.023395,0.000000,0.000000,0.000000,events/second
1717304462,122,0.023261,0.000000,0.000000,0.000000,events/second
1717304492,122,0.023128,0.000000,0.000000,0.000000,events/second
1717304522,122,0.022998,0.000000,0.000000,0.000000,events/second
1717304552,122,0.022868,0.000000,0.000000,0.000000,events/second
1717304582,122,0.022740,0.000000,0.000000,0.000000,events/second
1717304612,122,0.022614,0.000000,0.000000,0.000000,events/second
1717304642,122,0.022489,0.000000,0.000000,0.000000,events/second
1717304672,122,0.022365,0.000000,0.000000,0.000000,events/second
1717304702,122,0.022243,0.000000,0.000000,0.000000,events/second
1717304732,122,0.022122,0.000000,0.000000,0.000000,events/second
1717304762,122,0.022002,0.000000,0.000000,0.000000,events/second
1717304792,122,0.021883,0.000000,0.000000,0.000000,events/second
1717304822,122,0.021766,0.000000,0.000000,0.000000,events/second
1717304852,122,0.021650,0.000000,0.000000,0.000000,events/second
1717304882,122,0.021536,0.000000,0.000000,0.000000,events/second
1717304912,122,0.021422,0.000000,0.000000,0.000000,events/second
