t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1717296900,2,2106,1777.500000,1449,464.569155,1777.500000,2106.000000,2106.000000,2106.000000,2106.000000,2106.000000
1717296930,2,2106,1777.500000,1449,464.569155,1777.500000,2106.000000,2106.000000,2106.000000,2106.000000,2106.000000
1717296960,2,2106,1777.500000,1449,464.569155,1777.500000,2106.000000,2106.000000,2106.000000,2106.000000,2106.000000
1717296990,10,2106,421.000000,16,735.539862,66.500000,571.500000,2106.000000,2106.000000,2106.000000,2106.000000
1717297020,18,2106,237.222222,4,575.436055,23.500000,98.750000,2106.000000,2106.000000,2106.000000,2106.000000
1717297050,28,2106,154.821429,3,470.283055,9.000000,38.500000,1810.350000,2106.000000,2106.000000,2106.000000
1717297080,33,2106,132.454545,3,435.315338,8.000000,32.500000,1646.100000,2106.000000,2106.000000,2106.000000
1717297110,52,2106,86.019231,2,350.318146,7.000000,11.750000,688.500000,2066.580000,2106.000000,2106.000000
1717297140,57,2106,79.298246,2,335.034271,7.000000,11.500000,396.000000,2000.880000,2106.000000,2106.000000
1717297170,67,2106,68.298507,2,309.745693,7.000000,10.000000,216.200000,1869.480000,2106.000000,2106.000000
1717297200,72,2106,63.833333,2,299.093560,6.000000,9.750000,176.950000,1803.780000,2106.000000,2106.000000
1717297230,77,2106,59.948052,2,289.468656,6.000000,9.000000,137.700000,1738.080000,2106.000000,2106.000000
1717299240,15,1386,233.000000,7,440.377922,60.000000,159.000000,1386.000000,1386.000000,1386.000000,1386.000000
1717299270,20,1386,176.800000,4,390.992610,16.000000,93.000000,1376.750000,1386.000000,1386.000000,1386.000000
1717299300,30,1386,121.333333,4,326.401523,13.500000,60.250000,1284.250000,1386.000000,1386.000000,1386.000000
1717299330,35,1386,104.600000,2,304.303564,12.000000,55.000000,1238.000000,1386.000000,1386.000000,1386.000000
1717299360,45,1386,82.266667,1,270.815888,7.000000,16.000000,942.400000,1386.000000,1386.000000,1386.000000
1717299390,50,1386,74.400000,1,257.732657,6.500000,15.250000,726.900000,1382.300000,1386.000000,1386.000000
1717299420,60,1386,63.133333,1,236.254708,6.000000,14.000000,330.000000,1345.300000,1386.000000,1386.000000
1717299450,65,1386,58.569231,1,227.397915,6.000000,14.000000,285.000000,1326.800000,1386.000000,1386.000000
1717299480,75,1386,51.173333,1,212.326837,6.000000,12.000000,195.000000,1289.800000,1386.000000,1386.000000
1717299510,80,1386,48.200000,1,205.824824,6.000000,11.500000,156.200000,1271.300000,1386.000000,1386.000000
1717299540,90,1386,43.211111,1,194.436524,5.000000,8.500000,128.200000,1234.300000,1386.000000,1386.000000
1717299570,100,1386,39.270000,1,184.738573,5.000000,7.000000,101.000000,1183.760000,1384.150000,1386.000000
1717299600,109,1386,36.275229,1,177.158428,5.000000,7.000000,83.000000,1028.600000,1367.500000,1386.000000
1717299630,119,1386,33.487395,1,169.737977,5.000000,6.000000,63.000000,856.200000,1349.000000,1386.000000
1717299660,129,1386,31.139535,1,163.175986,4.000000,6.000000,62.000000,683.800000,1330.500000,1386.000000
1717299690,134,1386,30.089552,1,160.169058,4.000000,6.000000,61.500000,597.600000,1321.250000,1386.000000
1717299720,144,1386,28.215278,1,154.621178,4.000000,6.000000,60.750000,425.200000,1302.750000,1386.000000
1717299750,149,1386,27.369128,1,152.055393,4.000000,6.000000,60.500000,339.000000,1293.500000,1386.000000
1717299780,159,1386,25.842767,1,147.283999,4.000000,6.000000,60.000000,303.000000,1275.000000,1386.000000
1717299810,164,1386,25.158537,1,145.059368,4.000000,6.000000,58.750000,285.000000,1265.750000,1386.000000
1717299840,174,1386,23.856322,1,140.904047,4.000000,6.000000,56.250000,249.000000,1247.250000,1386.000000
