t,value
1717296900,59
1717296930,59
1717296960,59
1717296990,59
1717297020,59
1717297050,59
1717297080,59
1717297110,59
1717297140,59
1717297170,59
1717297200,59
1717297230,59
1717299240,59
1717299270,59
1717299300,59
1717299330,59
1717299360,59
1717299390,59
1717299420,59
1717299450,59
1717299480,59
1717299510,59
1717299540,59
1717299570,59
1717299600,59
1717299630,59
1717299660,59
1717299690,59
1717299720,59
1717299750,59
1717299780,59
1717299810,59
1717299840,59
1717299870,59
1717299900,59
1717299930,59
1717299960,59
1717299990,59
1717300020,59
1717300050,59
1717300080,59
1717300110,59
1717300140,59
1717300170,59
1717300200,59
1717300230,59
1717300260,59
1717300290,59
1717300320,59
1717300350,59
1717300380,59
1717300410,59
1717300440,59
1717300470,59
1717300500,59
1717300530,59
1717300560,59
1717300590,59
1717300620,59
1717300650,59
1717300680,59
1717300710,59
1717300741,59
1717300771,59
1717300801,59
1717300831,59
1717300861,59
1717300891,59
1717300921,59
1717300951,59
1717300981,59
1717301011,59
1717301041,59
1717301071,59
1717301101,59
1717301131,59
1717301161,59
1717301191,59
1717301221,59
1717301251,59
1717301281,59
1717301311,59
1717301341,59
1717301371,59
1717301401,59
1717301431,59
1717301461,59
1717301491,59
1717301521,59
1717301551,59
1717301581,59
1717301611,59
1717301641,59
1717301671,59
1717301701,59
1717301731,59
1717301761,59
1717301791,59
1717301821,59
1717301851,59
1717301881,59
1717301911,59
1717301941,59
1717301971,59
1717302001,59
1717302031,59
1717302061,59
1717302091,59
1717302121,59
1717302151,59
1717302181,59
1717302211,59
1717302241,59
1717302271,59
1717302301,59
1717302331,59
1717302361,59
1717302391,59
1717302421,59
1717302451,59
1717302481,59
1717302511,59
1717302541,59
1717302571,59
1717302601,59
1717302631,59
1717302661,59
1717302691,59
1717302721,59
1717302751,59
1717302781,59
1717302811,59
1717302841,59
1717302871,59
1717302901,59
1717302931,59
1717302961,59
1717302991,59
1717303021,59
1717303051,59
1717303082,59
1717303112,59
1717303142,59
1717303172,59
1717303202,59
1717303232,59
1717303262,59
1717303292,59
1717303322,59
1717303352,59
1717303382,59
1717303412,59
1717303442,59
1717303472,59
1717303502,59
1717303532,59
1717303562,59
1717303592,59
1717303622,59
1717303652,59
1717303682,59
1717303712,59
1717303742,59
1717303772,59
1717303802,59
1717303832,59
1717303862,59
1717303892,59
1717303922,59
1717303952,59
1717303982,59
1717304012,59
1717304042,59
1717304072,59
1717304102,59
1717304132,59
1717304162,59
1717304192,59
1717304222,59
1717304252,59
1717304282,59
1717304312,59
1717304342,59
1717304372,59
1717304402,59
1717304432,59
1717304462,59
1717304492,59
1717304522,59
1717304552,59
1717304582,59
1717304612,59
1717304642,59
1717304672,59
1717304702,59
1717304732,59
1717304762,59
1717304792,59
1717304822,59
1717304852,59
1717304882,59
1717304912,59
1717304942,59
1717304972,59
1717305002,59
1717305032,59
1717305062,59
1717305092,59
1717305122,59
1717305152,59
1717305182,59
1717305212,59
1717305242,59
1717305272,59
1717305302,59
1717305332,59
1717305362,59
1717305392,59
1717305422,59
1717305452,59
1717305482,59
1717305512,59
1717305542,59
1717305572,59
1717305602,59
1717305632,59
1717305662,59
1717305692,59
1717305722,59
1717305752,59
1717305783,59
1717305813,59
1717305843,59
1717305873,59
1717305903,59
1717305933,59
1717305963,59
1717305993,59
1717306023,59
1717306053,59
1717306083,59
1717306113,59
1717306143,59
1717306173,59
1717306203,59
1717306233,59
1717306263,59
1717306293,59
1717306323,59
1717306353,59
1717306383,59
1717306413,59
1717306443,59
1717306473,59
1717306503,59
1717306533,59
1717306563,59
1717306593,59
1717306623,59
1717306653,59
1717306683,59
1717306713,59
1717306743,59
1717306773,59
1717306803,59
1717306833,59
1717306863,59
1717306893,59
1717306923,59
1717306953,59
1717306983,59
1717307013,59
1717307043,59
1717307073,59
1717307103,59
1717307133,59
1717307163,59
1717307193,59
1717307224,59
1717307254,59
1717307284,59
1717307314,59
1717307344,59
1717307374,59
1717307404,59
1717307434,59
1717307464,59
1717307494,59
1717307524,59
1717307554,59
1717307584,59
1717307614,59
1717307644,59
1717307674,59
1717307704,59
1717307734,59
1717307764,59
1717307794,59
1717307824,59
1717307854,59
1717307884,59
1717307914,59
1717307944,59
1717307974,59
1717308004,59
1717308034,59
1717308064,59
1717308094,59
1717308124,59
1717308154,59
1717308184,59
1717308214,59
1717308244,59
1717308274,59
1717308304,59
1717308334,59
1717308364,59
1717308394,59
1717308424,59
1717308454,59
1717308485,59
1717308515,59
1717308545,59
1717308575,59
1717308605,59
1717308635,59
1717308665,59
1717308695,59
1717308725,59
1717308755,59
1717308785,59
1717308815,59
1717308845,59
1717308875,59
1717308905,59
1717308935,59
1717308965,59
1717308995,59
1717309025,59
1717309055,59
1717309085,59
1717309115,59
1717309145,59
1717309175,59
1717309205,59
1717309235,59
1717309265,59
1717309295,59
1717309325,59
1717309355,59
1717309385,59
1717309415,59
1717309445,59
1717309475,59
1717309505,59
1717309535,59
1717309565,59
1717309595,59
1717309625,59
1717309655,59
1717309685,59
1717309715,59
1717309745,59
1717309775,59
1717309805,59
1717309835,59
1717309865,59
1717309895,59
1717309925,59
1717309955,59
1717309985,59
1717310015,59
1717310045,59
1717310075,59
1717310106,59
1717310136,59
1717310166,59
1717310196,59
1717310226,59
1717310256,59
1717310286,59
1717310316,59
1717310346,59
1717310376,59
1717310406,59
1717310436,59
1717310466,59
1717310496,59
1717310526,59
1717310556,59
1717310586,59
1717310616,59
1717310646,59
1717310676,59
1717310706,59
1717310736,59
1717310766,59
1717310796,59
1717310826,59
1717310856,59
1717310886,59
1717310916,59
1717310946,59
1717310976,59
1717311006,59
1717311036,59
1717311066,59
1717311096,59
1717311126,59
1717311156,59
1717311186,59
1717311216,59
1717311246,59
1717311276,59
1717311306,59
1717311336,59
1717311366,59
1717311396,59
1717311426,59
1717311456,59
1717311486,59
1717311516,59
1717311546,59
1717311576,59
1717311606,59
1717311636,59
1717311666,59
1717311696,59
1717311726,59
1717311756,59
1717311786,59
1717311816,59
1717311846,59
1717311876,59
1717311906,59
1717311936,59
1717311966,59
1717311996,59
1717312026,59
1717312056,59
1717312086,59
1717312116,59
1717312146,59
1717312176,59
1717312206,59
1717312236,59
1717312267,59
1717312297,59
1717312327,59
1717312357,59
1717312387,59
1717312417,59
1717312447,59
1717312477,59
1717312507,59
1717312537,59
1717312567,59
1717312597,59
1717312627,59
1717312657,59
1717312687,59
1717312717,59
1717312747,59
1717312777,59
1717312807,59
1717312837,59
1717312867,59
1717312897,59
1717312927,59
1717312957,59
1717312987,59
1717313017,59
1717313047,59
1717313077,59
1717313107,59
1717313137,59
1717313167,59
1717313197,59
1717313227,59
1717313257,59
1717313287,59
1717313317,59
1717313347,59
1717313377,59
1717313407,59
1717313437,59
1717313467,59
1717313497,59
1717313527,59
1717313557,59
1717313587,59
1717313617,59
1717313647,59
1717313677,59
1717313707,59
1717313737,59
1717313767,59
1717313797,59
1717313827,59
1717313857,59
1717313887,59
1717313917,59
1717313947,59
1717313977,59
1717314007,59
1717314037,59
1717314067,59
1717314097,59
1717314127,59
1717314157,59
1717314187,59
1717314217,59
1717314247,59
1717314277,59
