t,value
1717296900,138
1717296930,138
1717296960,138
1717296990,138
1717297020,138
1717297050,138
1717297080,138
1717297110,138
1717297140,138
1717297170,138
1717297200,138
1717297230,138
1717299240,138
1717299270,138
1717299300,138
1717299330,138
1717299360,138
1717299390,138
1717299420,138
1717299450,138
1717299480,138
1717299510,138
1717299540,138
1717299570,138
1717299600,138
1717299630,138
1717299660,138
1717299690,138
1717299720,138
1717299750,138
1717299780,138
1717299810,138
1717299840,138
1717299870,138
1717299900,138
1717299930,138
1717299960,138
1717299990,138
1717300020,138
1717300050,138
1717300080,138
1717300110,138
1717300140,138
1717300170,138
1717300200,138
1717300230,138
1717300260,138
1717300290,138
1717300320,138
1717300350,138
1717300380,138
1717300410,138
1717300440,138
1717300470,138
1717300500,138
1717300530,138
1717300560,138
1717300590,138
1717300620,138
1717300650,138
1717300680,138
1717300710,138
1717300741,138
1717300771,138
1717300801,138
1717300831,138
1717300861,138
1717300891,138
1717300921,138
1717300951,138
1717300981,138
1717301011,138
1717301041,138
1717301071,138
1717301101,138
1717301131,138
1717301161,138
1717301191,138
1717301221,138
1717301251,138
1717301281,138
1717301311,138
1717301341,138
1717301371,138
1717301401,138
1717301431,138
1717301461,138
1717301491,138
1717301521,138
1717301551,138
1717301581,138
1717301611,138
1717301641,138
1717301671,138
1717301701,138
1717301731,138
1717301761,138
1717301791,138
1717301821,138
1717301851,138
1717301881,138
1717301911,138
1717301941,138
1717301971,138
1717302001,138
1717302031,138
1717302061,138
1717302091,138
1717302121,138
1717302151,138
1717302181,138
1717302211,138
1717302241,138
1717302271,138
1717302301,138
1717302331,138
1717302361,138
1717302391,138
1717302421,138
1717302451,138
1717302481,138
1717302511,138
1717302541,138
1717302571,138
1717302601,138
1717302631,138
1717302661,138
1717302691,138
1717302721,138
1717302751,138
1717302781,138
1717302811,138
1717302841,138
1717302871,138
1717302901,138
1717302931,138
1717302961,138
1717302991,138
1717303021,138
1717303051,138
1717303082,138
1717303112,138
1717303142,138
1717303172,138
1717303202,138
1717303232,138
1717303262,138
1717303292,138
1717303322,138
1717303352,138
1717303382,138
1717303412,138
1717303442,138
1717303472,138
1717303502,138
1717303532,138
1717303562,138
1717303592,138
1717303622,138
1717303652,138
1717303682,138
1717303712,138
1717303742,138
1717303772,138
1717303802,138
1717303832,138
1717303862,138
1717303892,138
1717303922,138
1717303952,138
1717303982,138
1717304012,138
1717304042,138
1717304072,138
1717304102,138
1717304132,138
1717304162,138
1717304192,138
1717304222,138
1717304252,138
1717304282,138
1717304312,138
1717304342,138
1717304372,138
1717304402,138
1717304432,138
1717304462,138
1717304492,138
1717304522,138
1717304552,138
1717304582,138
1717304612,138
1717304642,138
1717304672,138
1717304702,138
1717304732,138
1717304762,138
1717304792,138
1717304822,138
1717304852,138
1717304882,138
1717304912,138
1717304942,138
1717304972,138
1717305002,138
1717305032,138
1717305062,138
1717305092,138
1717305122,138
1717305152,138
1717305182,138
1717305212,138
1717305242,138
1717305272,138
1717305302,138
1717305332,138
1717305362,138
1717305392,138
1717305422,138
1717305452,138
1717305482,138
1717305512,138
1717305542,138
1717305572,138
1717305602,138
1717305632,138
1717305662,138
1717305692,138
1717305722,138
1717305752,138
1717305783,138
1717305813,138
1717305843,138
1717305873,138
1717305903,138
1717305933,138
1717305963,138
1717305993,138
1717306023,138
1717306053,138
1717306083,138
1717306113,138
1717306143,138
1717306173,138
1717306203,138
1717306233,138
1717306263,138
1717306293,138
1717306323,138
1717306353,138
1717306383,138
1717306413,138
1717306443,138
1717306473,138
1717306503,138
1717306533,138
1717306563,138
1717306593,138
1717306623,138
1717306653,138
1717306683,138
1717306713,138
1717306743,138
1717306773,138
1717306803,138
1717306833,138
1717306863,138
1717306893,138
1717306923,138
1717306953,138
1717306983,138
1717307013,138
1717307043,138
1717307073,138
1717307103,138
1717307133,138
1717307163,138
1717307193,138
1717307224,138
1717307254,138
1717307284,138
1717307314,138
1717307344,138
1717307374,138
1717307404,138
1717307434,138
1717307464,138
1717307494,138
1717307524,138
1717307554,138
1717307584,138
1717307614,138
1717307644,138
1717307674,138
1717307704,138
1717307734,138
1717307764,138
1717307794,138
1717307824,138
1717307854,138
1717307884,138
1717307914,138
1717307944,138
1717307974,138
1717308004,138
1717308034,138
1717308064,138
1717308094,138
1717308124,138
1717308154,138
1717308184,138
1717308214,138
1717308244,138
1717308274,138
1717308304,138
1717308334,138
1717308364,138
1717308394,138
1717308424,138
1717308454,138
1717308485,138
