t,value
1717296900,117
1717296930,117
1717296960,117
1717296990,117
1717297020,117
1717297050,117
1717297080,117
1717297110,117
1717297140,117
1717297170,117
1717297200,117
1717297230,117
1717299240,117
1717299270,117
1717299300,117
1717299330,117
1717299360,117
1717299390,117
1717299420,117
1717299450,117
1717299480,117
1717299510,117
1717299540,117
1717299570,117
1717299600,117
1717299630,117
1717299660,117
1717299690,117
1717299720,117
1717299750,117
1717299780,117
1717299810,117
1717299840,117
1717299870,117
1717299900,117
1717299930,117
1717299960,117
1717299990,117
1717300020,117
1717300050,117
1717300080,117
1717300110,117
1717300140,117
1717300170,117
1717300200,117
1717300230,117
1717300260,117
1717300290,117
1717300320,117
1717300350,117
1717300380,117
1717300410,117
1717300440,117
1717300470,117
1717300500,117
1717300530,117
1717300560,117
1717300590,117
1717300620,117
1717300650,117
1717300680,117
1717300710,117
1717300741,117
1717300771,117
1717300801,117
1717300831,117
1717300861,117
1717300891,117
1717300921,117
1717300951,117
1717300981,117
1717301011,117
1717301041,117
1717301071,117
1717301101,117
1717301131,117
1717301161,117
1717301191,117
1717301221,117
1717301251,117
1717301281,117
1717301311,117
1717301341,117
1717301371,117
1717301401,117
1717301431,117
1717301461,117
1717301491,117
1717301521,117
1717301551,117
1717301581,117
1717301611,117
1717301641,117
1717301671,117
1717301701,117
1717301731,117
1717301761,117
1717301791,117
1717301821,117
1717301851,117
1717301881,117
1717301911,117
1717301941,117
1717301971,117
1717302001,117
1717302031,117
1717302061,117
1717302091,117
1717302121,117
1717302151,117
1717302181,117
1717302211,117
1717302241,117
1717302271,117
1717302301,117
1717302331,117
1717302361,117
1717302391,117
1717302421,117
1717302451,117
1717302481,117
1717302511,117
1717302541,117
1717302571,117
1717302601,117
1717302631,117
1717302661,117
1717302691,117
1717302721,117
1717302751,117
1717302781,117
1717302811,117
1717302841,117
1717302871,117
1717302901,117
1717302931,117
1717302961,117
1717302991,117
1717303021,117
1717303051,117
1717303082,117
1717303112,117
1717303142,117
1717303172,117
1717303202,117
1717303232,117
1717303262,117
1717303292,117
1717303322,117
1717303352,117
1717303382,117
1717303412,117
1717303442,117
1717303472,117
1717303502,117
1717303532,117
1717303562,117
1717303592,117
1717303622,117
1717303652,117
1717303682,117
1717303712,117
1717303742,117
1717303772,117
1717303802,117
1717303832,117
1717303862,117
1717303892,117
1717303922,117
1717303952,117
1717303982,117
1717304012,117
1717304042,117
1717304072,117
1717304102,117
1717304132,117
1717304162,117
1717304192,117
1717304222,117
1717304252,117
1717304282,117
1717304312,117
1717304342,117
1717304372,117
1717304402,117
1717304432,117
1717304462,117
1717304492,117
1717304522,117
1717304552,117
1717304582,117
1717304612,117
1717304642,117
1717304672,117
1717304702,117
1717304732,117
1717304762,117
1717304792,117
1717304822,117
1717304852,117
1717304882,117
1717304912,117
1717304942,117
1717304972,117
1717305002,117
1717305032,117
1717305062,117
1717305092,117
1717305122,117
1717305152,117
1717305182,117
1717305212,117
1717305242,117
1717305272,117
1717305302,117
1717305332,117
1717305362,117
1717305392,117
1717305422,117
1717305452,117
1717305482,117
1717305512,117
1717305542,117
1717305572,117
1717305602,117
1717305632,117
1717305662,117
1717305692,117
1717305722,117
1717305752,117
1717305783,117
1717305813,117
1717305843,117
