t,value
1717296900,9
1717296930,9
1717296960,9
1717296990,9
1717297020,9
1717297050,9
1717297080,9
1717297110,9
1717297140,9
1717297170,9
1717297200,9
1717297230,9
1717299240,9
1717299270,9
1717299300,9
1717299330,9
1717299360,9
1717299390,9
1717299420,9
1717299450,9
1717299480,9
1717299510,9
1717299540,9
1717299570,9
1717299600,9
1717299630,9
1717299660,9
1717299690,9
1717299720,9
1717299750,9
1717299780,9
1717299810,9
1717299840,9
1717299870,9
1717299900,9
1717299930,9
1717299960,9
1717299990,9
1717300020,9
1717300050,9
1717300080,9
1717300110,9
1717300140,9
1717300170,9
1717300200,9
1717300230,9
1717300260,9
1717300290,9
1717300320,9
1717300350,9
1717300380,9
1717300410,9
1717300440,9
1717300470,9
1717300500,9
1717300530,9
1717300560,9
1717300590,9
1717300620,9
1717300650,9
1717300680,9
1717300710,9
1717300741,9
1717300771,9
1717300801,9
1717300831,9
1717300861,9
1717300891,9
1717300921,9
1717300951,9
1717300981,9
1717301011,9
1717301041,9
1717301071,9
1717301101,9
1717301131,9
1717301161,9
1717301191,9
1717301221,9
1717301251,9
1717301281,9
1717301311,9
1717301341,9
1717301371,9
1717301401,9
1717301431,9
1717301461,9
1717301491,9
1717301521,9
1717301551,9
1717301581,9
1717301611,9
1717301641,9
1717301671,9
1717301701,9
1717301731,9
1717301761,9
1717301791,9
1717301821,9
1717301851,9
1717301881,9
1717301911,9
1717301941,9
1717301971,9
1717302001,9
1717302031,9
1717302061,9
1717302091,9
1717302121,9
1717302151,9
1717302181,9
1717302211,9
1717302241,9
1717302271,9
1717302301,9
1717302331,9
1717302361,9
1717302391,9
1717302421,9
1717302451,9
1717302481,9
1717302511,9
1717302541,9
1717302571,9
1717302601,9
1717302631,9
1717302661,9
1717302691,9
1717302721,9
1717302751,9
1717302781,9
1717302811,9
1717302841,9
1717302871,9
1717302901,9
1717302931,9
1717302961,9
1717302991,9
1717303021,9
1717303051,9
1717303082,9
1717303112,9
1717303142,9
1717303172,9
1717303202,9
1717303232,9
1717303262,9
1717303292,9
1717303322,9
1717303352,9
1717303382,9
1717303412,9
1717303442,9
1717303472,9
1717303502,9
1717303532,9
1717303562,9
1717303592,9
1717303622,9
1717303652,9
1717303682,9
1717303712,9
1717303742,9
1717303772,9
1717303802,9
1717303832,9
1717303862,9
1717303892,9
1717303922,9
1717303952,9
1717303982,9
1717304012,9
1717304042,9
1717304072,9
1717304102,9
1717304132,9
1717304162,9
1717304192,9
1717304222,9
1717304252,9
1717304282,9
1717304312,9
1717304342,9
1717304372,9
1717304402,9
1717304432,9
1717304462,9
1717304492,9
1717304522,9
1717304552,9
1717304582,9
1717304612,9
1717304642,9
1717304672,9
1717304702,9
1717304732,9
1717304762,9
1717304792,9
1717304822,9
1717304852,9
1717304882,9
1717304912,9
1717304942,9
1717304972,9
1717305002,9
1717305032,9
1717305062,9
1717305092,9
1717305122,9
1717305152,9
1717305182,9
1717305212,9
1717305242,9
1717305272,9
1717305302,9
1717305332,9
1717305362,9
1717305392,9
1717305422,9
1717305452,9
1717305482,9
1717305512,9
1717305542,9
1717305572,9
1717305602,9
1717305632,9
1717305662,9
1717305692,9
1717305722,9
1717305752,9
1717305783,9
1717305813,9
1717305843,9
1717305873,9
1717305903,9
1717305933,9
1717305963,9
1717305993,9
1717306023,9
1717306053,9
1717306083,9
1717306113,9
1717306143,9
1717306173,9
1717306203,9
1717306233,9
1717306263,9
1717306293,9
1717306323,9
1717306353,9
1717306383,9
1717306413,9
1717306443,9
1717306473,9
1717306503,9
1717306533,9
1717306563,9
1717306593,9
1717306623,9
1717306653,9
1717306683,9
1717306713,9
1717306743,9
1717306773,9
1717306803,9
1717306833,9
1717306863,9
1717306893,9
1717306923,9
1717306953,9
1717306983,9
1717307013,9
1717307043,9
1717307073,9
1717307103,9
1717307133,9
1717307163,9
1717307193,9
1717307224,9
1717307254,9
1717307284,9
1717307314,9
1717307344,9
1717307374,9
1717307404,9
1717307434,9
1717307464,9
1717307494,9
1717307524,9
1717307554,9
1717307584,9
1717307614,9
1717307644,9
1717307674,9
1717307704,9
1717307734,9
1717307764,9
1717307794,9
1717307824,9
1717307854,9
1717307884,9
1717307914,9
1717307944,9
1717307974,9
1717308004,9
1717308034,9
1717308064,9
1717308094,9
1717308124,9
1717308154,9
1717308184,9
1717308214,9
1717308244,9
1717308274,9
1717308304,9
1717308334,9
1717308364,9
1717308394,9
1717308424,9
1717308454,9
1717308485,9
1717308515,9
1717308545,9
1717308575,9
1717308605,9
1717308635,9
1717308665,9
1717308695,9
1717308725,9
1717308755,9
1717308785,9
1717308815,9
1717308845,9
1717308875,9
1717308905,9
1717308935,9
1717308965,9
1717308995,9
1717309025,9
1717309055,9
1717309085,9
1717309115,9
1717309145,9
1717309175,9
1717309205,9
1717309235,9
1717309265,9
1717309295,9
1717309325,9
1717309355,9
1717309385,9
1717309415,9
1717309445,9
1717309475,9
1717309505,9
1717309535,9
1717309565,9
1717309595,9
1717309625,9
1717309655,9
1717309685,9
1717309715,9
1717309745,9
1717309775,9
1717309805,9
1717309835,9
1717309865,9
1717309895,9
1717309925,9
1717309955,9
1717309985,9
1717310015,9
1717310045,9
1717310075,9
1717310106,9
1717310136,9
1717310166,9
1717310196,9
1717310226,9
1717310256,9
1717310286,9
1717310316,9
1717310346,9
1717310376,9
1717310406,9
1717310436,9
1717310466,9
1717310496,9
1717310526,9
1717310556,9
1717310586,9
1717310616,9
1717310646,9
1717310676,9
1717310706,9
1717310736,9
1717310766,9
1717310796,9
1717310826,9
1717310856,9
1717310886,9
1717310916,9
1717310946,9
1717310976,9
1717311006,9
1717311036,9
1717311066,9
1717311096,9
1717311126,9
1717311156,9
1717311186,9
1717311216,9
1717311246,9
1717311276,9
1717311306,9
1717311336,9
1717311366,9
1717311396,9
1717311426,9
1717311456,9
1717311486,9
1717311516,9
1717311546,9
1717311576,9
1717311606,9
1717311636,9
1717311666,9
1717311696,9
1717311726,9
1717311756,9
1717311786,9
1717311816,9
1717311846,9
1717311876,9
1717311906,9
1717311936,9
1717311966,9
1717311996,9
1717312026,9
1717312056,9
1717312086,9
1717312116,9
1717312146,9
1717312176,9
1717312206,9
1717312236,9
1717312267,9
1717312297,9
1717312327,9
1717312357,9
1717312387,9
1717312417,9
1717312447,9
1717312477,9
1717312507,9
1717312537,9
1717312567,9
1717312597,9
1717312627,9
1717312657,9
1717312687,9
1717312717,9
1717312747,9
1717312777,9
1717312807,9
1717312837,9
1717312867,9
1717312897,9
1717312927,9
1717312957,9
1717312987,9
1717313017,9
1717313047,9
1717313077,9
1717313107,9
1717313137,9
1717313167,9
1717313197,9
1717313227,9
1717313257,9
1717313287,9
1717313317,9
1717313347,9
1717313377,9
1717313407,9
1717313437,9
1717313467,9
1717313497,9
1717313527,9
1717313557,9
1717313587,9
1717313617,9
1717313647,9
1717313677,9
1717313707,9
1717313737,9
1717313767,9
1717313797,9
1717313827,9
1717313857,9
1717313887,9
1717313917,9
1717313947,9
1717313977,9
1717314007,9
1717314037,9
1717314067,9
1717314097,9
1717314127,9
1717314157,9
1717314187,9
1717314217,9
1717314247,9
1717314277,9
1717314307,9
1717314337,9
1717314367,9
1717314397,9
1717314427,9
1717314457,9
1717314487,9
1717314517,9
1717314547,9
1717314577,9
1717314607,9
1717314637,9
1717314667,9
1717314697,9
1717314727,9
1717314757,9
1717314787,9
1717314817,9
1717314847,9
1717314877,9
1717314907,9
1717314937,9
1717314967,9
1717314997,9
1717315027,9
1717315057,9
1717315087,9
1717315117,9
1717315148,9
1717315178,9
1717315208,9
1717315238,9
1717315268,9
1717315298,9
1717315328,9
1717315358,9
1717315388,9
1717315418,9
1717315448,9
1717315478,9
1717315508,9
1717315538,9
1717315568,9
1717315598,9
1717315628,9
1717315658,9
1717315688,9
