t,value
1717296900,73728
1717296930,73728
1717296960,73728
1717296990,73728
1717297020,73728
1717297050,73728
1717297080,73728
1717297110,73728
1717297140,73728
1717297170,73728
1717297200,73728
1717297230,73728
1717299240,1278834
1717299270,1278834
1717299300,1278834
1717299330,1278834
1717299360,1278834
1717299390,1278834
1717299420,1278834
1717299450,1278834
1717299480,1278834
1717299510,1278834
1717299540,1278834
1717299570,1278834
1717299600,1278834
1717299630,1278834
1717299660,1278834
1717299690,1278834
1717299720,1278834
1717299750,1278834
1717299780,1278834
1717299810,1278834
1717299840,1278834
1717299870,1278834
1717299900,1278834
1717299930,1278834
1717299960,1278834
1717299990,1278834
1717300020,1278834
1717300050,1278834
1717300080,1278834
1717300110,1278834
1717300140,1278834
1717300170,1278834
1717300200,1278834
1717300230,1278834
1717300260,1278834
1717300290,1278834
1717300320,1278834
1717300350,1278834
1717300380,1278834
1717300410,1278834
1717300440,1278834
1717300470,1278834
1717300500,1278834
1717300530,1278834
1717300560,1278834
1717300590,1278834
1717300620,1278834
1717300650,1278834
1717300680,1278834
1717300710,1278834
1717300741,1278834
1717300771,1278834
1717300801,1278834
1717300831,1278834
1717300861,1278834
1717300891,1278834
1717300921,1278834
1717300951,1278834
1717300981,1278834
1717301011,1278834
1717301041,1278834
1717301071,1278834
1717301101,1278834
1717301131,1278834
1717301161,1278834
1717301191,1278834
1717301221,1278834
1717301251,1278834
1717301281,1278834
1717301311,1278834
1717301341,1278834
1717301371,1278834
1717301401,1278834
1717301431,1278834
1717301461,1278834
1717301491,1278834
1717301521,1278834
1717301551,1278834
1717301581,1278834
1717301611,1278834
1717301641,1278834
1717301671,1278834
1717301701,1278834
1717301731,1278834
1717301761,1278834
1717301791,1278834
1717301821,1278834
1717301851,1278834
1717301881,1278834
1717301911,1278834
1717301941,1278834
1717301971,1278834
1717302001,1278834
1717302031,1278834
1717302061,1278834
1717302091,1278834
1717302121,1278834
1717302151,1278834
1717302181,1278834
1717302211,1278834
1717302241,1278834
1717302271,1278834
1717302301,1278834
1717302331,1278834
1717302361,1278834
1717302391,1278834
1717302421,1278834
1717302451,1278834
1717302481,1278834
1717302511,1278834
1717302541,1278834
1717302571,1278834
1717302601,1278834
1717302631,1278834
1717302661,1278834
1717302691,1278834
1717302721,1278834
1717302751,1278834
1717302781,1278834
1717302811,1278834
1717302841,1278834
1717302871,1278834
1717302901,1278834
1717302931,1278834
1717302961,1278834
1717302991,1278834
1717303021,1278834
1717303051,1278834
1717303082,1278834
1717303112,1278834
1717303142,1278834
1717303172,1278834
1717303202,1278834
1717303232,1278834
1717303262,1278834
1717303292,1278834
1717303322,1278834
1717303352,1278834
1717303382,1278834
1717303412,1278834
1717303442,1278834
1717303472,1278834
1717303502,1278834
1717303532,1278834
1717303562,1278834
1717303592,1278834
1717303622,1278834
1717303652,1278834
1717303682,1278834
1717303712,1278834
1717303742,1278834
1717303772,1278834
1717303802,1278834
1717303832,1278834
1717303862,1278834
1717303892,1278834
1717303922,1278834
1717303952,1278834
1717303982,1278834
1717304012,1278834
1717304042,1278834
1717304072,1278834
1717304102,1278834
1717304132,1278834
1717304162,1278834
1717304192,1278834
1717304222,1278834
1717304252,1278834
1717304282,1278834
1717304312,1278834
1717304342,1278834
1717304372,1278834
1717304402,1278834
1717304432,1278834
1717304462,1278834
1717304492,1278834
1717304522,1278834
1717304552,1278834
1717304582,1278834
1717304612,1278834
1717304642,1278834
1717304672,1278834
1717304702,1278834
1717304732,1278834
1717304762,1278834
1717304792,1278834
1717304822,1278834
1717304852,1278834
1717304882,1278834
1717304912,1278834
1717304942,1278834
1717304972,1278834
1717305002,1278834
1717305032,1278834
1717305062,1278834
1717305092,1278834
1717305122,1278834
1717305152,1278834
1717305182,1278834
1717305212,1278834
1717305242,1278834
1717305272,1278834
1717305302,1278834
1717305332,1278834
1717305362,1278834
1717305392,1278834
1717305422,1278834
1717305452,1278834
1717305482,1278834
1717305512,1278834
1717305542,1278834
1717305572,1278834
1717305602,1278834
1717305632,1278834
1717305662,1278834
1717305692,1278834
1717305722,1278834
1717305752,1278834
1717305783,1278834
1717305813,1278834
1717305843,1278834
1717305873,1278834
1717305903,1278834
1717305933,1278834
1717305963,1278834
1717305993,1278834
1717306023,1278834
1717306053,1278834
1717306083,1278834
1717306113,1278834
1717306143,1278834
1717306173,1278834
1717306203,1278834
1717306233,1278834
1717306263,1278834
1717306293,1278834
1717306323,1278834
1717306353,1278834
1717306383,1278834
1717306413,1278834
1717306443,1278834
1717306473,1278834
1717306503,1278834
1717306533,1278834
1717306563,1278834
1717306593,1278834
1717306623,1278834
1717306653,1278834
1717306683,1278834
1717306713,1278834
1717306743,1278834
1717306773,1278834
1717306803,1278834
1717306833,1278834
1717306863,1278834
1717306893,1278834
1717306923,1278834
1717306953,1278834
1717306983,1278834
1717307013,1278834
1717307043,1278834
1717307073,1278834
1717307103,1278834
1717307133,1278834
1717307163,1278834
1717307193,1278834
1717307224,1278834
1717307254,1278834
1717307284,1278834
1717307314,1278834
1717307344,1278834
1717307374,1278834
1717307404,1278834
1717307434,1278834
1717307464,1278834
1717307494,1278834
1717307524,1278834
1717307554,1278834
1717307584,1278834
1717307614,1278834
1717307644,1278834
1717307674,1278834
1717307704,1278834
1717307734,1278834
1717307764,1278834
1717307794,1278834
1717307824,1278834
1717307854,1278834
1717307884,1278834
1717307914,1278834
1717307944,1278834
1717307974,1278834
1717308004,1278834
1717308034,1278834
1717308064,1278834
1717308094,1278834
1717308124,1278834
1717308154,1278834
1717308184,1278834
1717308214,1278834
1717308244,1278834
1717308274,1278834
1717308304,1278834
1717308334,1278834
1717308364,1278834
1717308394,1278834
1717308424,1278834
1717308454,1278834
1717308485,1278834
1717308515,1278834
1717308545,1278834
1717308575,1278834
1717308605,1278834
1717308635,1278834
1717308665,1278834
1717308695,1278834
1717308725,1278834
1717308755,1278834
1717308785,1278834
1717308815,1278834
1717308845,1278834
1717308875,1278834
1717308905,1278834
1717308935,1278834
1717308965,1278834
1717308995,1278834
1717309025,1278834
1717309055,1278834
1717309085,1278834
1717309115,1278834
1717309145,1278834
1717309175,1278834
1717309205,1278834
1717309235,1278834
1717309265,1278834
1717309295,1278834
1717309325,1278834
1717309355,1278834
1717309385,1278834
1717309415,1278834
1717309445,1278834
1717309475,1278834
1717309505,1278834
1717309535,1278834
1717309565,1278834
1717309595,1278834
1717309625,1278834
1717309655,1278834
1717309685,1278834
1717309715,1278834
1717309745,1278834
1717309775,1278834
1717309805,1278834
1717309835,1278834
1717309865,1278834
1717309895,1278834
1717309925,1278834
1717309955,1278834
1717309985,1278834
1717310015,1278834
1717310045,1278834
1717310075,1278834
1717310106,1278834
1717310136,1278834
1717310166,1278834
1717310196,1278834
1717310226,1278834
1717310256,1278834
1717310286,1278834
1717310316,1278834
1717310346,1278834
1717310376,1278834
1717310406,1278834
1717310436,1278834
1717310466,1278834
1717310496,1278834
1717310526,1278834
1717310556,1278834
1717310586,1278834
1717310616,1278834
1717310646,1278834
1717310676,1278834
1717310706,1278834
1717310736,1278834
1717310766,1278834
1717310796,1278834
1717310826,1278834
1717310856,1278834
1717310886,1278834
1717310916,1278834
1717310946,1278834
1717310976,1278834
1717311006,1278834
1717311036,1278834
1717311066,1278834
1717311096,1278834
1717311126,1278834
1717311156,1278834
1717311186,1278834
1717311216,1278834
1717311246,1278834
1717311276,1278834
1717311306,1278834
1717311336,1278834
1717311366,1278834
1717311396,1278834
1717311426,1278834
1717311456,1278834
1717311486,1278834
1717311516,1278834
1717311546,1278834
1717311576,1278834
1717311606,1278834
1717311636,1278834
1717311666,1278834
1717311696,1278834
1717311726,1278834
1717311756,1278834
1717311786,1278834
1717311816,1278834
1717311846,1278834
1717311876,1278834
1717311906,1278834
1717311936,1278834
1717311966,1278834
1717311996,1278834
1717312026,1278834
1717312056,1278834
1717312086,1278834
1717312116,1278834
1717312146,1278834
1717312176,1278834
1717312206,1278834
1717312236,1278834
1717312267,1278834
1717312297,1278834
1717312327,1278834
1717312357,1278834
1717312387,1278834
1717312417,1278834
1717312447,1278834
1717312477,1278834
1717312507,1278834
1717312537,1278834
1717312567,1278834
1717312597,1278834
1717312627,1278834
1717312657,1278834
1717312687,1278834
1717312717,1278834
1717312747,1278834
1717312777,1278834
1717312807,1278834
1717312837,1278834
1717312867,1278834
1717312897,1278834
1717312927,1278834
1717312957,1278834
1717312987,1278834
1717313017,1278834
1717313047,1278834
1717313077,1278834
1717313107,1278834
1717313137,1278834
1717313167,1278834
1717313197,1278834
1717313227,1278834
1717313257,1278834
1717313287,1278834
1717313317,1278834
1717313347,1278834
1717313377,1278834
1717313407,1278834
1717313437,1278834
1717313467,1278834
1717313497,1278834
1717313527,1278834
1717313557,1278834
1717313587,1278834
1717313617,1278834
