t,value
1717296900,73728
1717296930,73728
1717296960,73728
1717296990,73728
1717297020,73728
1717297050,73728
1717297080,73728
1717297110,73728
1717297140,73728
1717297170,73728
1717297200,73728
1717297230,73728
1717299240,1332441
1717299270,1332441
1717299300,1332441
1717299330,1332441
1717299360,1332441
1717299390,1332441
1717299420,1332441
1717299450,1332441
1717299480,1332441
1717299510,1332441
1717299540,1332441
1717299570,1332441
1717299600,1332441
1717299630,1332441
1717299660,1332441
1717299690,1332441
1717299720,1332441
1717299750,1332441
1717299780,1332441
1717299810,1332441
1717299840,1332441
1717299870,1332441
1717299900,1332441
1717299930,1332441
1717299960,1332441
1717299990,1332441
1717300020,1332441
1717300050,1332441
1717300080,1332441
1717300110,1332441
1717300140,1332441
1717300170,1332441
1717300200,1332441
1717300230,1332441
1717300260,1332441
1717300290,1332441
1717300320,1332441
1717300350,1332441
1717300380,1332441
1717300410,1332441
1717300440,1332441
1717300470,1332441
1717300500,1332441
1717300530,1332441
1717300560,1332441
1717300590,1332441
1717300620,1332441
1717300650,1332441
1717300680,1332441
1717300710,1332441
1717300741,1332441
1717300771,1332441
1717300801,1332441
1717300831,1332441
1717300861,1332441
1717300891,1332441
1717300921,1332441
1717300951,1332441
1717300981,1332441
1717301011,1332441
1717301041,1332441
1717301071,1332441
1717301101,1332441
1717301131,1332441
1717301161,1332441
1717301191,1332441
1717301221,1332441
1717301251,1332441
1717301281,1332441
1717301311,1332441
1717301341,1332441
1717301371,1332441
1717301401,1332441
1717301431,1332441
1717301461,1332441
1717301491,1332441
1717301521,1332441
1717301551,1332441
1717301581,1332441
1717301611,1332441
1717301641,1332441
1717301671,1332441
1717301701,1332441
1717301731,1332441
1717301761,1332441
1717301791,1332441
1717301821,1332441
1717301851,1332441
1717301881,1332441
1717301911,1332441
1717301941,1332441
1717301971,1332441
1717302001,1332441
1717302031,1332441
1717302061,1332441
1717302091,1332441
1717302121,1332441
1717302151,1332441
1717302181,1332441
1717302211,1332441
1717302241,1332441
1717302271,1332441
1717302301,1332441
1717302331,1332441
1717302361,1332441
1717302391,1332441
1717302421,1332441
1717302451,1332441
1717302481,1332441
1717302511,1332441
1717302541,1332441
1717302571,1332441
1717302601,1332441
1717302631,1332441
1717302661,1332441
1717302691,1332441
1717302721,1332441
1717302751,1332441
1717302781,1332441
1717302811,1332441
1717302841,1332441
1717302871,1332441
1717302901,1332441
1717302931,1332441
1717302961,1332441
1717302991,1332441
1717303021,1332441
1717303051,1332441
1717303082,1332441
1717303112,1332441
1717303142,1332441
1717303172,1332441
1717303202,1332441
1717303232,1332441
1717303262,1332441
1717303292,1332441
1717303322,1332441
1717303352,1332441
1717303382,1332441
1717303412,1332441
1717303442,1332441
1717303472,1332441
1717303502,1332441
1717303532,1332441
1717303562,1332441
1717303592,1332441
1717303622,1332441
1717303652,1332441
1717303682,1332441
1717303712,1332441
1717303742,1332441
1717303772,1332441
1717303802,1332441
1717303832,1332441
1717303862,1332441
1717303892,1332441
1717303922,1332441
1717303952,1332441
1717303982,1332441
1717304012,1332441
1717304042,1332441
1717304072,1332441
1717304102,1332441
1717304132,1332441
1717304162,1332441
1717304192,1332441
1717304222,1332441
1717304252,1332441
1717304282,1332441
1717304312,1332441
1717304342,1332441
1717304372,1332441
1717304402,1332441
1717304432,1332441
1717304462,1332441
1717304492,1332441
1717304522,1332441
1717304552,1332441
1717304582,1332441
1717304612,1332441
1717304642,1332441
1717304672,1332441
1717304702,1332441
1717304732,1332441
1717304762,1332441
1717304792,1332441
1717304822,1332441
1717304852,1332441
1717304882,1332441
1717304912,1332441
1717304942,1332441
1717304972,1332441
1717305002,1332441
1717305032,1332441
1717305062,1332441
1717305092,1332441
1717305122,1332441
1717305152,1332441
1717305182,1332441
1717305212,1332441
1717305242,1332441
1717305272,1332441
1717305302,1332441
1717305332,1332441
1717305362,1332441
1717305392,1332441
1717305422,1332441
1717305452,1332441
1717305482,1332441
1717305512,1332441
1717305542,1332441
1717305572,1332441
1717305602,1332441
1717305632,1332441
1717305662,1332441
1717305692,1332441
1717305722,1332441
1717305752,1332441
1717305783,1332441
1717305813,1332441
1717305843,1332441
1717305873,1332441
1717305903,1332441
1717305933,1332441
1717305963,1332441
1717305993,1332441
1717306023,1332441
1717306053,1332441
1717306083,1332441
1717306113,1332441
1717306143,1332441
1717306173,1332441
1717306203,1332441
1717306233,1332441
1717306263,1332441
1717306293,1332441
1717306323,1332441
1717306353,1332441
1717306383,1332441
1717306413,1332441
1717306443,1332441
1717306473,1332441
1717306503,1332441
1717306533,1332441
1717306563,1332441
1717306593,1332441
1717306623,1332441
1717306653,1332441
1717306683,1332441
1717306713,1332441
1717306743,1332441
1717306773,1332441
1717306803,1332441
1717306833,1332441
1717306863,1332441
1717306893,1332441
1717306923,1332441
1717306953,1332441
1717306983,1332441
1717307013,1332441
1717307043,1332441
1717307073,1332441
1717307103,1332441
1717307133,1332441
1717307163,1332441
1717307193,1332441
1717307224,1332441
1717307254,1332441
1717307284,1332441
1717307314,1332441
1717307344,1332441
1717307374,1332441
1717307404,1332441
1717307434,1332441
1717307464,1332441
1717307494,1332441
1717307524,1332441
1717307554,1332441
1717307584,1332441
1717307614,1332441
1717307644,1332441
1717307674,1332441
1717307704,1332441
1717307734,1332441
1717307764,1332441
1717307794,1332441
1717307824,1332441
1717307854,1332441
1717307884,1332441
1717307914,1332441
1717307944,1332441
1717307974,1332441
1717308004,1332441
1717308034,1332441
1717308064,1332441
1717308094,1332441
1717308124,1332441
1717308154,1332441
1717308184,1332441
1717308214,1332441
1717308244,1332441
1717308274,1332441
1717308304,1332441
1717308334,1332441
1717308364,1332441
1717308394,1332441
1717308424,1332441
1717308454,1332441
1717308485,1332441
1717308515,1332441
1717308545,1332441
1717308575,1332441
1717308605,1332441
1717308635,1332441
1717308665,1332441
1717308695,1332441
1717308725,1332441
1717308755,1332441
1717308785,1332441
1717308815,1332441
1717308845,1332441
1717308875,1332441
1717308905,1332441
1717308935,1332441
1717308965,1332441
1717308995,1332441
1717309025,1332441
1717309055,1332441
1717309085,1332441
1717309115,1332441
1717309145,1332441
1717309175,1332441
1717309205,1332441
1717309235,1332441
1717309265,1332441
1717309295,1332441
1717309325,1332441
1717309355,1332441
1717309385,1332441
1717309415,1332441
1717309445,1332441
1717309475,1332441
1717309505,1332441
1717309535,1332441
1717309565,1332441
1717309595,1332441
1717309625,1332441
1717309655,1332441
1717309685,1332441
1717309715,1332441
1717309745,1332441
1717309775,1332441
1717309805,1332441
1717309835,1332441
1717309865,1332441
1717309895,1332441
1717309925,1332441
1717309955,1332441
1717309985,1332441
1717310015,1332441
1717310045,1332441
1717310075,1332441
1717310106,1332441
1717310136,1332441
1717310166,1332441
1717310196,1332441
1717310226,1332441
1717310256,1332441
1717310286,1332441
1717310316,1332441
1717310346,1332441
1717310376,1332441
1717310406,1332441
1717310436,1332441
1717310466,1332441
1717310496,1332441
1717310526,1332441
1717310556,1332441
1717310586,1332441
1717310616,1332441
1717310646,1332441
1717310676,1332441
1717310706,1332441
1717310736,1332441
1717310766,1332441
1717310796,1332441
1717310826,1332441
1717310856,1332441
1717310886,1332441
1717310916,1332441
1717310946,1332441
1717310976,1332441
1717311006,1332441
1717311036,1332441
1717311066,1332441
1717311096,1332441
1717311126,1332441
1717311156,1332441
1717311186,1332441
1717311216,1332441
1717311246,1332441
1717311276,1332441
1717311306,1332441
1717311336,1332441
1717311366,1332441
1717311396,1332441
1717311426,1332441
1717311456,1332441
1717311486,1332441
1717311516,1332441
1717311546,1332441
1717311576,1332441
1717311606,1332441
1717311636,1332441
1717311666,1332441
1717311696,1332441
1717311726,1332441
1717311756,1332441
1717311786,1332441
1717311816,1332441
1717311846,1332441
1717311876,1332441
1717311906,1332441
1717311936,1332441
1717311966,1332441
1717311996,1332441
1717312026,1332441
1717312056,1332441
1717312086,1332441
1717312116,1332441
1717312146,1332441
1717312176,1332441
1717312206,1332441
1717312236,1332441
1717312267,1332441
1717312297,1332441
1717312327,1332441
1717312357,1332441
1717312387,1332441
1717312417,1332441
1717312447,1332441
1717312477,1332441
1717312507,1332441
1717312537,1332441
1717312567,1332441
1717312597,1332441
1717312627,1332441
1717312657,1332441
1717312687,1332441
1717312717,1332441
1717312747,1332441
1717312777,1332441
1717312807,1332441
1717312837,1332441
1717312867,1332441
1717312897,1332441
1717312927,1332441
1717312957,1332441
1717312987,1332441
1717313017,1332441
1717313047,1332441
1717313077,1332441
1717313107,1332441
1717313137,1332441
1717313167,1332441
1717313197,1332441
1717313227,1332441
1717313257,1332441
1717313287,1332441
1717313317,1332441
1717313347,1332441
1717313377,1332441
1717313407,1332441
1717313437,1332441
1717313467,1332441
1717313497,1332441
1717313527,1332441
1717313557,1332441
1717313587,1332441
1717313617,1332441
