t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,132,5.452998,0.000000,0.000000,0.000000,events/second
1717296930,150,2.761541,0.000000,0.000000,0.000000,events/second
1717296960,168,1.991720,0.000000,0.000000,0.000000,events/second
1717296990,194,1.696206,0.000000,0.000000,0.000000,events/second
1717297020,220,1.523703,0.000000,0.000000,0.000000,events/second
1717297050,248,1.422005,0.000000,0.000000,0.000000,events/second
1717297080,271,1.325667,0.000000,0.000000,0.000000,events/second
1717297110,308,1.313661,0.000000,0.000000,0.000000,events/second
1717297140,331,1.251532,0.000000,0.000000,0.000000,events/second
1717297170,359,1.219017,0.000000,0.000000,0.000000,events/second
1717297200,382,1.177157,0.000000,0.000000,0.000000,events/second
1717297230,405,1.142388,0.000000,0.000000,0.000000,events/second
1717299240,35,1.540847,0.000000,0.000000,0.000000,events/second
1717299270,58,1.098763,0.000000,0.000000,0.000000,events/second
1717299300,86,1.038709,0.000000,0.000000,0.000000,events/second
1717299330,109,0.966236,0.000000,0.000000,0.000000,events/second
1717299360,137,0.959264,0.000000,0.000000,0.000000,events/second
1717299390,160,0.925693,0.000000,0.000000,0.000000,events/second
1717299420,188,0.926804,0.000000,0.000000,0.000000,events/second
1717299450,211,0.906156,0.000000,0.000000,0.000000,events/second
1717299480,239,0.909216,0.000000,0.000000,0.000000,events/second
1717299510,262,0.894568,0.000000,0.000000,0.000000,events/second
1717299540,290,0.898137,0.000000,0.000000,0.000000,events/second
1717299570,318,0.901087,0.000000,0.000000,0.000000,events/second
1717299600,345,0.900980,0.000000,0.000000,0.000000,events/second
1717299630,373,0.903307,0.000000,0.000000,0.000000,events/second
1717299660,401,0.905324,0.000000,0.000000,0.000000,events/second
1717299690,424,0.896491,0.000000,0.000000,0.000000,events/second
1717299720,452,0.898641,0.000000,0.000000,0.000000,events/second
1717299750,475,0.891193,0.000000,0.000000,0.000000,events/second
1717299780,503,0.893431,0.000000,0.000000,0.000000,events/second
1717299810,526,0.887011,0.000000,0.000000,0.000000,events/second
1717299840,559,0.897253,0.000000,0.000000,0.000000,events/second
1717299870,583,0.892770,0.000000,0.000000,0.000000,events/second
1717299900,611,0.894543,0.000000,0.000000,0.000000,events/second
1717299930,639,0.896151,0.000000,0.000000,0.000000,events/second
1717299960,671,0.903019,0.000000,0.000000,0.000000,events/second
1717299990,694,0.897712,0.000000,0.000000,0.000000,events/second
1717300020,722,0.899026,0.000000,0.000000,0.000000,events/second
1717300050,745,0.894243,0.000000,0.000000,0.000000,events/second
1717300080,773,0.895585,0.000000,0.000000,0.000000,events/second
1717300110,796,0.891247,0.000000,0.000000,0.000000,events/second
1717300140,824,0.892604,0.000000,0.000000,0.000000,events/second
1717300170,847,0.888634,0.000000,0.000000,0.000000,events/second
1717300200,875,0.889993,0.000000,0.000000,0.000000,events/second
1717300230,898,0.886327,0.000000,0.000000,0.000000,events/second
1717300260,926,0.887672,0.000000,0.000000,0.000000,events/second
1717300290,949,0.884278,0.000000,0.000000,0.000000,events/second
1717300320,977,0.885599,0.000000,0.000000,0.000000,events/second
1717300350,1000,0.882439,0.000000,0.000000,0.000000,events/second
1717300380,1028,0.883748,0.000000,0.000000,0.000000,events/second
1717300410,1051,0.880796,0.000000,0.000000,0.000000,events/second
1717300440,1084,0.886161,0.000000,0.000000,0.000000,events/second
1717300470,1107,0.883298,0.000000,0.000000,0.000000,events/second
1717300500,1135,0.884461,0.000000,0.000000,0.000000,events/second
1717300530,1158,0.881765,0.000000,0.000000,0.000000,events/second
