t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,103,4.253855,0.000000,0.000000,0.000000,events/second
1717296930,103,1.896423,0.000000,0.000000,0.000000,events/second
1717296960,103,1.221182,0.000000,0.000000,0.000000,events/second
1717296990,103,0.900602,0.000000,0.000000,0.000000,events/second
1717297020,103,0.713394,0.000000,0.000000,0.000000,events/second
1717297050,103,0.590608,0.000000,0.000000,0.000000,events/second
1717297080,103,0.503863,0.000000,0.000000,0.000000,events/second
1717297110,103,0.439317,0.000000,0.000000,0.000000,events/second
1717297140,103,0.389457,0.000000,0.000000,0.000000,events/second
1717297170,103,0.349752,0.000000,0.000000,0.000000,events/second
1717297200,103,0.317406,0.000000,0.000000,0.000000,events/second
1717297230,103,0.290537,0.000000,0.000000,0.000000,events/second
1717299240,103,4.533271,0.000000,0.000000,0.000000,events/second
1717299270,103,1.951314,0.000000,0.000000,0.000000,events/second
1717299300,103,1.244063,0.000000,0.000000,0.000000,events/second
1717299330,103,0.913064,0.000000,0.000000,0.000000,events/second
1717299360,103,0.721208,0.000000,0.000000,0.000000,events/second
1717299390,103,0.595921,0.000000,0.000000,0.000000,events/second
1717299420,103,0.507775,0.000000,0.000000,0.000000,events/second
1717299450,103,0.442345,0.000000,0.000000,0.000000,events/second
1717299480,103,0.391841,0.000000,0.000000,0.000000,events/second
1717299510,103,0.351684,0.000000,0.000000,0.000000,events/second
1717299540,103,0.318995,0.000000,0.000000,0.000000,events/second
1717299570,103,0.291863,0.000000,0.000000,0.000000,events/second
1717299600,103,0.268989,0.000000,0.000000,0.000000,events/second
1717299630,103,0.249440,0.000000,0.000000,0.000000,events/second
1717299660,103,0.232541,0.000000,0.000000,0.000000,events/second
1717299690,103,0.217780,0.000000,0.000000,0.000000,events/second
1717299720,103,0.204780,0.000000,0.000000,0.000000,events/second
1717299750,103,0.193249,0.000000,0.000000,0.000000,events/second
1717299780,103,0.182950,0.000000,0.000000,0.000000,events/second
1717299810,103,0.173693,0.000000,0.000000,0.000000,events/second
1717299840,103,0.165326,0.000000,0.000000,0.000000,events/second
1717299870,103,0.157728,0.000000,0.000000,0.000000,events/second
1717299900,103,0.150799,0.000000,0.000000,0.000000,events/second
1717299930,103,0.144450,0.000000,0.000000,0.000000,events/second
1717299960,103,0.138616,0.000000,0.000000,0.000000,events/second
1717299990,103,0.133234,0.000000,0.000000,0.000000,events/second
1717300020,103,0.128255,0.000000,0.000000,0.000000,events/second
1717300050,103,0.123634,0.000000,0.000000,0.000000,events/second
1717300080,103,0.119334,0.000000,0.000000,0.000000,events/second
1717300110,103,0.115325,0.000000,0.000000,0.000000,events/second
1717300140,103,0.111576,0.000000,0.000000,0.000000,events/second
1717300170,103,0.108063,0.000000,0.000000,0.000000,events/second
1717300200,103,0.104765,0.000000,0.000000,0.000000,events/second
1717300230,103,0.101661,0.000000,0.000000,0.000000,events/second
1717300260,103,0.098737,0.000000,0.000000,0.000000,events/second
1717300290,103,0.095976,0.000000,0.000000,0.000000,events/second
1717300320,103,0.093364,0.000000,0.000000,0.000000,events/second
1717300350,103,0.090891,0.000000,0.000000,0.000000,events/second
1717300380,103,0.088547,0.000000,0.000000,0.000000,events/second
1717300410,103,0.086320,0.000000,0.000000,0.000000,events/second
1717300440,103,0.084202,0.000000,0.000000,0.000000,events/second
1717300470,103,0.082186,0.000000,0.000000,0.000000,events/second
1717300500,103,0.080264,0.000000,0.000000,0.000000,events/second
1717300530,103,0.078430,0.000000,0.000000,0.000000,events/second
1717300560,103,0.076678,0.000000,0.000000,0.000000,events/second
