t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,2,0.082562,0.000000,0.000000,0.000000,events/second
1717296930,2,0.036819,0.000000,0.000000,0.000000,events/second
1717296960,2,0.023710,0.000000,0.000000,0.000000,events/second
1717296990,3,0.026230,0.000000,0.000000,0.000000,events/second
1717297020,3,0.020777,0.000000,0.000000,0.000000,events/second
1717297050,6,0.034403,0.000000,0.000000,0.000000,events/second
1717297080,6,0.029350,0.000000,0.000000,0.000000,events/second
1717297110,6,0.025591,0.000000,0.000000,0.000000,events/second
1717297140,6,0.022686,0.000000,0.000000,0.000000,events/second
1717297170,6,0.020373,0.000000,0.000000,0.000000,events/second
1717297200,6,0.018489,0.000000,0.000000,0.000000,events/second
1717297230,6,0.016924,0.000000,0.000000,0.000000,events/second
1717299240,6,0.263983,0.000000,0.000000,0.000000,events/second
1717299270,6,0.113662,0.000000,0.000000,0.000000,events/second
1717299300,6,0.072467,0.000000,0.000000,0.000000,events/second
1717299330,6,0.053187,0.000000,0.000000,0.000000,events/second
1717299360,6,0.042011,0.000000,0.000000,0.000000,events/second
1717299390,6,0.034713,0.000000,0.000000,0.000000,events/second
1717299420,6,0.029579,0.000000,0.000000,0.000000,events/second
1717299450,6,0.025767,0.000000,0.000000,0.000000,events/second
1717299480,6,0.022825,0.000000,0.000000,0.000000,events/second
1717299510,6,0.020486,0.000000,0.000000,0.000000,events/second
1717299540,6,0.018582,0.000000,0.000000,0.000000,events/second
1717299570,6,0.017002,0.000000,0.000000,0.000000,events/second
1717299600,6,0.015669,0.000000,0.000000,0.000000,events/second
1717299630,6,0.014530,0.000000,0.000000,0.000000,events/second
1717299660,6,0.013546,0.000000,0.000000,0.000000,events/second
1717299690,6,0.012686,0.000000,0.000000,0.000000,events/second
1717299720,6,0.011929,0.000000,0.000000,0.000000,events/second
1717299750,6,0.011257,0.000000,0.000000,0.000000,events/second
1717299780,6,0.010657,0.000000,0.000000,0.000000,events/second
1717299810,6,0.010118,0.000000,0.000000,0.000000,events/second
1717299840,6,0.009631,0.000000,0.000000,0.000000,events/second
1717299870,6,0.009188,0.000000,0.000000,0.000000,events/second
1717299900,6,0.008784,0.000000,0.000000,0.000000,events/second
1717299930,6,0.008415,0.000000,0.000000,0.000000,events/second
1717299960,6,0.008075,0.000000,0.000000,0.000000,events/second
1717299990,6,0.007761,0.000000,0.000000,0.000000,events/second
1717300020,6,0.007471,0.000000,0.000000,0.000000,events/second
1717300050,6,0.007202,0.000000,0.000000,0.000000,events/second
1717300080,6,0.006951,0.000000,0.000000,0.000000,events/second
1717300110,6,0.006718,0.000000,0.000000,0.000000,events/second
1717300140,6,0.006500,0.000000,0.000000,0.000000,events/second
1717300170,6,0.006295,0.000000,0.000000,0.000000,events/second
1717300200,6,0.006103,0.000000,0.000000,0.000000,events/second
1717300230,6,0.005922,0.000000,0.000000,0.000000,events/second
1717300260,6,0.005752,0.000000,0.000000,0.000000,events/second
1717300290,6,0.005591,0.000000,0.000000,0.000000,events/second
1717300320,6,0.005439,0.000000,0.000000,0.000000,events/second
1717300350,6,0.005295,0.000000,0.000000,0.000000,events/second
1717300380,6,0.005158,0.000000,0.000000,0.000000,events/second
1717300410,6,0.005028,0.000000,0.000000,0.000000,events/second
1717300440,6,0.004905,0.000000,0.000000,0.000000,events/second
1717300470,6,0.004788,0.000000,0.000000,0.000000,events/second
1717300500,6,0.004676,0.000000,0.000000,0.000000,events/second
1717300530,6,0.004569,0.000000,0.000000,0.000000,events/second
1717300560,6,0.004467,0.000000,0.000000,0.000000,events/second
1717300590,6,0.004369,0.000000,0.000000,0.000000,events/second
1717300620,6,0.004276,0.000000,0.000000,0.000000,events/second
1717300650,6,0.004186,0.000000,0.000000,0.000000,events/second
1717300680,6,0.004100,0.000000,0.000000,0.000000,events/second
1717300710,6,0.004018,0.000000,0.000000,0.000000,events/second
1717300741,6,0.003939,0.000000,0.000000,0.000000,events/second
1717300771,6,0.003863,0.000000,0.000000,0.000000,events/second
1717300801,6,0.003789,0.000000,0.000000,0.000000,events/second
1717300831,6,0.003719,0.000000,0.000000,0.000000,events/second
1717300861,6,0.003651,0.000000,0.000000,0.000000,events/second
1717300891,6,0.003585,0.000000,0.000000,0.000000,events/second
1717300921,6,0.003522,0.000000,0.000000,0.000000,events/second
