t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,116,4.787942,0.000000,0.000000,0.000000,events/second
1717296930,116,2.135667,0.000000,0.000000,0.000000,events/second
1717296960,116,1.375266,0.000000,0.000000,0.000000,events/second
1717296990,118,1.031734,0.000000,0.000000,0.000000,events/second
1717297020,120,0.831124,0.000000,0.000000,0.000000,events/second
1717297050,124,0.711012,0.000000,0.000000,0.000000,events/second
1717297080,126,0.616359,0.000000,0.000000,0.000000,events/second
1717297110,134,0.571531,0.000000,0.000000,0.000000,events/second
1717297140,136,0.514230,0.000000,0.000000,0.000000,events/second
1717297170,140,0.475387,0.000000,0.000000,0.000000,events/second
1717297200,142,0.437585,0.000000,0.000000,0.000000,events/second
1717297230,144,0.406185,0.000000,0.000000,0.000000,events/second
1717299240,15,0.659840,0.000000,0.000000,0.000000,events/second
1717299270,17,0.322052,0.000000,0.000000,0.000000,events/second
1717299300,21,0.253640,0.000000,0.000000,0.000000,events/second
1717299330,23,0.203886,0.000000,0.000000,0.000000,events/second
1717299360,27,0.189053,0.000000,0.000000,0.000000,events/second
1717299390,29,0.167782,0.000000,0.000000,0.000000,events/second
1717299420,33,0.162684,0.000000,0.000000,0.000000,events/second
1717299450,35,0.150311,0.000000,0.000000,0.000000,events/second
1717299480,39,0.148366,0.000000,0.000000,0.000000,events/second
1717299510,41,0.139990,0.000000,0.000000,0.000000,events/second
1717299540,45,0.139366,0.000000,0.000000,0.000000,events/second
1717299570,49,0.138847,0.000000,0.000000,0.000000,events/second
1717299600,53,0.138412,0.000000,0.000000,0.000000,events/second
1717299630,57,0.138039,0.000000,0.000000,0.000000,events/second
1717299660,61,0.137718,0.000000,0.000000,0.000000,events/second
1717299690,63,0.133205,0.000000,0.000000,0.000000,events/second
1717299720,67,0.133206,0.000000,0.000000,0.000000,events/second
1717299750,69,0.129458,0.000000,0.000000,0.000000,events/second
1717299780,73,0.129663,0.000000,0.000000,0.000000,events/second
1717299810,75,0.126475,0.000000,0.000000,0.000000,events/second
1717299840,87,0.139644,0.000000,0.000000,0.000000,events/second
1717299870,90,0.137821,0.000000,0.000000,0.000000,events/second
1717299900,94,0.137622,0.000000,0.000000,0.000000,events/second
1717299930,98,0.137438,0.000000,0.000000,0.000000,events/second
1717299960,104,0.139961,0.000000,0.000000,0.000000,events/second
1717299990,106,0.137115,0.000000,0.000000,0.000000,events/second
1717300020,110,0.136971,0.000000,0.000000,0.000000,events/second
1717300050,112,0.134437,0.000000,0.000000,0.000000,events/second
1717300080,116,0.134396,0.000000,0.000000,0.000000,events/second
1717300110,118,0.132120,0.000000,0.000000,0.000000,events/second
1717300140,122,0.132157,0.000000,0.000000,0.000000,events/second
1717300170,124,0.130095,0.000000,0.000000,0.000000,events/second
1717300200,128,0.130193,0.000000,0.000000,0.000000,events/second
1717300230,130,0.128310,0.000000,0.000000,0.000000,events/second
1717300260,134,0.128454,0.000000,0.000000,0.000000,events/second
1717300290,136,0.126725,0.000000,0.000000,0.000000,events/second
1717300320,140,0.126903,0.000000,0.000000,0.000000,events/second
1717300350,142,0.125306,0.000000,0.000000,0.000000,events/second
1717300380,146,0.125513,0.000000,0.000000,0.000000,events/second
1717300410,148,0.124032,0.000000,0.000000,0.000000,events/second
1717300440,162,0.132434,0.000000,0.000000,0.000000,events/second
1717300470,164,0.130859,0.000000,0.000000,0.000000,events/second
1717300500,168,0.130916,0.000000,0.000000,0.000000,events/second
1717300530,170,0.129447,0.000000,0.000000,0.000000,events/second
1717300560,174,0.129534,0.000000,0.000000,0.000000,events/second
1717300590,176,0.128159,0.000000,0.000000,0.000000,events/second
1717300620,180,0.128269,0.000000,0.000000,0.000000,events/second
1717300650,182,0.126979,0.000000,0.000000,0.000000,events/second
1717300680,186,0.127107,0.000000,0.000000,0.000000,events/second
1717300710,188,0.125892,0.000000,0.000000,0.000000,events/second
1717300741,192,0.126037,0.000000,0.000000,0.000000,events/second
1717300771,194,0.124889,0.000000,0.000000,0.000000,events/second
1717300801,198,0.125048,0.000000,0.000000,0.000000,events/second
1717300831,200,0.123962,0.000000,0.000000,0.000000,events/second
1717300861,204,0.124132,0.000000,0.000000,0.000000,events/second
1717300891,206,0.123100,0.000000,0.000000,0.000000,events/second
1717300921,210,0.123280,0.000000,0.000000,0.000000,events/second
1717300951,212,0.122300,0.000000,0.000000,0.000000,events/second
1717300981,216,0.122487,0.000000,0.000000,0.000000,events/second
1717301011,218,0.121553,0.000000,0.000000,0.000000,events/second
1717301041,232,0.127230,0.000000,0.000000,0.000000,events/second
1717301071,234,0.126249,0.000000,0.000000,0.000000,events/second
1717301101,238,0.126361,0.000000,0.000000,0.000000,events/second
1717301131,240,0.125425,0.000000,0.000000,0.000000,events/second
1717301161,244,0.125547,0.000000,0.000000,0.000000,events/second
1717301191,246,0.124651,0.000000,0.000000,0.000000,events/second
1717301221,250,0.124780,0.000000,0.000000,0.000000,events/second
1717301251,252,0.123922,0.000000,0.000000,0.000000,events/second
1717301281,257,0.124543,0.000000,0.000000,0.000000,events/second
1717301311,259,0.123713,0.000000,0.000000,0.000000,events/second
1717301341,263,0.123848,0.000000,0.000000,0.000000,events/second
1717301371,265,0.123051,0.000000,0.000000,0.000000,events/second
1717301401,269,0.123192,0.000000,0.000000,0.000000,events/second
1717301431,273,0.123328,0.000000,0.000000,0.000000,events/second
1717301461,277,0.123461,0.000000,0.000000,0.000000,events/second
1717301491,279,0.122710,0.000000,0.000000,0.000000,events/second
1717301521,283,0.122848,0.000000,0.000000,0.000000,events/second
1717301551,285,0.122124,0.000000,0.000000,0.000000,events/second
1717301581,289,0.122266,0.000000,0.000000,0.000000,events/second
1717301611,291,0.121569,0.000000,0.000000,0.000000,events/second
1717301641,303,0.125015,0.000000,0.000000,0.000000,events/second
1717301671,305,0.124301,0.000000,0.000000,0.000000,events/second
1717301701,309,0.124410,0.000000,0.000000,0.000000,events/second
1717301731,311,0.123720,0.000000,0.000000,0.000000,events/second
1717301761,315,0.123834,0.000000,0.000000,0.000000,events/second
1717301791,317,0.123167,0.000000,0.000000,0.000000,events/second
1717301821,321,0.123283,0.000000,0.000000,0.000000,events/second
1717301851,323,0.122638,0.000000,0.000000,0.000000,events/second
1717301881,327,0.122758,0.000000,0.000000,0.000000,events/second
1717301911,329,0.122133,0.000000,0.000000,0.000000,events/second
1717301941,333,0.122255,0.000000,0.000000,0.000000,events/second
1717301971,335,0.121649,0.000000,0.000000,0.000000,events/second
1717302001,339,0.121774,0.000000,0.000000,0.000000,events/second
1717302031,341,0.121186,0.000000,0.000000,0.000000,events/second
1717302061,345,0.121314,0.000000,0.000000,0.000000,events/second
1717302091,347,0.120743,0.000000,0.000000,0.000000,events/second
1717302121,351,0.120873,0.000000,0.000000,0.000000,events/second
1717302151,353,0.120318,0.000000,0.000000,0.000000,events/second
1717302181,357,0.120449,0.000000,0.000000,0.000000,events/second
1717302211,359,0.119910,0.000000,0.000000,0.000000,events/second
1717302241,373,0.123350,0.000000,0.000000,0.000000,events/second
1717302271,375,0.122793,0.000000,0.000000,0.000000,events/second
1717302301,379,0.122894,0.000000,0.000000,0.000000,events/second
1717302331,381,0.122352,0.000000,0.000000,0.000000,events/second
1717302361,385,0.122455,0.000000,0.000000,0.000000,events/second
1717302391,387,0.121927,0.000000,0.000000,0.000000,events/second
1717302421,391,0.122034,0.000000,0.000000,0.000000,events/second
1717302451,393,0.121519,0.000000,0.000000,0.000000,events/second
1717302481,397,0.121627,0.000000,0.000000,0.000000,events/second
1717302511,399,0.121126,0.000000,0.000000,0.000000,events/second
1717302541,403,0.121235,0.000000,0.000000,0.000000,events/second
1717302571,405,0.120747,0.000000,0.000000,0.000000,events/second
1717302601,409,0.120858,0.000000,0.000000,0.000000,events/second
1717302631,411,0.120381,0.000000,0.000000,0.000000,events/second
1717302661,415,0.120493,0.000000,0.000000,0.000000,events/second
1717302691,417,0.120028,0.000000,0.000000,0.000000,events/second
1717302721,421,0.120141,0.000000,0.000000,0.000000,events/second
1717302751,423,0.119687,0.000000,0.000000,0.000000,events/second
