t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,3,0.133814,0.000000,0.000000,0.000000,events/second
1717296930,3,0.057143,0.000000,0.000000,0.000000,events/second
1717296960,3,0.036350,0.000000,0.000000,0.000000,events/second
1717296990,4,0.035539,0.000000,0.000000,0.000000,events/second
1717297020,14,0.098200,0.000000,0.000000,0.000000,events/second
1717297050,15,0.086915,0.000000,0.000000,0.000000,events/second
1717297080,15,0.074034,0.000000,0.000000,0.000000,events/second
1717297110,17,0.073074,0.000000,0.000000,0.000000,events/second
1717297140,17,0.064723,0.000000,0.000000,0.000000,events/second
1717297170,17,0.058084,0.000000,0.000000,0.000000,events/second
1717297200,17,0.052682,0.000000,0.000000,0.000000,events/second
1717297230,24,0.068046,0.000000,0.000000,0.000000,events/second
1717299240,5,0.222551,0.000000,0.000000,0.000000,events/second
1717299270,5,0.095213,0.000000,0.000000,0.000000,events/second
1717299300,6,0.072708,0.000000,0.000000,0.000000,events/second
1717299330,6,0.053316,0.000000,0.000000,0.000000,events/second
1717299360,6,0.042092,0.000000,0.000000,0.000000,events/second
1717299390,6,0.034768,0.000000,0.000000,0.000000,events/second
1717299420,6,0.029619,0.000000,0.000000,0.000000,events/second
1717299450,6,0.025798,0.000000,0.000000,0.000000,events/second
1717299480,6,0.022849,0.000000,0.000000,0.000000,events/second
1717299510,6,0.020505,0.000000,0.000000,0.000000,events/second
1717299540,6,0.018598,0.000000,0.000000,0.000000,events/second
1717299570,7,0.019851,0.000000,0.000000,0.000000,events/second
1717299600,7,0.018294,0.000000,0.000000,0.000000,events/second
1717299630,8,0.019387,0.000000,0.000000,0.000000,events/second
1717299660,8,0.018072,0.000000,0.000000,0.000000,events/second
1717299690,8,0.016925,0.000000,0.000000,0.000000,events/second
1717299720,8,0.015914,0.000000,0.000000,0.000000,events/second
1717299750,8,0.015017,0.000000,0.000000,0.000000,events/second
1717299780,8,0.014217,0.000000,0.000000,0.000000,events/second
1717299810,8,0.013497,0.000000,0.000000,0.000000,events/second
1717299840,8,0.012846,0.000000,0.000000,0.000000,events/second
1717299870,8,0.012256,0.000000,0.000000,0.000000,events/second
1717299900,11,0.016111,0.000000,0.000000,0.000000,events/second
1717299930,13,0.018239,0.000000,0.000000,0.000000,events/second
1717299960,13,0.017502,0.000000,0.000000,0.000000,events/second
1717299990,13,0.016822,0.000000,0.000000,0.000000,events/second
1717300020,13,0.016193,0.000000,0.000000,0.000000,events/second
1717300050,13,0.015609,0.000000,0.000000,0.000000,events/second
1717300080,13,0.015066,0.000000,0.000000,0.000000,events/second
1717300110,13,0.014560,0.000000,0.000000,0.000000,events/second
1717300140,13,0.014087,0.000000,0.000000,0.000000,events/second
1717300170,13,0.013643,0.000000,0.000000,0.000000,events/second
1717300200,13,0.013226,0.000000,0.000000,0.000000,events/second
1717300230,13,0.012834,0.000000,0.000000,0.000000,events/second
1717300260,13,0.012465,0.000000,0.000000,0.000000,events/second
