t,value
1717296900,0
1717296930,0
1717296960,0
1717296990,7
1717297020,6
1717297050,6
1717297080,6
1717297110,7
1717297140,7
1717297170,7
1717297200,7
1717297230,0
1717299240,8
1717299270,8
1717299300,8
1717299330,8
1717299360,8
1717299390,8
1717299420,8
1717299450,8
1717299480,8
1717299510,8
1717299540,8
1717299570,8
1717299600,8
1717299630,8
1717299660,8
1717299690,8
1717299720,8
1717299750,8
1717299780,8
1717299810,8
1717299840,8
1717299870,8
1717299900,8
1717299930,8
1717299960,8
1717299990,9
1717300020,9
1717300050,9
1717300080,9
1717300110,9
1717300140,9
1717300170,9
1717300200,9
1717300230,9
1717300260,9
1717300290,9
1717300320,9
1717300350,9
1717300380,9
1717300410,9
1717300440,9
1717300470,9
1717300500,9
1717300530,9
1717300560,9
1717300590,9
1717300620,9
1717300650,9
1717300680,9
1717300710,9
1717300741,9
1717300771,9
1717300801,9
1717300831,9
1717300861,9
1717300891,9
1717300921,9
1717300951,9
1717300981,9
1717301011,9
1717301041,9
1717301071,9
1717301101,9
1717301131,9
1717301161,9
1717301191,9
1717301221,9
1717301251,9
1717301281,9
1717301311,9
1717301341,9
1717301371,9
1717301401,9
1717301431,9
1717301461,9
1717301491,9
1717301521,9
1717301551,9
1717301581,9
1717301611,9
1717301641,9
1717301671,9
1717301701,9
1717301731,9
1717301761,9
1717301791,9
1717301821,9
1717301851,9
1717301881,9
1717301911,9
1717301941,9
1717301971,9
1717302001,9
1717302031,9
1717302061,9
1717302091,9
1717302121,9
1717302151,9
1717302181,9
1717302211,9
1717302241,9
1717302271,9
1717302301,9
1717302331,9
1717302361,9
1717302391,9
1717302421,9
1717302451,9
1717302481,9
1717302511,9
1717302541,9
1717302571,9
1717302601,9
1717302631,9
1717302661,9
1717302691,9
1717302721,9
1717302751,9
1717302781,9
1717302811,9
1717302841,7
1717302871,7
1717302901,7
1717302931,7
1717302961,7
1717302991,7
1717303021,7
1717303051,7
1717303082,7
1717303112,7
1717303142,7
1717303172,7
1717303202,7
1717303232,7
1717303262,7
1717303292,7
1717303322,7
1717303352,7
1717303382,7
1717303412,7
1717303442,7
1717303472,7
1717303502,7
1717303532,7
1717303562,7
1717303592,7
1717303622,7
1717303652,7
1717303682,7
1717303712,7
1717303742,7
1717303772,7
1717303802,7
1717303832,7
1717303862,7
1717303892,7
1717303922,7
1717303952,7
1717303982,7
1717304012,7
1717304042,7
1717304072,7
1717304102,7
1717304132,7
1717304162,7
1717304192,7
1717304222,7
1717304252,7
1717304282,7
1717304312,7
1717304342,7
1717304372,7
1717304402,7
1717304432,7
1717304462,7
1717304492,7
1717304522,7
1717304552,7
1717304582,7
1717304612,7
1717304642,7
1717304672,7
1717304702,7
1717304732,7
1717304762,7
1717304792,7
1717304822,7
1717304852,7
1717304882,7
1717304912,7
1717304942,7
1717304972,7
1717305002,7
1717305032,6
1717305062,6
1717305092,6
1717305122,6
1717305152,6
1717305182,6
1717305212,6
1717305242,0
1717305272,0
1717305302,0
1717305332,0
1717305362,0
1717305392,0
1717305422,0
1717305452,0
1717305482,0
1717305512,0
1717305542,0
1717305572,0
1717305602,0
1717305632,0
1717305662,0
1717305692,0
1717305722,0
1717305752,0
1717305783,0
1717305813,0
1717305843,0
1717305873,0
1717305903,0
1717305933,0
1717305963,0
1717305993,0
