t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,3,0.133783,0.000000,0.000000,0.000000,events/second
1717296930,3,0.057142,0.000000,0.000000,0.000000,events/second
1717296960,3,0.036350,0.000000,0.000000,0.000000,events/second
1717296990,11,0.097731,0.000000,0.000000,0.000000,events/second
1717297020,20,0.140286,0.000000,0.000000,0.000000,events/second
1717297050,21,0.121681,0.000000,0.000000,0.000000,events/second
1717297080,21,0.103647,0.000000,0.000000,0.000000,events/second
1717297110,24,0.103163,0.000000,0.000000,0.000000,events/second
1717297140,24,0.091374,0.000000,0.000000,0.000000,events/second
1717297170,24,0.082001,0.000000,0.000000,0.000000,events/second
1717297200,24,0.074374,0.000000,0.000000,0.000000,events/second
1717297230,24,0.068046,0.000000,0.000000,0.000000,events/second
1717299240,13,0.578514,0.000000,0.000000,0.000000,events/second
1717299270,14,0.266593,0.000000,0.000000,0.000000,events/second
1717299300,14,0.169651,0.000000,0.000000,0.000000,events/second
1717299330,14,0.124405,0.000000,0.000000,0.000000,events/second
1717299360,14,0.098215,0.000000,0.000000,0.000000,events/second
1717299390,14,0.081126,0.000000,0.000000,0.000000,events/second
1717299420,14,0.069110,0.000000,0.000000,0.000000,events/second
1717299450,14,0.060195,0.000000,0.000000,0.000000,events/second
1717299480,14,0.053315,0.000000,0.000000,0.000000,events/second
1717299510,14,0.047846,0.000000,0.000000,0.000000,events/second
1717299540,14,0.043395,0.000000,0.000000,0.000000,events/second
1717299570,15,0.042537,0.000000,0.000000,0.000000,events/second
1717299600,15,0.039201,0.000000,0.000000,0.000000,events/second
1717299630,16,0.038773,0.000000,0.000000,0.000000,events/second
1717299660,16,0.036145,0.000000,0.000000,0.000000,events/second
1717299690,16,0.033849,0.000000,0.000000,0.000000,events/second
1717299720,16,0.031828,0.000000,0.000000,0.000000,events/second
1717299750,16,0.030035,0.000000,0.000000,0.000000,events/second
1717299780,16,0.028433,0.000000,0.000000,0.000000,events/second
1717299810,16,0.026994,0.000000,0.000000,0.000000,events/second
1717299840,16,0.025693,0.000000,0.000000,0.000000,events/second
1717299870,17,0.026044,0.000000,0.000000,0.000000,events/second
1717299900,19,0.027828,0.000000,0.000000,0.000000,events/second
1717299930,21,0.029462,0.000000,0.000000,0.000000,events/second
1717299960,21,0.028272,0.000000,0.000000,0.000000,events/second
1717299990,22,0.028468,0.000000,0.000000,0.000000,events/second
1717300020,22,0.027403,0.000000,0.000000,0.000000,events/second
1717300050,22,0.026416,0.000000,0.000000,0.000000,events/second
1717300080,22,0.025497,0.000000,0.000000,0.000000,events/second
1717300110,22,0.024640,0.000000,0.000000,0.000000,events/second
1717300140,22,0.023839,0.000000,0.000000,0.000000,events/second
1717300170,22,0.023088,0.000000,0.000000,0.000000,events/second
1717300200,22,0.022383,0.000000,0.000000,0.000000,events/second
1717300230,22,0.021720,0.000000,0.000000,0.000000,events/second
1717300260,22,0.021095,0.000000,0.000000,0.000000,events/second
1717300290,22,0.020505,0.000000,0.000000,0.000000,events/second
1717300320,22,0.019947,0.000000,0.000000,0.000000,events/second
1717300350,22,0.019418,0.000000,0.000000,0.000000,events/second
1717300380,23,0.019777,0.000000,0.000000,0.000000,events/second
1717300410,25,0.020956,0.000000,0.000000,0.000000,events/second
1717300440,25,0.020442,0.000000,0.000000,0.000000,events/second
1717300470,25,0.019952,0.000000,0.000000,0.000000,events/second
1717300500,25,0.019486,0.000000,0.000000,0.000000,events/second
1717300530,25,0.019040,0.000000,0.000000,0.000000,events/second
1717300560,25,0.018615,0.000000,0.000000,0.000000,events/second
1717300590,25,0.018208,0.000000,0.000000,0.000000,events/second
1717300620,25,0.017819,0.000000,0.000000,0.000000,events/second
1717300650,25,0.017445,0.000000,0.000000,0.000000,events/second
1717300680,25,0.017088,0.000000,0.000000,0.000000,events/second
1717300710,25,0.016744,0.000000,0.000000,0.000000,events/second
1717300741,25,0.016414,0.000000,0.000000,0.000000,events/second
1717300771,25,0.016097,0.000000,0.000000,0.000000,events/second
1717300801,25,0.015792,0.000000,0.000000,0.000000,events/second
1717300831,25,0.015498,0.000000,0.000000,0.000000,events/second
1717300861,25,0.015215,0.000000,0.000000,0.000000,events/second
1717300891,25,0.014942,0.000000,0.000000,0.000000,events/second
1717300921,25,0.014679,0.000000,0.000000,0.000000,events/second
1717300951,25,0.014424,0.000000,0.000000,0.000000,events/second
1717300981,25,0.014179,0.000000,0.000000,0.000000,events/second
1717301011,25,0.013942,0.000000,0.000000,0.000000,events/second
1717301041,25,0.013712,0.000000,0.000000,0.000000,events/second
1717301071,25,0.013490,0.000000,0.000000,0.000000,events/second
1717301101,25,0.013275,0.000000,0.000000,0.000000,events/second
1717301131,25,0.013067,0.000000,0.000000,0.000000,events/second
1717301161,25,0.012865,0.000000,0.000000,0.000000,events/second
1717301191,25,0.012669,0.000000,0.000000,0.000000,events/second
1717301221,25,0.012480,0.000000,0.000000,0.000000,events/second
1717301251,25,0.012296,0.000000,0.000000,0.000000,events/second
1717301281,26,0.012601,0.000000,0.000000,0.000000,events/second
1717301311,26,0.012421,0.000000,0.000000,0.000000,events/second
1717301341,26,0.012245,0.000000,0.000000,0.000000,events/second
