t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,24,1.069950,0.000000,0.000000,0.000000,events/second
1717296930,24,0.457153,0.000000,0.000000,0.000000,events/second
1717296960,24,0.290806,0.000000,0.000000,0.000000,events/second
1717296990,74,0.657472,0.000000,0.000000,0.000000,events/second
1717297020,124,0.869782,0.000000,0.000000,0.000000,events/second
1717297050,165,0.956073,0.000000,0.000000,0.000000,events/second
1717297080,185,0.913091,0.000000,0.000000,0.000000,events/second
1717297110,1413,6.073760,0.000000,0.000000,0.000000,events/second
1717297140,1441,5.486288,0.000000,0.000000,0.000000,events/second
1717297170,1497,5.114825,0.000000,0.000000,0.000000,events/second
1717297200,1525,4.725902,0.000000,0.000000,0.000000,events/second
1717297230,1553,4.403180,0.000000,0.000000,0.000000,events/second
1717299240,217,9.654780,0.000000,0.000000,0.000000,events/second
1717299270,302,5.750934,0.000000,0.000000,0.000000,events/second
1717299300,21798,264.150777,0.000000,0.000000,0.000000,events/second
1717299330,21826,193.948978,0.000000,0.000000,0.000000,events/second
1717299360,21882,153.510834,0.000000,0.000000,0.000000,events/second
1717299390,21910,126.963290,0.000000,0.000000,0.000000,events/second
1717299420,21966,108.434774,0.000000,0.000000,0.000000,events/second
1717299450,21994,94.566329,0.000000,0.000000,0.000000,events/second
1717299480,22050,83.971344,0.000000,0.000000,0.000000,events/second
1717299510,22078,75.453381,0.000000,0.000000,0.000000,events/second
1717299540,22142,68.632579,0.000000,0.000000,0.000000,events/second
1717299570,22855,64.812431,0.000000,0.000000,0.000000,events/second
1717299600,22923,59.907128,0.000000,0.000000,0.000000,events/second
1717299630,23682,57.389660,0.000000,0.000000,0.000000,events/second
1717299660,23738,53.625671,0.000000,0.000000,0.000000,events/second
1717299690,23766,50.279153,0.000000,0.000000,0.000000,events/second
1717299720,23822,47.387394,0.000000,0.000000,0.000000,events/second
1717299750,23850,44.770297,0.000000,0.000000,0.000000,events/second
1717299780,23906,42.482639,0.000000,0.000000,0.000000,events/second
1717299810,23934,40.379344,0.000000,0.000000,0.000000,events/second
1717299840,23990,38.523394,0.000000,0.000000,0.000000,events/second
1717299870,30689,47.014971,0.000000,0.000000,0.000000,events/second
1717299900,40575,59.428230,0.000000,0.000000,0.000000,events/second
1717299930,42025,58.959716,0.000000,0.000000,0.000000,events/second
1717299960,42130,56.718704,0.000000,0.000000,0.000000,events/second
1717299990,42159,54.553438,0.000000,0.000000,0.000000,events/second
1717300020,42217,52.586060,0.000000,0.000000,0.000000,events/second
1717300050,42245,50.724467,0.000000,0.000000,0.000000,events/second
1717300080,42303,49.027142,0.000000,0.000000,0.000000,events/second
1717300110,42347,47.428702,0.000000,0.000000,0.000000,events/second
1717300140,42403,45.946996,0.000000,0.000000,0.000000,events/second
1717300170,42431,44.529518,0.000000,0.000000,0.000000,events/second
1717300200,42487,43.227075,0.000000,0.000000,0.000000,events/second
1717300230,42515,41.973733,0.000000,0.000000,0.000000,events/second
1717300260,42573,40.821614,0.000000,0.000000,0.000000,events/second
1717300290,42601,39.705744,0.000000,0.000000,0.000000,events/second
1717300320,42657,38.675943,0.000000,0.000000,0.000000,events/second
1717300350,42685,37.676041,0.000000,0.000000,0.000000,events/second
1717300380,42800,36.802850,0.000000,0.000000,0.000000,events/second
1717300410,42833,35.904654,0.000000,0.000000,0.000000,events/second
1717300440,42891,35.070903,0.000000,0.000000,0.000000,events/second
1717300470,42919,34.253460,0.000000,0.000000,0.000000,events/second
1717300500,42975,33.495902,0.000000,0.000000,0.000000,events/second
1717300530,43003,32.751687,0.000000,0.000000,0.000000,events/second
1717300560,43067,32.067603,0.000000,0.000000,0.000000,events/second
1717300590,43095,31.387069,0.000000,0.000000,0.000000,events/second
1717300620,43159,30.761401,0.000000,0.000000,0.000000,events/second
1717300650,43187,30.136657,0.000000,0.000000,0.000000,events/second
1717300680,43247,29.559370,0.000000,0.000000,0.000000,events/second
1717300710,43275,28.983949,0.000000,0.000000,0.000000,events/second
1717300741,43331,28.449509,0.000000,0.000000,0.000000,events/second
1717300771,43359,27.917629,0.000000,0.000000,0.000000,events/second
1717300801,43415,27.423747,0.000000,0.000000,0.000000,events/second
1717300831,43443,26.930927,0.000000,0.000000,0.000000,events/second
1717300861,43499,26.473091,0.000000,0.000000,0.000000,events/second
1717300891,43527,26.014867,0.000000,0.000000,0.000000,events/second
1717300921,43583,25.589472,0.000000,0.000000,0.000000,events/second
1717300951,43615,25.164873,0.000000,0.000000,0.000000,events/second
1717300981,43671,24.768396,0.000000,0.000000,0.000000,events/second
1717301011,43699,24.369554,0.000000,0.000000,0.000000,events/second
1717301041,43755,23.999053,0.000000,0.000000,0.000000,events/second
1717301071,43783,23.625610,0.000000,0.000000,0.000000,events/second
1717301101,43841,23.279901,0.000000,0.000000,0.000000,events/second
1717301131,43869,22.929351,0.000000,0.000000,0.000000,events/second
1717301161,43925,22.604126,0.000000,0.000000,0.000000,events/second
1717301191,43953,22.274509,0.000000,0.000000,0.000000,events/second
1717301221,44009,21.968737,0.000000,0.000000,0.000000,events/second
1717301251,44037,21.658335,0.000000,0.000000,0.000000,events/second
1717301281,44094,21.370937,0.000000,0.000000,0.000000,events/second
1717301311,44124,21.078901,0.000000,0.000000,0.000000,events/second
1717301341,44180,20.807334,0.000000,0.000000,0.000000,events/second
1717301371,44212,20.532167,0.000000,0.000000,0.000000,events/second
1717301401,44272,20.277475,0.000000,0.000000,0.000000,events/second
1717301431,44336,20.031295,0.000000,0.000000,0.000000,events/second
1717301461,44392,19.788239,0.000000,0.000000,0.000000,events/second
1717301491,44420,19.539210,0.000000,0.000000,0.000000,events/second
1717301521,44476,19.308886,0.000000,0.000000,0.000000,events/second
1717301551,44504,19.072456,0.000000,0.000000,0.000000,events/second
1717301581,44564,18.855711,0.000000,0.000000,0.000000,events/second
1717301611,44592,18.630954,0.000000,0.000000,0.000000,events/second
1717301641,44648,18.423406,0.000000,0.000000,0.000000,events/second
1717301671,44676,18.209457,0.000000,0.000000,0.000000,events/second
1717301701,44732,18.012004,0.000000,0.000000,0.000000,events/second
1717301731,44760,17.808124,0.000000,0.000000,0.000000,events/second
1717301761,44816,17.620062,0.000000,0.000000,0.000000,events/second
1717301791,44848,17.427026,0.000000,0.000000,0.000000,events/second
1717301821,44904,17.247608,0.000000,0.000000,0.000000,events/second
1717301851,44932,17.061693,0.000000,0.000000,0.000000,events/second
1717301881,44988,16.890519,0.000000,0.000000,0.000000,events/second
1717301911,45016,16.712712,0.000000,0.000000,0.000000,events/second
1717301941,45072,16.549080,0.000000,0.000000,0.000000,events/second
1717301971,45100,16.378869,0.000000,0.000000,0.000000,events/second
1717302001,45156,16.222383,0.000000,0.000000,0.000000,events/second
1717302031,45184,16.059250,0.000000,0.000000,0.000000,events/second
1717302061,45240,15.909464,0.000000,0.000000,0.000000,events/second
1717302091,45268,15.753096,0.000000,0.000000,0.000000,events/second
1717302121,45324,15.609587,0.000000,0.000000,0.000000,events/second
1717302151,45352,15.459466,0.000000,0.000000,0.000000,events/second
1717302181,45408,15.321780,0.000000,0.000000,0.000000,events/second
1717302211,45436,15.177535,0.000000,0.000000,0.000000,events/second
1717302241,45492,15.045380,0.000000,0.000000,0.000000,events/second
