t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,1679,74.757970,0.000000,0.000000,0.000000,events/second
1717296930,1835,34.937164,0.000000,0.000000,0.000000,events/second
1717296960,2244,27.182413,0.000000,0.000000,0.000000,events/second
1717296990,2430,21.585384,0.000000,0.000000,0.000000,events/second
1717297020,2868,20.113842,0.000000,0.000000,0.000000,events/second
1717297050,3082,17.855811,0.000000,0.000000,0.000000,events/second
1717297080,3520,17.371344,0.000000,0.000000,0.000000,events/second
1717297110,5404,23.226622,0.000000,0.000000,0.000000,events/second
1717297140,5850,22.270552,0.000000,0.000000,0.000000,events/second
1717297170,6064,20.717277,0.000000,0.000000,0.000000,events/second
1717297200,6510,20.172683,0.000000,0.000000,0.000000,events/second
1717297230,6695,18.980870,0.000000,0.000000,0.000000,events/second
1717299240,4855,215.823234,0.000000,0.000000,0.000000,events/second
1717299270,5153,98.096673,0.000000,0.000000,0.000000,events/second
1717299300,44413,538.094070,0.000000,0.000000,0.000000,events/second
1717299330,44607,396.326002,0.000000,0.000000,0.000000,events/second
1717299360,45172,316.862611,0.000000,0.000000,0.000000,events/second
1717299390,45366,262.860127,0.000000,0.000000,0.000000,events/second
1717299420,45931,226.719094,0.000000,0.000000,0.000000,events/second
1717299450,46125,198.306913,0.000000,0.000000,0.000000,events/second
1717299480,46690,177.794808,0.000000,0.000000,0.000000,events/second
1717299510,46884,160.220884,0.000000,0.000000,0.000000,events/second
1717299540,47709,147.873909,0.000000,0.000000,0.000000,events/second
1717299570,49087,139.194872,0.000000,0.000000,0.000000,events/second
1717299600,49655,129.763123,0.000000,0.000000,0.000000,events/second
1717299630,51114,123.861907,0.000000,0.000000,0.000000,events/second
1717299660,51663,116.705689,0.000000,0.000000,0.000000,events/second
1717299690,51848,109.685368,0.000000,0.000000,0.000000,events/second
1717299720,52397,104.226165,0.000000,0.000000,0.000000,events/second
1717299750,52582,98.701835,0.000000,0.000000,0.000000,events/second
1717299780,53131,94.414745,0.000000,0.000000,0.000000,events/second
1717299810,53316,89.947571,0.000000,0.000000,0.000000,events/second
1717299840,53909,86.565342,0.000000,0.000000,0.000000,events/second
1717299870,69420,106.347445,0.000000,0.000000,0.000000,events/second
1717299900,101306,148.374386,0.000000,0.000000,0.000000,events/second
1717299930,106827,149.871356,0.000000,0.000000,0.000000,events/second
1717299960,107470,144.681310,0.000000,0.000000,0.000000,events/second
1717299990,107655,139.301805,0.000000,0.000000,0.000000,events/second
1717300020,108670,135.358022,0.000000,0.000000,0.000000,events/second
1717300050,108855,130.701914,0.000000,0.000000,0.000000,events/second
1717300080,109870,127.331607,0.000000,0.000000,0.000000,events/second
1717300110,110092,123.300921,0.000000,0.000000,0.000000,events/second
1717300140,110669,119.916449,0.000000,0.000000,0.000000,events/second
1717300170,110854,116.334512,0.000000,0.000000,0.000000,events/second
1717300200,111431,113.370096,0.000000,0.000000,0.000000,events/second
1717300230,111616,110.193198,0.000000,0.000000,0.000000,events/second
1717300260,112631,107.995828,0.000000,0.000000,0.000000,events/second
1717300290,112816,105.147163,0.000000,0.000000,0.000000,events/second
1717300320,113393,102.808812,0.000000,0.000000,0.000000,events/second
1717300350,113578,100.248495,0.000000,0.000000,0.000000,events/second
1717300380,114350,98.325846,0.000000,0.000000,0.000000,events/second
1717300410,114535,96.007343,0.000000,0.000000,0.000000,events/second
1717300440,115606,94.526873,0.000000,0.000000,0.000000,events/second
1717300470,115906,92.502836,0.000000,0.000000,0.000000,events/second
1717300500,116525,90.821634,0.000000,0.000000,0.000000,events/second
1717300530,116730,88.902085,0.000000,0.000000,0.000000,events/second
1717300560,117370,87.392395,0.000000,0.000000,0.000000,events/second
1717300590,117575,85.631516,0.000000,0.000000,0.000000,events/second
1717300620,118290,84.309722,0.000000,0.000000,0.000000,events/second
1717300650,118495,82.686966,0.000000,0.000000,0.000000,events/second
1717300680,119151,81.438914,0.000000,0.000000,0.000000,events/second
1717300710,119356,79.939224,0.000000,0.000000,0.000000,events/second
1717300741,119975,78.770230,0.000000,0.000000,0.000000,events/second
1717300771,120180,77.379668,0.000000,0.000000,0.000000,events/second
1717300801,120799,76.303729,0.000000,0.000000,0.000000,events/second
1717300831,121004,75.011313,0.000000,0.000000,0.000000,events/second
1717300861,121623,74.017894,0.000000,0.000000,0.000000,events/second
1717300891,121828,72.812459,0.000000,0.000000,0.000000,events/second
1717300921,122447,71.893254,0.000000,0.000000,0.000000,events/second
1717300951,122755,70.826197,0.000000,0.000000,0.000000,events/second
1717300981,123374,69.972006,0.000000,0.000000,0.000000,events/second
1717301011,123579,68.915475,0.000000,0.000000,0.000000,events/second
1717301041,124222,68.133546,0.000000,0.000000,0.000000,events/second
1717301071,124427,67.141073,0.000000,0.000000,0.000000,events/second
1717301101,125458,66.618555,0.000000,0.000000,0.000000,events/second
1717301131,125663,65.680691,0.000000,0.000000,0.000000,events/second
1717301161,126282,64.985087,0.000000,0.000000,0.000000,events/second
1717301191,126487,64.100568,0.000000,0.000000,0.000000,events/second
1717301221,127106,63.449188,0.000000,0.000000,0.000000,events/second
1717301251,127311,62.613754,0.000000,0.000000,0.000000,events/second
1717301281,127937,62.006434,0.000000,0.000000,0.000000,events/second
1717301311,128642,61.454325,0.000000,0.000000,0.000000,events/second
1717301341,129261,60.877227,0.000000,0.000000,0.000000,events/second
1717301371,129501,60.140138,0.000000,0.000000,0.000000,events/second
1717301401,130153,59.612267,0.000000,0.000000,0.000000,events/second
1717301431,130432,58.929592,0.000000,0.000000,0.000000,events/second
1717301461,131051,58.417045,0.000000,0.000000,0.000000,events/second
1717301491,131256,57.735703,0.000000,0.000000,0.000000,events/second
1717301521,131875,57.252027,0.000000,0.000000,0.000000,events/second
1717301551,132080,56.603274,0.000000,0.000000,0.000000,events/second
1717301581,132736,56.162243,0.000000,0.000000,0.000000,events/second
1717301611,132941,55.543609,0.000000,0.000000,0.000000,events/second
1717301641,133596,55.126244,0.000000,0.000000,0.000000,events/second
1717301671,133801,54.535483,0.000000,0.000000,0.000000,events/second
1717301701,134420,54.125849,0.000000,0.000000,0.000000,events/second
1717301731,134625,53.561281,0.000000,0.000000,0.000000,events/second
1717301761,135244,53.172801,0.000000,0.000000,0.000000,events/second
1717301791,135486,52.646783,0.000000,0.000000,0.000000,events/second
1717301821,136105,52.277543,0.000000,0.000000,0.000000,events/second
1717301851,136310,51.759653,0.000000,0.000000,0.000000,events/second
1717301881,136929,51.408987,0.000000,0.000000,0.000000,events/second
1717301911,137134,50.912274,0.000000,0.000000,0.000000,events/second
1717301941,137753,50.578442,0.000000,0.000000,0.000000,events/second
1717301971,137958,50.101607,0.000000,0.000000,0.000000,events/second
1717302001,138577,49.783767,0.000000,0.000000,0.000000,events/second
1717302031,138782,49.325464,0.000000,0.000000,0.000000,events/second
1717302061,139401,49.022597,0.000000,0.000000,0.000000,events/second
1717302091,139606,48.582090,0.000000,0.000000,0.000000,events/second
1717302121,140225,48.293220,0.000000,0.000000,0.000000,events/second
1717302151,140430,47.869124,0.000000,0.000000,0.000000,events/second
1717302181,141049,47.593150,0.000000,0.000000,0.000000,events/second
1717302211,141254,47.184517,0.000000,0.000000,0.000000,events/second
1717302241,141923,46.937347,0.000000,0.000000,0.000000,events/second
1717302271,142216,46.572089,0.000000,0.000000,0.000000,events/second
1717302301,142857,46.326636,0.000000,0.000000,0.000000,events/second
1717302331,143062,45.945753,0.000000,0.000000,0.000000,events/second
1717302361,143681,45.703810,0.000000,0.000000,0.000000,events/second
1717302391,143886,45.336118,0.000000,0.000000,0.000000,events/second
1717302421,144505,45.104470,0.000000,0.000000,0.000000,events/second
1717302451,144710,44.749158,0.000000,0.000000,0.000000,events/second
1717302481,145329,44.527438,0.000000,0.000000,0.000000,events/second
1717302511,145534,44.183831,0.000000,0.000000,0.000000,events/second
1717302541,146153,43.970926,0.000000,0.000000,0.000000,events/second
1717302571,146358,43.638658,0.000000,0.000000,0.000000,events/second
1717302601,146977,43.434526,0.000000,0.000000,0.000000,events/second
1717302631,147182,43.112543,0.000000,0.000000,0.000000,events/second
1717302661,147801,42.916453,0.000000,0.000000,0.000000,events/second
1717302691,148006,42.604654,0.000000,0.000000,0.000000,events/second
1717302721,148625,42.416289,0.000000,0.000000,0.000000,events/second
1717302751,148830,42.114120,0.000000,0.000000,0.000000,events/second
1717302781,149449,41.933169,0.000000,0.000000,0.000000,events/second
1717302811,149654,41.639987,0.000000,0.000000,0.000000,events/second
1717302841,150296,41.472324,0.000000,0.000000,0.000000,events/second
1717302871,150501,41.187835,0.000000,0.000000,0.000000,events/second
1717302901,151120,41.020209,0.000000,0.000000,0.000000,events/second
1717302931,151325,40.743874,0.000000,0.000000,0.000000,events/second
1717302961,151944,40.582556,0.000000,0.000000,0.000000,events/second
1717302991,152149,40.314202,0.000000,0.000000,0.000000,events/second
1717303021,152768,40.158929,0.000000,0.000000,0.000000,events/second
1717303051,152973,39.898020,0.000000,0.000000,0.000000,events/second
1717303082,153592,39.748368,0.000000,0.000000,0.000000,events/second
1717303112,153797,39.494502,0.000000,0.000000,0.000000,events/second
1717303142,154416,39.350154,0.000000,0.000000,0.000000,events/second
1717303172,154621,39.103394,0.000000,0.000000,0.000000,events/second
1717303202,155240,38.964162,0.000000,0.000000,0.000000,events/second
1717303232,155445,38.723969,0.000000,0.000000,0.000000,events/second
1717303262,156064,38.589738,0.000000,0.000000,0.000000,events/second
1717303292,156269,38.355796,0.000000,0.000000,0.000000,events/second
1717303322,156888,38.226139,0.000000,0.000000,0.000000,events/second
1717303352,157093,37.998278,0.000000,0.000000,0.000000,events/second
1717303382,157712,37.873062,0.000000,0.000000,0.000000,events/second
1717303412,157917,37.651012,0.000000,0.000000,0.000000,events/second
1717303442,158536,37.530005,0.000000,0.000000,0.000000,events/second
1717303472,158785,37.323756,0.000000,0.000000,0.000000,events/second
1717303502,159404,37.206856,0.000000,0.000000,0.000000,events/second
1717303532,159609,36.995566,0.000000,0.000000,0.000000,events/second
1717303562,160228,36.882523,0.000000,0.000000,0.000000,events/second
1717303592,160433,36.676352,0.000000,0.000000,0.000000,events/second
1717303622,161052,36.566973,0.000000,0.000000,0.000000,events/second
1717303652,161257,36.365658,0.000000,0.000000,0.000000,events/second
1717303682,161876,36.259791,0.000000,0.000000,0.000000,events/second
1717303712,162081,36.063240,0.000000,0.000000,0.000000,events/second
1717303742,162700,35.960829,0.000000,0.000000,0.000000,events/second
1717303772,162905,35.768939,0.000000,0.000000,0.000000,events/second
1717303802,163524,35.669823,0.000000,0.000000,0.000000,events/second
1717303832,163729,35.482297,0.000000,0.000000,0.000000,events/second
1717303862,164348,35.386273,0.000000,0.000000,0.000000,events/second
1717303892,164553,35.202944,0.000000,0.000000,0.000000,events/second
1717303922,165172,35.109990,0.000000,0.000000,0.000000,events/second
1717303952,165377,34.930691,0.000000,0.000000,0.000000,events/second
1717303982,165996,34.840548,0.000000,0.000000,0.000000,events/second
1717304012,166201,34.665249,0.000000,0.000000,0.000000,events/second
1717304042,166820,34.577877,0.000000,0.000000,0.000000,events/second
1717304072,167069,34.415416,0.000000,0.000000,0.000000,events/second
1717304102,167688,34.330742,0.000000,0.000000,0.000000,events/second
1717304132,167893,34.162868,0.000000,0.000000,0.000000,events/second
1717304162,168512,34.080684,0.000000,0.000000,0.000000,events/second
1717304192,168717,33.916342,0.000000,0.000000,0.000000,events/second
1717304222,169336,33.836664,0.000000,0.000000,0.000000,events/second
1717304252,169541,33.675685,0.000000,0.000000,0.000000,events/second
1717304282,170160,33.598321,0.000000,0.000000,0.000000,events/second
1717304312,170365,33.440607,0.000000,0.000000,0.000000,events/second
1717304342,170984,33.365560,0.000000,0.000000,0.000000,events/second
1717304372,171189,33.211078,0.000000,0.000000,0.000000,events/second
1717304402,171808,33.138241,0.000000,0.000000,0.000000,events/second
1717304432,172013,32.986883,0.000000,0.000000,0.000000,events/second
1717304462,172632,32.916109,0.000000,0.000000,0.000000,events/second
1717304492,172837,32.767728,0.000000,0.000000,0.000000,events/second
1717304522,173456,32.699024,0.000000,0.000000,0.000000,events/second
1717304552,173661,32.553514,0.000000,0.000000,0.000000,events/second
1717304582,174280,32.486818,0.000000,0.000000,0.000000,events/second
1717304612,174485,32.344124,0.000000,0.000000,0.000000,events/second
1717304642,175078,32.274489,0.000000,0.000000,0.000000,events/second
1717304672,175330,32.143107,0.000000,0.000000,0.000000,events/second
1717304702,175949,32.080092,0.000000,0.000000,0.000000,events/second
1717304732,176154,31.942702,0.000000,0.000000,0.000000,events/second
1717304762,176773,31.881466,0.000000,0.000000,0.000000,events/second
1717304792,176978,31.746590,0.000000,0.000000,0.000000,events/second
1717304822,177597,31.687032,0.000000,0.000000,0.000000,events/second
1717304852,177802,31.554641,0.000000,0.000000,0.000000,events/second
1717304882,178421,31.496772,0.000000,0.000000,0.000000,events/second
1717304912,178626,31.366776,0.000000,0.000000,0.000000,events/second
1717304942,179245,31.310491,0.000000,0.000000,0.000000,events/second
1717304972,179450,31.182814,0.000000,0.000000,0.000000,events/second
1717305002,180069,31.128013,0.000000,0.000000,0.000000,events/second
1717305032,180274,31.002649,0.000000,0.000000,0.000000,events/second
1717305062,180893,30.949398,0.000000,0.000000,0.000000,events/second
1717305092,181098,30.826215,0.000000,0.000000,0.000000,events/second
1717305122,181717,30.774389,0.000000,0.000000,0.000000,events/second
1717305152,181922,30.653289,0.000000,0.000000,0.000000,events/second
1717305182,182541,30.602807,0.000000,0.000000,0.000000,events/second
1717305212,182746,30.483801,0.000000,0.000000,0.000000,events/second
1717305242,183316,30.426535,0.000000,0.000000,0.000000,events/second
1717305272,183472,30.301492,0.000000,0.000000,0.000000,events/second
1717305302,183993,30.237661,0.000000,0.000000,0.000000,events/second
1717305332,184149,30.114808,0.000000,0.000000,0.000000,events/second
1717305362,184670,30.052532,0.000000,0.000000,0.000000,events/second
1717305392,184826,29.931746,0.000000,0.000000,0.000000,events/second
1717305422,185347,29.870938,0.000000,0.000000,0.000000,events/second
1717305452,185503,29.752205,0.000000,0.000000,0.000000,events/second
1717305482,186024,29.692817,0.000000,0.000000,0.000000,events/second
