t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,310,13.798063,0.000000,0.000000,0.000000,events/second
1717296930,310,5.901773,0.000000,0.000000,0.000000,events/second
1717296960,310,3.754971,0.000000,0.000000,0.000000,events/second
1717296990,310,2.753601,0.000000,0.000000,0.000000,events/second
1717297020,310,2.174034,0.000000,0.000000,0.000000,events/second
1717297050,310,1.795971,0.000000,0.000000,0.000000,events/second
1717297080,310,1.529834,0.000000,0.000000,0.000000,events/second
1717297110,318,1.366753,0.000000,0.000000,0.000000,events/second
1717297140,318,1.210588,0.000000,0.000000,0.000000,events/second
1717297170,318,1.086414,0.000000,0.000000,0.000000,events/second
1717297200,318,0.985383,0.000000,0.000000,0.000000,events/second
1717297230,318,0.901547,0.000000,0.000000,0.000000,events/second
1717299240,612,27.199127,0.000000,0.000000,0.000000,events/second
1717299270,614,11.688032,0.000000,0.000000,0.000000,events/second
1717299300,687,8.323224,0.000000,0.000000,0.000000,events/second
1717299330,687,6.103748,0.000000,0.000000,0.000000,events/second
1717299360,687,4.818932,0.000000,0.000000,0.000000,events/second
1717299390,687,3.980565,0.000000,0.000000,0.000000,events/second
1717299420,687,3.391045,0.000000,0.000000,0.000000,events/second
1717299450,687,2.953613,0.000000,0.000000,0.000000,events/second
1717299480,687,2.616061,0.000000,0.000000,0.000000,events/second
1717299510,687,2.347726,0.000000,0.000000,0.000000,events/second
1717299540,687,2.129338,0.000000,0.000000,0.000000,events/second
1717299570,688,1.950932,0.000000,0.000000,0.000000,events/second
1717299600,688,1.797935,0.000000,0.000000,0.000000,events/second
1717299630,689,1.669608,0.000000,0.000000,0.000000,events/second
1717299660,689,1.556429,0.000000,0.000000,0.000000,events/second
1717299690,689,1.457584,0.000000,0.000000,0.000000,events/second
1717299720,689,1.370526,0.000000,0.000000,0.000000,events/second
1717299750,689,1.293318,0.000000,0.000000,0.000000,events/second
1717299780,689,1.224360,0.000000,0.000000,0.000000,events/second
1717299810,689,1.162383,0.000000,0.000000,0.000000,events/second
1717299840,689,1.106370,0.000000,0.000000,0.000000,events/second
1717299870,700,1.072356,0.000000,0.000000,0.000000,events/second
1717299900,714,1.045732,0.000000,0.000000,0.000000,events/second
1717299930,717,1.005901,0.000000,0.000000,0.000000,events/second
1717299960,717,0.965257,0.000000,0.000000,0.000000,events/second
1717299990,717,0.927770,0.000000,0.000000,0.000000,events/second
1717300020,717,0.893084,0.000000,0.000000,0.000000,events/second
1717300050,717,0.860897,0.000000,0.000000,0.000000,events/second
1717300080,717,0.830950,0.000000,0.000000,0.000000,events/second
1717300110,717,0.803024,0.000000,0.000000,0.000000,events/second
1717300140,717,0.776910,0.000000,0.000000,0.000000,events/second
1717300170,717,0.752446,0.000000,0.000000,0.000000,events/second
1717300200,717,0.729475,0.000000,0.000000,0.000000,events/second
1717300230,717,0.707858,0.000000,0.000000,0.000000,events/second
1717300260,717,0.687491,0.000000,0.000000,0.000000,events/second
1717300290,717,0.668259,0.000000,0.000000,0.000000,events/second
1717300320,717,0.650073,0.000000,0.000000,0.000000,events/second
1717300350,717,0.632852,0.000000,0.000000,0.000000,events/second
1717300380,717,0.616524,0.000000,0.000000,0.000000,events/second
1717300410,717,0.601014,0.000000,0.000000,0.000000,events/second
1717300440,717,0.586264,0.000000,0.000000,0.000000,events/second
1717300470,719,0.573822,0.000000,0.000000,0.000000,events/second
1717300500,719,0.560400,0.000000,0.000000,0.000000,events/second
1717300530,719,0.547593,0.000000,0.000000,0.000000,events/second
1717300560,719,0.535358,0.000000,0.000000,0.000000,events/second
1717300590,719,0.523657,0.000000,0.000000,0.000000,events/second
1717300620,719,0.512457,0.000000,0.000000,0.000000,events/second
1717300650,719,0.501724,0.000000,0.000000,0.000000,events/second
1717300680,719,0.491431,0.000000,0.000000,0.000000,events/second
1717300710,719,0.481553,0.000000,0.000000,0.000000,events/second
1717300741,719,0.472063,0.000000,0.000000,0.000000,events/second
1717300771,719,0.462938,0.000000,0.000000,0.000000,events/second
1717300801,719,0.454162,0.000000,0.000000,0.000000,events/second
1717300831,719,0.445713,0.000000,0.000000,0.000000,events/second
1717300861,719,0.437572,0.000000,0.000000,0.000000,events/second
1717300891,719,0.429721,0.000000,0.000000,0.000000,events/second
1717300921,719,0.422151,0.000000,0.000000,0.000000,events/second
1717300951,719,0.414842,0.000000,0.000000,0.000000,events/second
1717300981,719,0.407783,0.000000,0.000000,0.000000,events/second
1717301011,719,0.400959,0.000000,0.000000,0.000000,events/second
1717301041,719,0.394358,0.000000,0.000000,0.000000,events/second
1717301071,719,0.387973,0.000000,0.000000,0.000000,events/second
1717301101,719,0.381791,0.000000,0.000000,0.000000,events/second
1717301131,719,0.375802,0.000000,0.000000,0.000000,events/second
1717301161,719,0.369999,0.000000,0.000000,0.000000,events/second
1717301191,719,0.364371,0.000000,0.000000,0.000000,events/second
1717301221,719,0.358912,0.000000,0.000000,0.000000,events/second
1717301251,719,0.353616,0.000000,0.000000,0.000000,events/second
1717301281,719,0.348473,0.000000,0.000000,0.000000,events/second
1717301311,719,0.343477,0.000000,0.000000,0.000000,events/second
1717301341,719,0.338622,0.000000,0.000000,0.000000,events/second
1717301371,719,0.333903,0.000000,0.000000,0.000000,events/second
1717301401,719,0.329314,0.000000,0.000000,0.000000,events/second
1717301431,719,0.324846,0.000000,0.000000,0.000000,events/second
1717301461,719,0.320500,0.000000,0.000000,0.000000,events/second
1717301491,719,0.316267,0.000000,0.000000,0.000000,events/second
1717301521,719,0.312145,0.000000,0.000000,0.000000,events/second
1717301551,719,0.308129,0.000000,0.000000,0.000000,events/second
1717301581,719,0.304217,0.000000,0.000000,0.000000,events/second
1717301611,719,0.300403,0.000000,0.000000,0.000000,events/second
1717301641,719,0.296684,0.000000,0.000000,0.000000,events/second
1717301671,719,0.293054,0.000000,0.000000,0.000000,events/second
1717301701,719,0.289514,0.000000,0.000000,0.000000,events/second
1717301731,719,0.286058,0.000000,0.000000,0.000000,events/second
1717301761,719,0.282683,0.000000,0.000000,0.000000,events/second
1717301791,719,0.279387,0.000000,0.000000,0.000000,events/second
1717301821,719,0.276166,0.000000,0.000000,0.000000,events/second
1717301851,719,0.273019,0.000000,0.000000,0.000000,events/second
1717301881,719,0.269943,0.000000,0.000000,0.000000,events/second
1717301911,719,0.266935,0.000000,0.000000,0.000000,events/second
1717301941,719,0.263993,0.000000,0.000000,0.000000,events/second
1717301971,719,0.261116,0.000000,0.000000,0.000000,events/second
1717302001,719,0.258300,0.000000,0.000000,0.000000,events/second
1717302031,719,0.255545,0.000000,0.000000,0.000000,events/second
1717302061,719,0.252848,0.000000,0.000000,0.000000,events/second
1717302091,719,0.250208,0.000000,0.000000,0.000000,events/second
1717302121,719,0.247622,0.000000,0.000000,0.000000,events/second
1717302151,719,0.245089,0.000000,0.000000,0.000000,events/second
1717302181,719,0.242607,0.000000,0.000000,0.000000,events/second
1717302211,719,0.240175,0.000000,0.000000,0.000000,events/second
1717302241,719,0.237790,0.000000,0.000000,0.000000,events/second
1717302271,719,0.235454,0.000000,0.000000,0.000000,events/second
1717302301,719,0.233162,0.000000,0.000000,0.000000,events/second
1717302331,719,0.230914,0.000000,0.000000,0.000000,events/second
1717302361,719,0.228708,0.000000,0.000000,0.000000,events/second
1717302391,719,0.226545,0.000000,0.000000,0.000000,events/second
1717302421,719,0.224422,0.000000,0.000000,0.000000,events/second
1717302451,719,0.222339,0.000000,0.000000,0.000000,events/second
1717302481,719,0.220295,0.000000,0.000000,0.000000,events/second
1717302511,719,0.218287,0.000000,0.000000,0.000000,events/second
1717302541,719,0.216315,0.000000,0.000000,0.000000,events/second
1717302571,719,0.214380,0.000000,0.000000,0.000000,events/second
1717302601,719,0.212478,0.000000,0.000000,0.000000,events/second
1717302631,719,0.210609,0.000000,0.000000,0.000000,events/second
1717302661,719,0.208773,0.000000,0.000000,0.000000,events/second
1717302691,719,0.206969,0.000000,0.000000,0.000000,events/second
1717302721,719,0.205196,0.000000,0.000000,0.000000,events/second
1717302751,719,0.203454,0.000000,0.000000,0.000000,events/second
1717302781,719,0.201741,0.000000,0.000000,0.000000,events/second
1717302811,719,0.200056,0.000000,0.000000,0.000000,events/second
1717302841,719,0.198399,0.000000,0.000000,0.000000,events/second
1717302871,719,0.196770,0.000000,0.000000,0.000000,events/second
1717302901,719,0.195166,0.000000,0.000000,0.000000,events/second
1717302931,719,0.193589,0.000000,0.000000,0.000000,events/second
1717302961,719,0.192037,0.000000,0.000000,0.000000,events/second
1717302991,719,0.190510,0.000000,0.000000,0.000000,events/second
1717303021,719,0.189007,0.000000,0.000000,0.000000,events/second
1717303051,719,0.187528,0.000000,0.000000,0.000000,events/second
1717303082,719,0.186071,0.000000,0.000000,0.000000,events/second
1717303112,719,0.184636,0.000000,0.000000,0.000000,events/second
1717303142,719,0.183224,0.000000,0.000000,0.000000,events/second
1717303172,719,0.181834,0.000000,0.000000,0.000000,events/second
1717303202,719,0.180464,0.000000,0.000000,0.000000,events/second
1717303232,719,0.179115,0.000000,0.000000,0.000000,events/second
1717303262,719,0.177786,0.000000,0.000000,0.000000,events/second
1717303292,719,0.176476,0.000000,0.000000,0.000000,events/second
1717303322,719,0.175186,0.000000,0.000000,0.000000,events/second
1717303352,719,0.173914,0.000000,0.000000,0.000000,events/second
1717303382,719,0.172661,0.000000,0.000000,0.000000,events/second
1717303412,719,0.171426,0.000000,0.000000,0.000000,events/second
1717303442,719,0.170208,0.000000,0.000000,0.000000,events/second
1717303472,719,0.169007,0.000000,0.000000,0.000000,events/second
1717303502,719,0.167823,0.000000,0.000000,0.000000,events/second
1717303532,719,0.166656,0.000000,0.000000,0.000000,events/second
1717303562,719,0.165505,0.000000,0.000000,0.000000,events/second
1717303592,719,0.164369,0.000000,0.000000,0.000000,events/second
1717303622,719,0.163249,0.000000,0.000000,0.000000,events/second
1717303652,719,0.162144,0.000000,0.000000,0.000000,events/second
1717303682,719,0.161054,0.000000,0.000000,0.000000,events/second
1717303712,719,0.159978,0.000000,0.000000,0.000000,events/second
1717303742,719,0.158917,0.000000,0.000000,0.000000,events/second
1717303772,719,0.157870,0.000000,0.000000,0.000000,events/second
1717303802,719,0.156837,0.000000,0.000000,0.000000,events/second
1717303832,719,0.155817,0.000000,0.000000,0.000000,events/second
1717303862,719,0.154810,0.000000,0.000000,0.000000,events/second
1717303892,719,0.153816,0.000000,0.000000,0.000000,events/second
1717303922,719,0.152835,0.000000,0.000000,0.000000,events/second
1717303952,719,0.151866,0.000000,0.000000,0.000000,events/second
1717303982,719,0.150909,0.000000,0.000000,0.000000,events/second
1717304012,719,0.149965,0.000000,0.000000,0.000000,events/second
1717304042,719,0.149032,0.000000,0.000000,0.000000,events/second
1717304072,719,0.148110,0.000000,0.000000,0.000000,events/second
1717304102,719,0.147201,0.000000,0.000000,0.000000,events/second
1717304132,719,0.146302,0.000000,0.000000,0.000000,events/second
1717304162,719,0.145414,0.000000,0.000000,0.000000,events/second
1717304192,719,0.144537,0.000000,0.000000,0.000000,events/second
1717304222,719,0.143670,0.000000,0.000000,0.000000,events/second
1717304252,719,0.142814,0.000000,0.000000,0.000000,events/second
1717304282,719,0.141967,0.000000,0.000000,0.000000,events/second
1717304312,719,0.141131,0.000000,0.000000,0.000000,events/second
1717304342,719,0.140305,0.000000,0.000000,0.000000,events/second
1717304372,719,0.139488,0.000000,0.000000,0.000000,events/second
1717304402,719,0.138680,0.000000,0.000000,0.000000,events/second
