t,value
1717296900,9223372036854775807
1717296930,9223372036854775807
1717296960,9223372036854775807
1717296990,9223372036854775807
1717297020,9223372036854775807
1717297050,9223372036854775807
1717297080,9223372036854775807
1717297110,9223372036854775807
1717297140,9223372036854775807
1717297170,9223372036854775807
1717297200,9223372036854775807
1717297230,9223372036854775807
1717299240,9223372036854775807
1717299270,9223372036854775807
1717299300,9223372036854775807
1717299330,9223372036854775807
1717299360,9223372036854775807
1717299390,9223372036854775807
1717299420,9223372036854775807
1717299450,9223372036854775807
1717299480,9223372036854775807
1717299510,9223372036854775807
1717299540,9223372036854775807
1717299570,9223372036854775807
1717299600,9223372036854775807
1717299630,9223372036854775807
1717299660,9223372036854775807
1717299690,9223372036854775807
1717299720,9223372036854775807
1717299750,9223372036854775807
1717299780,9223372036854775807
1717299810,9223372036854775807
1717299840,9223372036854775807
1717299870,9223372036854775807
1717299900,9223372036854775807
1717299930,9223372036854775807
1717299960,9223372036854775807
1717299990,9223372036854775807
1717300020,9223372036854775807
1717300050,9223372036854775807
1717300080,9223372036854775807
1717300110,9223372036854775807
1717300140,9223372036854775807
1717300170,9223372036854775807
1717300200,9223372036854775807
1717300230,9223372036854775807
1717300260,9223372036854775807
1717300290,9223372036854775807
1717300320,9223372036854775807
1717300350,9223372036854775807
1717300380,9223372036854775807
1717300410,9223372036854775807
1717300440,9223372036854775807
1717300470,9223372036854775807
1717300500,9223372036854775807
1717300530,9223372036854775807
1717300560,9223372036854775807
1717300590,9223372036854775807
1717300620,9223372036854775807
1717300650,9223372036854775807
1717300680,9223372036854775807
1717300710,9223372036854775807
1717300741,9223372036854775807
1717300771,9223372036854775807
1717300801,9223372036854775807
1717300831,9223372036854775807
1717300861,9223372036854775807
1717300891,9223372036854775807
1717300921,9223372036854775807
1717300951,9223372036854775807
1717300981,9223372036854775807
1717301011,9223372036854775807
1717301041,9223372036854775807
1717301071,9223372036854775807
1717301101,9223372036854775807
1717301131,9223372036854775807
1717301161,9223372036854775807
1717301191,9223372036854775807
1717301221,9223372036854775807
1717301251,9223372036854775807
1717301281,9223372036854775807
1717301311,9223372036854775807
1717301341,9223372036854775807
1717301371,9223372036854775807
1717301401,9223372036854775807
1717301431,9223372036854775807
1717301461,9223372036854775807
1717301491,9223372036854775807
1717301521,9223372036854775807
1717301551,9223372036854775807
1717301581,9223372036854775807
1717301611,9223372036854775807
1717301641,9223372036854775807
1717301671,9223372036854775807
1717301701,9223372036854775807
1717301731,9223372036854775807
1717301761,9223372036854775807
1717301791,9223372036854775807
1717301821,9223372036854775807
1717301851,9223372036854775807
1717301881,9223372036854775807
1717301911,9223372036854775807
1717301941,9223372036854775807
1717301971,9223372036854775807
1717302001,9223372036854775807
1717302031,9223372036854775807
1717302061,9223372036854775807
1717302091,9223372036854775807
1717302121,9223372036854775807
1717302151,9223372036854775807
1717302181,9223372036854775807
1717302211,9223372036854775807
1717302241,9223372036854775807
1717302271,9223372036854775807
1717302301,9223372036854775807
1717302331,9223372036854775807
1717302361,9223372036854775807
1717302391,9223372036854775807
1717302421,9223372036854775807
1717302451,9223372036854775807
1717302481,9223372036854775807
1717302511,9223372036854775807
1717302541,9223372036854775807
1717302571,9223372036854775807
1717302601,9223372036854775807
1717302631,9223372036854775807
1717302661,9223372036854775807
1717302691,9223372036854775807
1717302721,9223372036854775807
1717302751,9223372036854775807
1717302781,9223372036854775807
1717302811,9223372036854775807
1717302841,9223372036854775807
1717302871,9223372036854775807
1717302901,9223372036854775807
1717302931,9223372036854775807
1717302961,9223372036854775807
1717302991,9223372036854775807
1717303021,9223372036854775807
1717303051,9223372036854775807
1717303082,9223372036854775807
1717303112,9223372036854775807
1717303142,9223372036854775807
1717303172,9223372036854775807
1717303202,9223372036854775807
1717303232,9223372036854775807
1717303262,9223372036854775807
1717303292,9223372036854775807
1717303322,9223372036854775807
1717303352,9223372036854775807
1717303382,9223372036854775807
1717303412,9223372036854775807
1717303442,9223372036854775807
1717303472,9223372036854775807
1717303502,9223372036854775807
1717303532,9223372036854775807
1717303562,9223372036854775807
1717303592,9223372036854775807
1717303622,9223372036854775807
1717303652,9223372036854775807
1717303682,9223372036854775807
1717303712,9223372036854775807
1717303742,9223372036854775807
1717303772,9223372036854775807
1717303802,9223372036854775807
1717303832,9223372036854775807
1717303862,9223372036854775807
1717303892,9223372036854775807
1717303922,9223372036854775807
1717303952,9223372036854775807
1717303982,9223372036854775807
1717304012,9223372036854775807
1717304042,9223372036854775807
1717304072,9223372036854775807
1717304102,9223372036854775807
1717304132,9223372036854775807
1717304162,9223372036854775807
1717304192,9223372036854775807
1717304222,9223372036854775807
1717304252,9223372036854775807
1717304282,9223372036854775807
1717304312,9223372036854775807
1717304342,9223372036854775807
1717304372,9223372036854775807
1717304402,9223372036854775807
1717304432,9223372036854775807
1717304462,9223372036854775807
1717304492,9223372036854775807
1717304522,9223372036854775807
1717304552,9223372036854775807
1717304582,9223372036854775807
1717304612,9223372036854775807
1717304642,9223372036854775807
1717304672,9223372036854775807
1717304702,9223372036854775807
1717304732,9223372036854775807
1717304762,9223372036854775807
1717304792,9223372036854775807
1717304822,9223372036854775807
1717304852,9223372036854775807
1717304882,9223372036854775807
1717304912,9223372036854775807
1717304942,9223372036854775807
1717304972,9223372036854775807
1717305002,9223372036854775807
1717305032,9223372036854775807
1717305062,9223372036854775807
1717305092,9223372036854775807
1717305122,9223372036854775807
1717305152,9223372036854775807
1717305182,9223372036854775807
1717305212,9223372036854775807
1717305242,9223372036854775807
1717305272,9223372036854775807
1717305302,9223372036854775807
1717305332,9223372036854775807
1717305362,9223372036854775807
1717305392,9223372036854775807
1717305422,9223372036854775807
1717305452,9223372036854775807
1717305482,9223372036854775807
1717305512,9223372036854775807
1717305542,9223372036854775807
1717305572,9223372036854775807
1717305602,9223372036854775807
1717305632,9223372036854775807
1717305662,9223372036854775807
1717305692,9223372036854775807
1717305722,9223372036854775807
1717305752,9223372036854775807
1717305783,9223372036854775807
1717305813,9223372036854775807
1717305843,9223372036854775807
1717305873,9223372036854775807
1717305903,9223372036854775807
1717305933,9223372036854775807
1717305963,9223372036854775807
1717305993,9223372036854775807
1717306023,9223372036854775807
1717306053,9223372036854775807
1717306083,9223372036854775807
1717306113,9223372036854775807
1717306143,9223372036854775807
1717306173,9223372036854775807
1717306203,9223372036854775807
1717306233,9223372036854775807
1717306263,9223372036854775807
1717306293,9223372036854775807
1717306323,9223372036854775807
1717306353,9223372036854775807
1717306383,9223372036854775807
1717306413,9223372036854775807
1717306443,9223372036854775807
1717306473,9223372036854775807
1717306503,9223372036854775807
1717306533,9223372036854775807
1717306563,9223372036854775807
1717306593,9223372036854775807
1717306623,9223372036854775807
