t,value
1717296900,25166230
1717296930,25166230
1717296960,25166230
1717296990,71312278
1717297020,100673190
1717297050,100673782
1717297080,100673974
1717297110,100676694
1717297140,100677014
1717297170,100677590
1717297200,100677782
1717297230,100667910
1717299240,88091366
1717299270,92287782
1717299300,92286646
1717299330,92287030
1717299360,92287606
1717299390,92287798
1717299420,92288438
1717299450,92288630
1717299480,92289206
1717299510,92289526
1717299540,92290102
1717299570,96485254
1717299600,96485958
1717299630,100681110
1717299660,100681686
1717299690,100681878
1717299720,100682518
1717299750,100682838
1717299780,100683414
1717299810,100683606
1717299840,100684182
1717299870,100766678
1717299900,100685702
1717299930,100686758
1717299960,100687846
1717299990,100688998
1717300020,100689574
1717300050,100689894
1717300080,100690534
1717300110,100691046
1717300140,100691558
1717300170,100691814
1717300200,100692390
1717300230,100692646
1717300260,100693222
1717300290,100693542
1717300320,100694118
1717300350,100694310
1717300380,100695286
1717300410,100695958
1717300440,100696598
1717300470,100696790
1717300500,100697366
1717300530,100697622
1717300560,100698326
1717300590,100698582
1717300620,100699286
1717300650,100699542
1717300680,100700182
1717300710,100700566
1717300741,100701142
1717300771,100701270
1717300801,100701846
1717300831,100702230
1717300861,100702806
1717300891,100703062
1717300921,100703574
1717300951,100703958
1717300981,100704470
1717301011,100704790
1717301041,100705302
1717301071,100705622
1717301101,100706262
1717301131,100706582
1717301161,100707030
1717301191,100707414
1717301221,100707990
1717301251,100708246
1717301281,100708454
1717301311,100708966
1717301341,100709542
1717301371,100709734
1717301401,100710374
1717301431,100711078
1717301461,100711654
1717301491,100711846
1717301521,100712422
1717301551,100712678
1717301581,100713446
1717301611,100713638
1717301641,100714150
1717301671,100714598
1717301701,100715110
1717301731,100715302
1717301761,100715878
1717301791,100716198
1717301821,100716838
1717301851,100717094
1717301881,100717670
1717301911,100717990
1717301941,100718502
1717301971,100718758
1717302001,100719334
1717302031,100719590
1717302061,100720166
1717302091,100720486
1717302121,100721062
1717302151,100721254
1717302181,100721830
1717302211,100722150
1717302241,100722790
1717302271,100723046
1717302301,100723750
1717302331,100724006
1717302361,100724582
1717302391,100724838
1717302421,100725414
1717302451,100725734
1717302481,100726374
1717302511,100726502
1717302541,100727078
1717302571,100727334
1717302601,100727910
1717302631,100728230
1717302661,100728806
1717302691,100729062
1717302721,100729574
1717302751,100729894
1717302781,100730470
1717302811,100730726
1717302841,100678294
1717302871,100678550
1717302901,100679126
1717302931,100679318
1717302961,100680022
1717302991,100680278
1717303021,100680726
1717303051,100681110
1717303082,100681686
1717303112,100681942
1717303142,100682390
1717303172,100682710
1717303202,100683350
1717303232,100683542
1717303262,100684118
1717303292,100684438
1717303322,100685078
1717303352,100685270
1717303382,100685782
1717303412,100686102
1717303442,100686678
1717303472,100686934
1717303502,100687510
1717303532,100687766
1717303562,100688406
1717303592,100688534
1717303622,100689174
1717303652,100689494
1717303682,100690070
1717303712,100690262
1717303742,100690902
1717303772,100691158
1717303802,100691734
1717303832,100691990
1717303862,100692566
1717303892,100692822
1717303922,100693334
1717303952,100693654
1717303982,100694230
1717304012,100694486
1717304042,100695062
1717304072,100695382
1717304102,100695958
1717304132,100696214
1717304162,100696726
1717304192,100697046
1717304222,100697558
1717304252,100697878
1717304282,100698390
1717304312,100698710
1717304342,100699286
1717304372,100699542
1717304402,100700118
1717304432,100700438
1717304462,100701014
1717304492,100701270
1717304522,100701782
1717304552,100702038
1717304582,100702678
1717304612,100702934
1717304642,100703446
1717304672,100703830
1717304702,100704406
1717304732,100704598
1717304762,100705110
1717304792,100705430
1717304822,100706070
1717304852,100706262
1717304882,100706838
1717304912,100707094
1717304942,100707670
1717304972,100707990
1717305002,100708566
1717305032,100707686
1717305062,100708198
1717305092,100708582
1717305122,100709158
1717305152,100709350
1717305182,100709990
1717305212,100710246
1717305242,100669446
