t,value
1717296900,406
1717296930,406
1717296960,406
1717296990,9110
1717297020,9894
1717297050,10486
1717297080,10678
1717297110,13398
1717297140,13718
1717297170,14294
1717297200,14486
1717297230,4614
1717299240,10982
1717299270,13094
1717299300,11958
1717299330,12342
1717299360,12918
1717299390,13110
1717299420,13750
1717299450,13942
1717299480,14518
1717299510,14838
1717299540,15414
1717299570,16262
1717299600,16966
1717299630,17814
1717299660,18390
1717299690,18582
1717299720,19222
1717299750,19542
1717299780,20118
1717299810,20310
1717299840,20886
1717299870,103382
1717299900,22406
1717299930,23462
1717299960,24550
1717299990,25702
1717300020,26278
1717300050,26598
1717300080,27238
1717300110,27750
1717300140,28262
1717300170,28518
1717300200,29094
1717300230,29350
1717300260,29926
1717300290,30246
1717300320,30822
1717300350,31014
1717300380,31990
1717300410,32662
1717300440,33302
1717300470,33494
1717300500,34070
1717300530,34326
1717300560,35030
1717300590,35286
1717300620,35990
1717300650,36246
1717300680,36886
1717300710,37270
1717300741,37846
1717300771,37974
1717300801,38550
1717300831,38934
1717300861,39510
1717300891,39766
1717300921,40278
1717300951,40662
1717300981,41174
1717301011,41494
1717301041,42006
1717301071,42326
1717301101,42966
1717301131,43286
1717301161,43734
1717301191,44118
1717301221,44694
1717301251,44950
1717301281,45158
1717301311,45670
1717301341,46246
1717301371,46438
1717301401,47078
1717301431,47782
1717301461,48358
1717301491,48550
1717301521,49126
1717301551,49382
1717301581,50150
1717301611,50342
1717301641,50854
1717301671,51302
1717301701,51814
1717301731,52006
1717301761,52582
1717301791,52902
1717301821,53542
1717301851,53798
1717301881,54374
1717301911,54694
1717301941,55206
1717301971,55462
1717302001,56038
1717302031,56294
1717302061,56870
1717302091,57190
1717302121,57766
1717302151,57958
1717302181,58534
1717302211,58854
1717302241,59494
1717302271,59750
1717302301,60454
1717302331,60710
1717302361,61286
1717302391,61542
1717302421,62118
1717302451,62438
1717302481,63078
1717302511,63206
1717302541,63782
1717302571,64038
1717302601,64614
1717302631,64934
1717302661,65510
1717302691,65766
1717302721,66278
1717302751,66598
1717302781,67174
1717302811,67430
1717302841,14998
1717302871,15254
1717302901,15830
1717302931,16022
1717302961,16726
1717302991,16982
1717303021,17430
1717303051,17814
1717303082,18390
1717303112,18646
1717303142,19094
1717303172,19414
1717303202,20054
1717303232,20246
1717303262,20822
1717303292,21142
1717303322,21782
1717303352,21974
1717303382,22486
1717303412,22806
1717303442,23382
1717303472,23638
1717303502,24214
1717303532,24470
1717303562,25110
1717303592,25238
1717303622,25878
1717303652,26198
1717303682,26774
1717303712,26966
1717303742,27606
1717303772,27862
1717303802,28438
1717303832,28694
1717303862,29270
1717303892,29526
1717303922,30038
1717303952,30358
1717303982,30934
1717304012,31190
1717304042,31766
1717304072,32086
1717304102,32662
1717304132,32918
1717304162,33430
1717304192,33750
1717304222,34262
1717304252,34582
1717304282,35094
1717304312,35414
1717304342,35990
1717304372,36246
1717304402,36822
1717304432,37142
1717304462,37718
1717304492,37974
1717304522,38486
1717304552,38742
1717304582,39382
1717304612,39638
1717304642,40150
1717304672,40534
1717304702,41110
1717304732,41302
1717304762,41814
1717304792,42134
1717304822,42774
1717304852,42966
1717304882,43542
1717304912,43798
1717304942,44374
1717304972,44694
1717305002,45270
1717305032,44390
1717305062,44902
1717305092,45286
1717305122,45862
1717305152,46054
1717305182,46694
1717305212,46950
1717305242,6150
1717305272,6150
1717305302,6150
1717305332,6150
1717305362,6150
1717305392,6150
1717305422,6150
1717305452,6150
1717305482,6150
1717305512,6150
1717305542,6150
1717305572,6150
1717305602,6150
1717305632,6150
1717305662,6150
1717305692,6150
1717305722,6150
1717305752,6150
1717305783,6150
1717305813,6150
1717305843,6150
1717305873,6150
1717305903,6150
1717305933,6150
1717305963,6150
1717305993,6150
1717306023,6150
1717306053,6150
1717306083,6150
1717306113,6150
1717306143,6150
1717306173,6150
1717306203,6150
1717306233,6150
1717306263,6150
1717306293,6150
1717306323,6150
1717306353,6150
1717306383,6150
1717306413,6150
1717306443,6150
1717306473,6150
1717306503,6150
1717306533,6150
1717306563,6150
1717306593,6150
1717306623,6150
1717306653,6150
1717306683,6150
1717306713,6150
1717306743,6150
1717306773,6150
1717306803,6150
1717306833,6150
1717306863,6150
1717306893,6150
1717306923,6150
1717306953,6150
1717306983,6150
1717307013,6150
1717307043,6150
1717307073,6150
1717307103,6150
1717307133,6150
1717307163,6150
1717307193,6150
1717307224,6150
1717307254,6150
1717307284,6150
1717307314,6150
1717307344,6150
1717307374,6150
1717307404,6150
1717307434,6150
1717307464,6150
1717307494,6150
1717307524,6150
1717307554,6150
1717307584,6150
1717307614,6150
1717307644,6150
1717307674,6150
1717307704,6150
1717307734,6150
1717307764,6150
1717307794,6150
1717307824,6150
1717307854,6150
1717307884,6150
1717307914,6150
1717307944,6150
1717307974,6150
1717308004,6150
1717308034,6150
1717308064,6150
1717308094,6150
1717308124,6150
1717308154,6150
1717308184,6150
1717308214,6150
1717308244,6150
1717308274,6150
1717308304,6150
1717308334,6150
1717308364,6150
1717308394,6150
1717308424,6150
1717308454,6150
1717308485,6150
1717308515,6150
1717308545,6150
1717308575,6150
1717308605,6150
1717308635,6150
1717308665,6150
1717308695,6150
1717308725,6150
1717308755,6150
1717308785,6150
1717308815,6150
1717308845,6150
1717308875,6150
1717308905,6150
1717308935,6150
1717308965,6150
1717308995,6150
1717309025,6150
1717309055,6150
1717309085,6150
1717309115,6150
1717309145,6150
1717309175,6150
1717309205,6150
1717309235,6150
1717309265,6150
1717309295,6150
1717309325,6150
1717309355,6150
1717309385,6150
1717309415,6150
1717309445,6150
1717309475,6150
1717309505,6150
1717309535,6150
1717309565,6150
1717309595,6150
1717309625,6150
1717309655,6150
1717309685,6150
1717309715,6150
1717309745,6150
1717309775,6150
1717309805,6150
1717309835,6150
1717309865,6150
1717309895,6150
1717309925,6150
1717309955,6150
1717309985,6150
1717310015,6150
1717310045,6150
1717310075,6150
1717310106,6150
1717310136,6150
1717310166,6150
1717310196,6150
1717310226,6150
1717310256,6150
1717310286,6150
1717310316,6150
1717310346,6150
1717310376,6150
1717310406,6150
1717310436,6150
1717310466,6150
1717310496,6150
1717310526,6150
1717310556,6150
1717310586,6150
1717310616,6150
1717310646,6150
1717310676,6150
1717310706,6150
1717310736,6150
1717310766,6150
1717310796,6150
1717310826,6150
1717310856,6150
1717310886,6150
1717310916,6150
1717310946,6150
1717310976,6150
1717311006,6150
1717311036,6150
1717311066,6150
1717311096,6150
1717311126,6150
1717311156,6150
1717311186,6150
1717311216,6150
1717311246,6150
1717311276,6150
1717311306,6150
1717311336,6150
1717311366,6150
1717311396,6150
