t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,92,4.095620,0.000000,0.000000,0.000000,events/second
1717296930,92,1.751887,0.000000,0.000000,0.000000,events/second
1717296960,92,1.114536,0.000000,0.000000,0.000000,events/second
1717296990,92,0.817284,0.000000,0.000000,0.000000,events/second
1717297020,92,0.645251,0.000000,0.000000,0.000000,events/second
1717297050,92,0.533035,0.000000,0.000000,0.000000,events/second
1717297080,92,0.454041,0.000000,0.000000,0.000000,events/second
1717297110,131,0.563062,0.000000,0.000000,0.000000,events/second
1717297140,131,0.498724,0.000000,0.000000,0.000000,events/second
1717297170,131,0.447566,0.000000,0.000000,0.000000,events/second
1717297200,131,0.405943,0.000000,0.000000,0.000000,events/second
1717297230,131,0.371404,0.000000,0.000000,0.000000,events/second
1717299240,139,6.178072,0.000000,0.000000,0.000000,events/second
1717299270,139,2.646411,0.000000,0.000000,0.000000,events/second
1717299300,183,2.217331,0.000000,0.000000,0.000000,events/second
1717299330,183,1.626012,0.000000,0.000000,0.000000,events/second
1717299360,183,1.283722,0.000000,0.000000,0.000000,events/second
1717299390,183,1.060378,0.000000,0.000000,0.000000,events/second
1717299420,183,0.903330,0.000000,0.000000,0.000000,events/second
1717299450,183,0.786799,0.000000,0.000000,0.000000,events/second
1717299480,183,0.696877,0.000000,0.000000,0.000000,events/second
1717299510,183,0.625395,0.000000,0.000000,0.000000,events/second
1717299540,183,0.567219,0.000000,0.000000,0.000000,events/second
1717299570,194,0.550131,0.000000,0.000000,0.000000,events/second
1717299600,194,0.506987,0.000000,0.000000,0.000000,events/second
1717299630,194,0.470117,0.000000,0.000000,0.000000,events/second
1717299660,194,0.438248,0.000000,0.000000,0.000000,events/second
1717299690,194,0.410416,0.000000,0.000000,0.000000,events/second
1717299720,194,0.385902,0.000000,0.000000,0.000000,events/second
1717299750,194,0.364162,0.000000,0.000000,0.000000,events/second
1717299780,194,0.344745,0.000000,0.000000,0.000000,events/second
1717299810,194,0.327294,0.000000,0.000000,0.000000,events/second
1717299840,194,0.311522,0.000000,0.000000,0.000000,events/second
1717299870,205,0.314051,0.000000,0.000000,0.000000,events/second
1717299900,223,0.326612,0.000000,0.000000,0.000000,events/second
1717299930,223,0.312857,0.000000,0.000000,0.000000,events/second
1717299960,223,0.300216,0.000000,0.000000,0.000000,events/second
1717299990,223,0.288556,0.000000,0.000000,0.000000,events/second
1717300020,223,0.277768,0.000000,0.000000,0.000000,events/second
1717300050,223,0.267757,0.000000,0.000000,0.000000,events/second
1717300080,231,0.267715,0.000000,0.000000,0.000000,events/second
1717300110,231,0.258717,0.000000,0.000000,0.000000,events/second
1717300140,231,0.250304,0.000000,0.000000,0.000000,events/second
1717300170,231,0.242422,0.000000,0.000000,0.000000,events/second
1717300200,231,0.235021,0.000000,0.000000,0.000000,events/second
1717300230,231,0.228057,0.000000,0.000000,0.000000,events/second
1717300260,231,0.221495,0.000000,0.000000,0.000000,events/second
1717300290,231,0.215299,0.000000,0.000000,0.000000,events/second
1717300320,231,0.209439,0.000000,0.000000,0.000000,events/second
1717300350,231,0.203891,0.000000,0.000000,0.000000,events/second
1717300380,231,0.198630,0.000000,0.000000,0.000000,events/second
1717300410,231,0.193633,0.000000,0.000000,0.000000,events/second
1717300440,231,0.188881,0.000000,0.000000,0.000000,events/second
1717300470,231,0.184359,0.000000,0.000000,0.000000,events/second
1717300500,231,0.180046,0.000000,0.000000,0.000000,events/second
1717300530,231,0.175931,0.000000,0.000000,0.000000,events/second
1717300560,231,0.172001,0.000000,0.000000,0.000000,events/second
1717300590,231,0.168241,0.000000,0.000000,0.000000,events/second
1717300620,231,0.164643,0.000000,0.000000,0.000000,events/second
1717300650,231,0.161195,0.000000,0.000000,0.000000,events/second
1717300680,231,0.157888,0.000000,0.000000,0.000000,events/second
1717300710,231,0.154714,0.000000,0.000000,0.000000,events/second
1717300741,231,0.151665,0.000000,0.000000,0.000000,events/second
1717300771,231,0.148733,0.000000,0.000000,0.000000,events/second
1717300801,231,0.145914,0.000000,0.000000,0.000000,events/second
1717300831,231,0.143199,0.000000,0.000000,0.000000,events/second
1717300861,231,0.140584,0.000000,0.000000,0.000000,events/second
1717300891,231,0.138061,0.000000,0.000000,0.000000,events/second
1717300921,286,0.167922,0.000000,0.000000,0.000000,events/second
1717300951,286,0.165015,0.000000,0.000000,0.000000,events/second
1717300981,286,0.162206,0.000000,0.000000,0.000000,events/second
1717301011,286,0.159492,0.000000,0.000000,0.000000,events/second
1717301041,286,0.156866,0.000000,0.000000,0.000000,events/second
1717301071,286,0.154327,0.000000,0.000000,0.000000,events/second
1717301101,286,0.151867,0.000000,0.000000,0.000000,events/second
1717301131,286,0.149485,0.000000,0.000000,0.000000,events/second
1717301161,286,0.147177,0.000000,0.000000,0.000000,events/second
1717301191,286,0.144938,0.000000,0.000000,0.000000,events/second
1717301221,286,0.142767,0.000000,0.000000,0.000000,events/second
1717301251,286,0.140660,0.000000,0.000000,0.000000,events/second
1717301281,286,0.138614,0.000000,0.000000,0.000000,events/second
1717301311,286,0.136627,0.000000,0.000000,0.000000,events/second
1717301341,286,0.134696,0.000000,0.000000,0.000000,events/second
1717301371,286,0.132818,0.000000,0.000000,0.000000,events/second
