t,value
1717296900,176315392
1717296930,188898304
1717296960,197286912
1717296990,325213184
1717297020,339893248
1717297050,348281856
1717297080,357719040
1717297110,108723200
1717297140,120257536
1717297170,132840448
1717297200,141229056
1717297230,146471936
1717299240,136611840
1717299270,224692224
1717299300,109836368
1717299330,117176400
1717299360,129759312
1717299390,135002192
1717299420,151779408
1717299450,157022288
1717299480,168556624
1717299510,182188112
1717299540,215742544
1717299570,247909888
1717299600,276221440
1717299630,307678720
1717299660,319213056
1717299690,323407360
1717299720,334941696
1717299750,340184576
1717299780,351718912
1717299810,355913216
1717299840,382127616
1717299870,330054392
1717299900,225661288
1717299930,298013032
1717299960,338907496
1717299990,344150376
1717300020,388190568
1717300050,394482024
1717300080,106114664
1717300110,116600424
1717300140,128134760
1717300170,132329064
1717300200,143863400
1717300230,149106280
1717300260,159592040
1717300290,165883496
1717300320,176369256
1717300350,180563560
1717300380,208875112
1717300410,219360872
1717300440,232992360
1717300470,244526696
1717300500,256061032
1717300530,260255336
1717300560,271789672
1717300590,277032552
1717300620,320024168
1717300650,325267048
1717300680,336801384
1717300710,342044264
1717300741,352530024
1717300771,357772904
1717300801,368258664
1717300831,373501544
1717300861,383987304
1717300891,389230184
1717300921,102297072
1717300951,108588528
1717300981,120122864
1717301011,124317168
1717301041,136900080
1717301071,141094384
1717301101,159968752
1717301131,165211632
1717301161,175697392
1717301191,180940272
1717301221,191426032
1717301251,195620336
1717301281,207154672
1717301311,247000560
1717301341,258534896
1717301371,262729200
1717301401,274263536
1717301431,285797872
1717301461,296283632
1717301491,300477936
1717301521,312012272
1717301551,317255152
1717301581,327740912
1717301611,332983792
1717301641,345566704
1717301671,349761008
1717301701,361295344
1717301731,365489648
1717301761,377023984
1717301791,382266864
1717301821,393801200
1717301851,97070160
1717301881,109653072
1717301911,114895952
1717301941,124333136
1717301971,130624592
1717302001,141110352
1717302031,147401808
1717302061,156838992
1717302091,162081872
1717302121,173616208
1717302151,177810512
1717302181,187247696
1717302211,192490576
1717302241,206122064
1717302271,210316368
1717302301,226045008
1717302331,232336464
1717302361,242822224
1717302391,248065104
1717302421,258550864
1717302451,262745168
1717302481,274279504
1717302511,279522384
1717302541,288959568
1717302571,295251024
1717302601,304688208
1717302631,309931088
1717302661,321465424
1717302691,325659728
1717302721,336145488
1717302751,341388368
1717302781,352922704
1717302811,357117008
1717302841,369699920
1717302871,374942800
1717302901,385428560
1717302931,390671440
1717302961,100530176
1717302991,105773056
1717303021,118355968
1717303051,122550272
1717303082,133036032
1717303112,138278912
1717303142,148764672
1717303172,152958976
1717303202,164493312
1717303232,169736192
1717303262,179173376
1717303292,185464832
1717303322,195950592
1717303352,201193472
1717303382,211679232
1717303412,216922112
1717303442,227407872
1717303472,232650752
1717303502,244185088
1717303532,248379392
1717303562,259913728
1717303592,264108032
1717303622,274593792
1717303652,279836672
1717303682,290322432
1717303712,295565312
1717303742,306051072
1717303772,311293952
1717303802,321779712
1717303832,327022592
1717303862,337508352
1717303892,341702656
1717303922,353236992
1717303952,357431296
1717303982,368965632
1717304012,374208512
1717304042,385742848
1717304072,390985728
1717304102,101943432
1717304132,107186312
1717304162,117672072
1717304192,123963528
1717304222,134449288
1717304252,137595016
1717304282,149129352
1717304312,153323656
1717304342,164857992
1717304372,170100872
1717304402,179538056
1717304432,185829512
1717304462,195266696
1717304492,200509576
1717304522,209946760
1717304552,216238216
1717304582,226723976
1717304612,230918280
1717304642,243501192
1717304672,248744072
1717304702,259229832
1717304732,264472712
1717304762,274958472
1717304792,280201352
1717304822,290687112
1717304852,294881416
1717304882,305367176
1717304912,310610056
1717304942,321095816
1717304972,326338696
1717305002,337873032
1717305032,342067336
1717305062,352553096
1717305092,357795976
1717305122,369330312
1717305152,373524616
1717305182,382961800
1717305212,389253256
1717305242,97384448
1717305272,99481600
1717305302,104724480
1717305332,106821632
1717305362,112064512
1717305392,113113088
1717305422,118355968
1717305452,121501696
1717305482,125696000
1717305512,127793152
1717305542,133036032
1717305572,135133184
1717305602,140376064
1717305632,143521792
1717305662,147716096
1717305692,149813248
1717305722,155056128
1717305752,157153280
1717305783,162396160
1717305813,164493312
1717305843,169736192
1717305873,171833344
1717305903,177076224
1717305933,179173376
1717305963,184416256
1717305993,186513408
1717306023,191756288
1717306053,193853440
1717306083,199096320
1717306113,201193472
1717306143,206436352
1717306173,207484928
1717306203,213776384
1717306233,215873536
1717306263,220067840
1717306293,222164992
1717306323,227407872
1717306353,229505024
1717306383,234747904
1717306413,236845056
1717306443,243136512
1717306473,245233664
1717306503,250476544
1717306533,252573696
1717306563,257816576
1717306593,259913728
1717306623,264108032
1717306653,266205184
1717306683,271448064
1717306713,273545216
1717306743,278788096
1717306773,280885248
1717306803,286128128
1717306833,288225280
1717306863,293468160
1717306893,295565312
1717306923,299759616
1717306953,302905344
1717306983,308148224
1717307013,310245376
1717307043,315488256
1717307073,317585408
1717307103,322828288
1717307133,324925440
1717307163,329119744
1717307193,332265472
1717307224,336459776
1717307254,339605504
1717307284,344848384
1717307314,346945536
1717307344,351139840
1717307374,354285568
1717307404,358479872
1717307434,360577024
1717307464,365819904
1717307494,367917056
1717307524,373159936
1717307554,375257088
1717307584,380499968
1717307614,382597120
1717307644,386791424
1717307674,388888576
1717307704,394131456
1717307734,396228608
1717307764,101945080
1717307794,104042232
1717307824,109285112
1717307854,111382264
1717307884,116625144
1717307914,118722296
1717307944,123965176
1717307974,125013752
1717308004,130256632
1717308034,132353784
1717308064,137596664
1717308094,140742392
1717308124,144936696
1717308154,147033848
1717308184,152276728
1717308214,154373880
1717308244,160665336
1717308274,162762488
1717308304,168005368
1717308334,170102520
1717308364,174296824
1717308394,176393976
1717308424,181636856
1717308454,183734008
1717308485,188976888
1717308515,191074040
1717308545,196316920
1717308575,198414072
1717308605,203656952
1717308635,205754104
1717308665,210996984
1717308695,213094136
1717308725,218337016
1717308755,220434168
1717308785,224628472
1717308815,227774200
1717308845,233017080
1717308875,235114232
1717308905,240357112
1717308935,242454264
1717308965,247697144
1717308995,249794296
1717309025,253988600
1717309055,257134328
1717309085,261328632
1717309115,264474360
1717309145,269717240
1717309175,271814392
1717309205,274960120
1717309235,277057272
1717309265,282300152
1717309295,284397304
1717309325,289640184
1717309355,291737336
1717309385,296980216
1717309415,299077368
1717309445,304320248
1717309475,306417400
1717309505,312708856
1717309535,313757432
1717309565,319000312
1717309595,321097464
1717309625,326340344
1717309655,328437496
1717309685,333680376
1717309715,335777528
1717309745,339971832
1717309775,343117560
1717309805,348360440
1717309835,350457592
1717309865,354651896
1717309895,356749048
1717309925,361991928
1717309955,364089080
1717309985,369331960
1717310015,371429112
1717310045,376671992
1717310075,379817720
1717310106,384012024
1717310136,386109176
1717310166,391352056
1717310196,393449208
1717310226,100212496
1717310256,102309648
1717310286,107552528
1717310316,109649680
1717310346,113843984
1717310376,116989712
1717310406,121184016
1717310436,123281168
1717310466,128524048
1717310496,131669776
1717310526,136912656
1717310556,137961232
1717310586,143204112
1717310616,145301264
1717310646,150544144
1717310676,152641296
1717310706,157884176
1717310736,161029904
1717310766,166272784
1717310796,167321360
1717310826,172564240
1717310856,174661392
1717310886,179904272
1717310916,182001424
1717310946,186195728
1717310976,189341456
1717311006,194584336
