t,value
1717296900,534
1717296930,534
1717296960,534
1717296990,534
1717297020,534
1717297050,534
1717297080,534
1717297110,534
1717297140,534
1717297170,534
1717297200,534
1717297230,534
1717299240,663
1717299270,663
1717299300,534
1717299330,534
1717299360,534
1717299390,534
1717299420,534
1717299450,534
1717299480,534
1717299510,534
1717299540,534
1717299570,534
1717299600,534
1717299630,534
1717299660,534
1717299690,534
1717299720,534
1717299750,534
1717299780,534
1717299810,534
1717299840,17426
1717299870,16934
1717299900,550
1717299930,550
1717299960,550
1717299990,550
1717300020,550
1717300050,550
1717300080,550
1717300110,550
1717300140,550
1717300170,550
1717300200,550
1717300230,550
1717300260,550
1717300290,550
1717300320,550
1717300350,550
1717300380,550
1717300410,550
1717300440,550
1717300470,550
1717300500,550
1717300530,550
1717300560,550
1717300590,550
1717300620,550
1717300650,550
1717300680,550
1717300710,550
1717300741,550
1717300771,550
1717300801,550
1717300831,550
1717300861,550
1717300891,550
1717300921,550
1717300951,550
1717300981,550
1717301011,550
1717301041,550
1717301071,550
1717301101,550
1717301131,550
1717301161,550
1717301191,550
1717301221,550
1717301251,550
1717301281,550
1717301311,550
1717301341,550
1717301371,550
1717301401,550
1717301431,550
1717301461,550
1717301491,550
1717301521,550
1717301551,550
1717301581,550
1717301611,550
1717301641,550
1717301671,550
1717301701,550
1717301731,550
1717301761,550
1717301791,550
1717301821,550
1717301851,550
1717301881,550
1717301911,550
1717301941,550
1717301971,550
1717302001,550
1717302031,550
1717302061,550
1717302091,550
1717302121,550
1717302151,550
1717302181,550
1717302211,550
1717302241,550
1717302271,550
1717302301,550
1717302331,550
1717302361,550
1717302391,550
1717302421,550
1717302451,550
1717302481,550
1717302511,550
1717302541,550
1717302571,550
1717302601,550
1717302631,550
1717302661,550
1717302691,550
1717302721,550
1717302751,550
1717302781,550
1717302811,550
1717302841,550
1717302871,550
1717302901,550
1717302931,550
1717302961,550
1717302991,550
1717303021,550
1717303051,550
1717303082,550
1717303112,550
1717303142,550
1717303172,550
1717303202,550
1717303232,550
1717303262,550
1717303292,550
1717303322,550
1717303352,550
1717303382,550
1717303412,550
1717303442,550
1717303472,550
1717303502,550
1717303532,550
1717303562,550
1717303592,550
1717303622,550
1717303652,550
1717303682,550
1717303712,550
1717303742,550
1717303772,550
1717303802,550
1717303832,550
1717303862,550
1717303892,550
1717303922,550
1717303952,550
1717303982,550
1717304012,550
1717304042,550
1717304072,550
1717304102,550
1717304132,550
1717304162,550
1717304192,550
1717304222,550
1717304252,550
1717304282,550
1717304312,550
1717304342,550
1717304372,550
1717304402,550
1717304432,550
1717304462,550
1717304492,550
1717304522,550
1717304552,550
1717304582,550
1717304612,550
1717304642,550
1717304672,550
1717304702,550
1717304732,550
1717304762,550
1717304792,550
1717304822,550
1717304852,550
1717304882,550
1717304912,550
1717304942,550
1717304972,550
1717305002,550
1717305032,550
1717305062,550
1717305092,550
1717305122,550
1717305152,550
1717305182,550
1717305212,550
1717305242,550
1717305272,550
1717305302,550
1717305332,550
1717305362,550
1717305392,550
1717305422,550
1717305452,550
1717305482,550
1717305512,550
1717305542,550
1717305572,550
1717305602,550
1717305632,550
1717305662,550
1717305692,550
1717305722,550
1717305752,550
1717305783,550
1717305813,550
1717305843,550
1717305873,550
1717305903,550
1717305933,550
1717305963,550
1717305993,550
1717306023,550
1717306053,550
1717306083,550
1717306113,550
1717306143,550
1717306173,550
1717306203,550
1717306233,550
1717306263,550
1717306293,550
1717306323,550
1717306353,550
1717306383,550
1717306413,550
1717306443,550
1717306473,550
1717306503,550
1717306533,550
1717306563,550
1717306593,550
1717306623,550
1717306653,550
1717306683,550
1717306713,550
1717306743,550
1717306773,550
1717306803,550
1717306833,550
1717306863,550
1717306893,550
1717306923,550
1717306953,550
1717306983,550
1717307013,550
1717307043,550
1717307073,550
1717307103,550
1717307133,550
1717307163,550
1717307193,550
1717307224,550
1717307254,550
1717307284,550
1717307314,550
1717307344,550
1717307374,550
1717307404,550
1717307434,550
1717307464,550
1717307494,550
1717307524,550
1717307554,550
1717307584,550
1717307614,550
1717307644,550
1717307674,550
1717307704,550
1717307734,550
1717307764,550
1717307794,550
1717307824,550
1717307854,550
1717307884,550
1717307914,550
1717307944,550
1717307974,550
1717308004,550
1717308034,550
1717308064,550
1717308094,550
1717308124,550
1717308154,550
1717308184,550
1717308214,550
1717308244,550
1717308274,550
1717308304,550
1717308334,550
1717308364,550
1717308394,550
1717308424,550
1717308454,550
1717308485,550
1717308515,550
1717308545,550
1717308575,550
1717308605,550
1717308635,550
1717308665,550
1717308695,550
1717308725,550
1717308755,550
1717308785,550
1717308815,550
1717308845,550
1717308875,550
1717308905,550
1717308935,550
1717308965,550
1717308995,550
1717309025,550
1717309055,550
1717309085,550
1717309115,550
1717309145,550
1717309175,550
1717309205,550
1717309235,550
1717309265,550
1717309295,550
1717309325,550
1717309355,550
1717309385,550
1717309415,550
1717309445,550
1717309475,550
1717309505,550
1717309535,550
1717309565,550
1717309595,550
1717309625,550
1717309655,550
1717309685,550
