t,value
1717296900,105906176
1717296930,117440512
1717296960,125829120
1717296990,253755392
1717297020,268435456
1717297050,276824064
1717297080,286261248
1717297110,22020096
1717297140,33554432
1717297170,46137344
1717297200,54525952
1717297230,59768832
1717299240,44040192
1717299270,132120576
1717299300,6291456
1717299330,13631488
1717299360,26214400
1717299390,31457280
1717299420,48234496
1717299450,53477376
1717299480,65011712
1717299510,78643200
1717299540,112197632
1717299570,159383552
1717299600,187695104
1717299630,219152384
1717299660,230686720
1717299690,234881024
1717299720,246415360
1717299750,251658240
1717299780,263192576
1717299810,267386880
1717299840,293601280
1717299870,236978176
1717299900,130023424
1717299930,202375168
1717299960,243269632
1717299990,248512512
1717300020,292552704
1717300050,298844160
1717300080,9437184
1717300110,19922944
1717300140,31457280
1717300170,35651584
1717300200,47185920
1717300230,52428800
1717300260,62914560
1717300290,69206016
1717300320,79691776
1717300350,83886080
1717300380,112197632
1717300410,122683392
1717300440,136314880
1717300470,147849216
1717300500,159383552
1717300530,163577856
1717300560,175112192
1717300590,180355072
1717300620,223346688
1717300650,228589568
1717300680,240123904
1717300710,245366784
1717300741,255852544
1717300771,261095424
1717300801,271581184
1717300831,276824064
1717300861,287309824
1717300891,292552704
1717300921,5242880
1717300951,11534336
1717300981,23068672
1717301011,27262976
1717301041,39845888
1717301071,44040192
1717301101,62914560
1717301131,68157440
1717301161,78643200
1717301191,83886080
1717301221,94371840
1717301251,98566144
1717301281,110100480
1717301311,149946368
1717301341,161480704
1717301371,165675008
1717301401,177209344
1717301431,188743680
1717301461,199229440
1717301491,203423744
1717301521,214958080
1717301551,220200960
1717301581,230686720
1717301611,235929600
1717301641,248512512
1717301671,252706816
1717301701,264241152
1717301731,268435456
1717301761,279969792
1717301791,285212672
1717301821,296747008
1717301851,0
1717301881,12582912
1717301911,17825792
1717301941,27262976
1717301971,33554432
1717302001,44040192
1717302031,50331648
1717302061,59768832
1717302091,65011712
1717302121,76546048
1717302151,80740352
1717302181,90177536
1717302211,95420416
1717302241,109051904
1717302271,113246208
1717302301,128974848
1717302331,135266304
1717302361,145752064
1717302391,150994944
1717302421,161480704
1717302451,165675008
1717302481,177209344
1717302511,182452224
1717302541,191889408
1717302571,198180864
1717302601,207618048
1717302631,212860928
1717302661,224395264
1717302691,228589568
1717302721,239075328
1717302751,244318208
1717302781,255852544
1717302811,260046848
1717302841,272629760
1717302871,277872640
1717302901,288358400
1717302931,293601280
1717302961,4194304
1717302991,9437184
1717303021,22020096
1717303051,26214400
1717303082,36700160
1717303112,41943040
1717303142,52428800
1717303172,56623104
1717303202,68157440
1717303232,73400320
1717303262,82837504
1717303292,89128960
1717303322,99614720
1717303352,104857600
1717303382,115343360
1717303412,120586240
1717303442,131072000
1717303472,136314880
1717303502,147849216
1717303532,152043520
1717303562,163577856
1717303592,167772160
1717303622,178257920
1717303652,183500800
1717303682,193986560
1717303712,199229440
1717303742,209715200
1717303772,214958080
1717303802,225443840
1717303832,230686720
1717303862,241172480
1717303892,245366784
1717303922,256901120
1717303952,261095424
1717303982,272629760
1717304012,277872640
1717304042,289406976
1717304072,294649856
1717304102,5242880
1717304132,10485760
1717304162,20971520
1717304192,27262976
1717304222,37748736
1717304252,40894464
1717304282,52428800
1717304312,56623104
1717304342,68157440
1717304372,73400320
1717304402,82837504
1717304432,89128960
1717304462,98566144
1717304492,103809024
1717304522,113246208
1717304552,119537664
1717304582,130023424
1717304612,134217728
1717304642,146800640
1717304672,152043520
1717304702,162529280
1717304732,167772160
1717304762,178257920
1717304792,183500800
1717304822,193986560
1717304852,198180864
1717304882,208666624
1717304912,213909504
1717304942,224395264
1717304972,229638144
1717305002,241172480
1717305032,245366784
1717305062,255852544
1717305092,261095424
1717305122,272629760
1717305152,276824064
1717305182,286261248
1717305212,292552704
1717305242,1048576
1717305272,3145728
1717305302,8388608
1717305332,10485760
1717305362,15728640
1717305392,16777216
1717305422,22020096
1717305452,25165824
1717305482,29360128
1717305512,31457280
1717305542,36700160
1717305572,38797312
1717305602,44040192
1717305632,47185920
1717305662,51380224
1717305692,53477376
1717305722,58720256
1717305752,60817408
1717305783,66060288
1717305813,68157440
1717305843,73400320
1717305873,75497472
1717305903,80740352
1717305933,82837504
1717305963,88080384
1717305993,90177536
1717306023,95420416
1717306053,97517568
1717306083,102760448
1717306113,104857600
1717306143,110100480
1717306173,111149056
1717306203,117440512
1717306233,119537664
1717306263,123731968
1717306293,125829120
1717306323,131072000
1717306353,133169152
1717306383,138412032
1717306413,140509184
1717306443,146800640
1717306473,148897792
1717306503,154140672
1717306533,156237824
1717306563,161480704
1717306593,163577856
1717306623,167772160
1717306653,169869312
1717306683,175112192
1717306713,177209344
1717306743,182452224
1717306773,184549376
1717306803,189792256
1717306833,191889408
1717306863,197132288
1717306893,199229440
1717306923,203423744
1717306953,206569472
1717306983,211812352
1717307013,213909504
1717307043,219152384
1717307073,221249536
1717307103,226492416
1717307133,228589568
1717307163,232783872
1717307193,235929600
1717307224,240123904
1717307254,243269632
1717307284,248512512
1717307314,250609664
1717307344,254803968
1717307374,257949696
1717307404,262144000
1717307434,264241152
1717307464,269484032
1717307494,271581184
1717307524,276824064
1717307554,278921216
1717307584,284164096
1717307614,286261248
1717307644,290455552
1717307674,292552704
1717307704,297795584
1717307734,299892736
1717307764,5242880
1717307794,7340032
1717307824,12582912
1717307854,14680064
1717307884,19922944
1717307914,22020096
1717307944,27262976
1717307974,29360128
1717308004,33554432
1717308034,35651584
1717308064,40894464
1717308094,44040192
1717308124,48234496
1717308154,50331648
1717308184,55574528
1717308214,57671680
1717308244,63963136
1717308274,66060288
1717308304,71303168
1717308334,73400320
1717308364,77594624
1717308394,79691776
1717308424,84934656
1717308454,87031808
1717308485,92274688
1717308515,94371840
1717308545,99614720
1717308575,101711872
1717308605,106954752
1717308635,109051904
1717308665,114294784
1717308695,116391936
1717308725,121634816
1717308755,123731968
1717308785,127926272
1717308815,131072000
1717308845,136314880
1717308875,138412032
1717308905,143654912
1717308935,145752064
1717308965,150994944
1717308995,153092096
1717309025,157286400
1717309055,160432128
1717309085,164626432
1717309115,167772160
1717309145,173015040
1717309175,175112192
1717309205,178257920
1717309235,180355072
1717309265,185597952
1717309295,187695104
1717309325,192937984
1717309355,195035136
1717309385,200278016
1717309415,202375168
1717309445,207618048
1717309475,209715200
1717309505,216006656
1717309535,217055232
1717309565,222298112
1717309595,224395264
1717309625,229638144
1717309655,231735296
1717309685,236978176
1717309715,239075328
1717309745,243269632
1717309775,246415360
1717309805,251658240
1717309835,253755392
1717309865,257949696
1717309895,260046848
1717309925,265289728
1717309955,267386880
1717309985,272629760
1717310015,274726912
1717310045,279969792
1717310075,283115520
1717310106,287309824
1717310136,289406976
1717310166,294649856
1717310196,296747008
1717310226,3145728
1717310256,5242880
1717310286,10485760
1717310316,12582912
1717310346,16777216
1717310376,19922944
1717310406,24117248
1717310436,26214400
1717310466,31457280
1717310496,34603008
1717310526,39845888
1717310556,40894464
1717310586,46137344
1717310616,48234496
1717310646,53477376
1717310676,55574528
1717310706,60817408
1717310736,63963136
1717310766,69206016
1717310796,70254592
1717310826,75497472
1717310856,77594624
1717310886,82837504
1717310916,84934656
1717310946,89128960
1717310976,92274688
1717311006,97517568
1717311036,99614720
1717311066,103809024
1717311096,106954752
1717311126,111149056
1717311156,113246208
1717311186,118489088
1717311216,120586240
1717311246,125829120
1717311276,128974848
1717311306,134217728
1717311336,135266304
1717311366,140509184
1717311396,142606336
1717311426,147849216
1717311456,149946368
1717311486,155189248
1717311516,158334976
1717311546,161480704
1717311576,163577856
1717311606,168820736
1717311636,171966464
1717311666,177209344
1717311696,178257920
1717311726,183500800
1717311756,185597952
1717311786,190840832
1717311816,193986560
1717311846,198180864
1717311876,200278016
1717311906,205520896
1717311936,207618048
1717311966,212860928
1717311996,214958080
1717312026,220200960
1717312056,222298112
1717312086,227540992
1717312116,229638144
1717312146,234881024
1717312176,236978176
1717312206,242221056
1717312236,243269632
1717312267,249561088
1717312297,251658240
1717312327,255852544
1717312357,258998272
1717312387,263192576
1717312417,265289728
1717312447,271581184
1717312477,273678336
1717312507,277872640
1717312537,281018368
1717312567,285212672
1717312597,287309824
1717312627,292552704
1717312657,294649856
1717312687,1048576
1717312717,2097152
1717312747,8388608
1717312777,10485760
1717312807,15728640
1717312837,17825792
1717312867,23068672
1717312897,25165824
1717312927,29360128
1717312957,32505856
1717312987,37748736
1717313017,38797312
1717313047,45088768
1717313077,47185920
1717313107,52428800
1717313137,54525952
1717313167,58720256
1717313197,60817408
1717313227,66060288
1717313257,68157440
1717313287,73400320
1717313317,75497472
1717313347,80740352
1717313377,82837504
1717313407,88080384
1717313437,90177536
1717313467,95420416
1717313497,97517568
1717313527,102760448
1717313557,103809024
1717313587,109051904
1717313617,111149056
1717313647,116391936
1717313677,119537664
1717313707,124780544
1717313737,126877696
1717313767,131072000
1717313797,133169152
1717313827,138412032
1717313857,141557760
1717313887,145752064
1717313917,147849216
1717313947,153092096
1717313977,155189248
1717314007,160432128
1717314037,162529280
1717314067,167772160
1717314097,169869312
1717314127,174063616
1717314157,177209344
1717314187,182452224
1717314217,184549376
1717314247,189792256
1717314277,191889408
1717314307,196083712
1717314337,199229440
1717314367,204472320
1717314397,207618048
1717314427,211812352
1717314457,214958080
1717314487,219152384
1717314517,222298112
1717314547,225443840
1717314577,229638144
1717314607,232783872
1717314637,235929600
1717314667,241172480
1717314697,244318208
1717314727,247463936
1717314757,250609664
1717314787,254803968
1717314817,258998272
1717314847,262144000
1717314877,266338304
1717314907,269484032
1717314937,272629760
1717314967,276824064
1717314997,281018368
1717315027,284164096
1717315057,287309824
1717315087,291504128
1717315117,294649856
1717315148,297795584
1717315178,301989888
1717315208,305135616
1717315238,4194304
1717315268,7340032
1717315298,11534336
1717315328,14680064
1717315358,18874368
1717315388,22020096
1717315418,26214400
1717315448,30408704
1717315478,34603008
1717315508,36700160
1717315538,40894464
1717315568,44040192
1717315598,48234496
1717315628,51380224
1717315658,54525952
1717315688,58720256
1717315718,61865984
1717315748,66060288
1717315778,69206016
