t,value
1717296900,41049088
1717296930,41049088
1717296960,41049088
1717296990,41049088
1717297020,41049088
1717297050,41049088
1717297080,41049088
1717297110,70450176
1717297140,70450176
1717297170,70450176
1717297200,70450176
1717297230,70450176
1717299240,73054208
1717299270,73054208
1717299300,84332032
1717299330,84332032
1717299360,84332032
1717299390,84332032
1717299420,84332032
1717299450,84332032
1717299480,84332032
1717299510,84332032
1717299540,84332032
1717299570,69651968
1717299600,69651968
1717299630,69651968
1717299660,69651968
1717299690,69651968
1717299720,69651968
1717299750,69651968
1717299780,69651968
1717299810,69651968
1717299840,69651968
1717299870,69651968
1717299900,76412928
1717299930,76412928
1717299960,76412928
1717299990,76412928
1717300020,76412928
1717300050,76412928
1717300080,76412928
1717300110,76412928
1717300140,76412928
1717300170,76412928
1717300200,76412928
1717300230,76412928
1717300260,76412928
1717300290,76412928
1717300320,76412928
1717300350,76412928
1717300380,76412928
1717300410,76412928
1717300440,76412928
1717300470,76412928
1717300500,76412928
1717300530,76412928
1717300560,76412928
1717300590,76412928
1717300620,76412928
1717300650,76412928
1717300680,76412928
1717300710,76412928
1717300741,76412928
1717300771,76412928
1717300801,76412928
1717300831,76412928
1717300861,76412928
1717300891,76412928
1717300921,76412928
1717300951,76412928
1717300981,76412928
1717301011,76412928
1717301041,76412928
1717301071,76412928
1717301101,76412928
1717301131,76412928
1717301161,76412928
1717301191,76412928
1717301221,76412928
1717301251,76412928
1717301281,76412928
1717301311,76412928
1717301341,76412928
1717301371,76412928
1717301401,76412928
1717301431,76412928
1717301461,76412928
1717301491,76412928
1717301521,76412928
1717301551,76412928
1717301581,76412928
1717301611,76412928
1717301641,76412928
1717301671,76412928
1717301701,76412928
1717301731,76412928
1717301761,76412928
1717301791,76412928
1717301821,76412928
1717301851,76412928
1717301881,76412928
1717301911,76412928
1717301941,76412928
1717301971,76412928
1717302001,76412928
1717302031,76412928
1717302061,76412928
1717302091,76412928
1717302121,76412928
1717302151,76412928
1717302181,76412928
1717302211,76412928
1717302241,76412928
1717302271,76412928
