t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,0,0.000000,0.000000,0.000000,0.000000,events/second
1717296930,0,0.000000,0.000000,0.000000,0.000000,events/second
1717296960,0,0.000000,0.000000,0.000000,0.000000,events/second
1717296990,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297020,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297050,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297080,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297110,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297140,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297170,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297200,0,0.000000,0.000000,0.000000,0.000000,events/second
1717297230,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299240,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299270,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299300,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299330,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299360,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299390,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299420,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299450,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299480,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299510,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299540,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299570,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299600,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299630,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299660,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299690,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299720,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299750,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299780,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299810,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299840,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299870,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299900,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299930,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299960,0,0.000000,0.000000,0.000000,0.000000,events/second
1717299990,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300020,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300050,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300080,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300110,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300140,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300170,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300200,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300230,0,0.000000,0.000000,0.000000,0.000000,events/second
1717300260,0,0.000000,0.000000,0.000000,0.000000,events/second
