t,value
1717296900,138
1717296930,138
1717296960,97
1717296990,106
1717297020,113
1717297050,113
1717297080,114
1717297110,118
1717297140,118
1717297170,118
1717297200,118
1717297230,116
1717299240,149
1717299270,150
1717299300,113
1717299330,113
1717299360,110
1717299390,110
1717299420,110
1717299450,110
1717299480,109
1717299510,110
1717299540,111
1717299570,113
1717299600,113
1717299630,114
1717299660,114
1717299690,112
1717299720,112
1717299750,111
1717299780,110
1717299810,110
1717299840,117
1717299870,118
1717299900,121
1717299930,120
1717299960,120
1717299990,119
1717300020,119
1717300050,119
1717300080,117
1717300110,118
1717300140,118
1717300170,117
1717300200,116
1717300230,115
1717300260,116
1717300290,116
1717300320,115
1717300350,115
1717300380,119
1717300410,119
1717300440,122
1717300470,120
1717300500,119
1717300530,118
1717300560,116
1717300590,116
1717300620,119
1717300650,119
1717300680,117
1717300710,117
1717300741,116
1717300771,115
1717300801,115
1717300831,116
1717300861,116
1717300891,115
1717300921,115
1717300951,116
1717300981,116
1717301011,115
1717301041,117
1717301071,118
1717301101,119
1717301131,119
1717301161,116
1717301191,117
1717301221,116
1717301251,115
1717301281,116
1717301311,120
1717301341,121
1717301371,120
1717301401,119
1717301431,120
1717301461,120
1717301491,118
1717301521,118
1717301551,118
1717301581,117
1717301611,117
1717301641,120
1717301671,120
1717301701,118
1717301731,118
1717301761,118
1717301791,118
1717301821,117
1717301851,117
1717301881,118
1717301911,118
1717301941,117
1717301971,117
1717302001,118
1717302031,118
1717302061,117
1717302091,117
1717302121,118
1717302151,118
1717302181,117
1717302211,117
1717302241,122
1717302271,122
1717302301,122
1717302331,122
1717302361,120
1717302391,119
1717302421,117
1717302451,118
1717302481,118
1717302511,117
1717302541,117
1717302571,118
1717302601,118
1717302631,117
1717302661,117
1717302691,118
1717302721,118
1717302751,117
1717302781,117
1717302811,118
1717302841,120
1717302871,119
1717302901,118
1717302931,119
1717302961,118
1717302991,117
1717303021,117
1717303051,118
1717303082,118
1717303112,117
1717303142,117
1717303172,118
1717303202,118
1717303232,117
1717303262,117
1717303292,118
1717303322,118
1717303352,117
1717303382,117
1717303412,118
1717303442,118
1717303472,119
1717303502,119
1717303532,119
1717303562,119
1717303592,117
1717303622,117
1717303652,118
1717303682,118
1717303712,117
1717303742,117
1717303772,118
1717303802,118
1717303832,117
1717303862,117
1717303892,118
1717303922,118
1717303952,117
1717303982,117
1717304012,118
1717304042,118
1717304072,120
1717304102,120
1717304132,120
1717304162,120
1717304192,118
1717304222,118
1717304252,118
1717304282,118
1717304312,117
1717304342,117
1717304372,118
1717304402,118
1717304432,117
1717304462,117
1717304492,118
1717304522,118
1717304552,117
1717304582,117
1717304612,118
1717304642,118
1717304672,120
1717304702,120
1717304732,120
1717304762,120
1717304792,118
1717304822,118
1717304852,118
1717304882,118
1717304912,117
1717304942,117
1717304972,118
1717305002,118
1717305032,117
1717305062,117
1717305092,118
1717305122,118
1717305152,117
1717305182,117
1717305212,118
1717305242,118
1717305272,117
1717305302,117
1717305332,117
1717305362,117
1717305392,117
1717305422,117
1717305452,117
1717305482,117
1717305512,117
1717305542,117
1717305572,117
1717305602,117
1717305632,117
1717305662,117
1717305692,117
1717305722,117
1717305752,117
1717305783,117
1717305813,117
1717305843,117
1717305873,117
1717305903,117
1717305933,117
1717305963,117
1717305993,117
1717306023,117
1717306053,117
1717306083,117
1717306113,117
1717306143,117
1717306173,117
1717306203,117
1717306233,117
1717306263,117
1717306293,117
1717306323,117
1717306353,117
1717306383,117
1717306413,117
1717306443,117
1717306473,117
1717306503,117
1717306533,117
1717306563,117
1717306593,117
1717306623,117
1717306653,117
1717306683,117
1717306713,117
1717306743,117
1717306773,117
1717306803,117
1717306833,117
1717306863,117
1717306893,117
1717306923,117
1717306953,117
1717306983,117
1717307013,117
1717307043,118
1717307073,118
1717307103,117
1717307133,117
1717307163,117
1717307193,117
1717307224,117
1717307254,117
1717307284,117
1717307314,117
1717307344,117
1717307374,117
1717307404,117
1717307434,117
1717307464,117
1717307494,117
1717307524,117
1717307554,117
1717307584,117
1717307614,117
1717307644,117
1717307674,117
1717307704,117
1717307734,117
1717307764,117
1717307794,117
1717307824,117
1717307854,117
1717307884,117
1717307914,117
1717307944,117
1717307974,117
1717308004,117
1717308034,117
1717308064,117
1717308094,117
1717308124,117
1717308154,117
1717308184,117
1717308214,117
1717308244,117
1717308274,117
1717308304,117
1717308334,117
1717308364,117
1717308394,117
1717308424,117
1717308454,117
1717308485,117
